Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
server components;9;390;2.54;0.47;50.00;54.54;485000000;0.66,0.66,0.54,0.81,0.81,0.66,0.54,0.44,0.54,0.54,0.66,0.54;5;1772583616
what is rsc;16;880;0.00;0.00;10.00;0.00;88800000;0.41,1.00,0.54,0.36,0.36,0.24,0.24,0.20,0.24,0.24,0.24,0.20;;1768116869
nextjs server component;18;50;0.00;0.00;0.00;0.00;17700000;0.00,0.29,0.00,0.64,0.82,0.41,0.17,0.29,0.23,0.41,0.05,0.11;;1767528163
next js server components;27;140;0.00;0.00;0.00;0.00;52200000;0.23,0.66,0.17,0.53,0.28,0.43,0.35,0.23,0.28,0.23,0.28,0.17;;1771386836
nextjs server components;34;110;0.00;0.00;0.00;0.00;21400000;0.22,0.18,0.29,0.22,0.54,0.29,0.29,0.29,0.10,0.08,0.18,0.18;;1770305748
rsc pattern;37;40;0.00;0.33;0.00;0.00;23500000;0.17,0.52,1.00,0.17,0.17,0.11,0.11,0.00,0.11,0.11,0.11,0.11;5;1769465644
react 18 streaming server rendering documentation;26;70;0.00;0.00;0.00;0.00;454000;0.07,1.00;;1772344281
react 18 streaming server rendering documentation;78;70;0.00;0.00;0.00;0.00;454000;0.07,1.00;;1772344281
react js server side;54;40;0.00;0.01;0.00;0.00;26500000;0.18,0.18,0.18,0.18,0.18,0.63,0.45,0.45,0.45,0.36,0.18,0.18;;1769404274
server side rendering reactjs;91;110;2.44;0.02;0.00;0.00;352000;0.00,0.01,0.00,0.08,0.18,0.54,0.54,0.01,0.11,0.23,0.28,0.18;;1768889426
server component;22;30;2.54;0.47;0.00;0.00;207000000;0.09,0.33,0.00,1.00,0.19,0.00,0.00,0.00,0.04,0.00,0.00,0.00;;1770756997
react router rsc;26;40;0.00;0.33;0.00;0.00;237000;0.04,0.23,0.23,0.04,0.04,1.00,0.09,0.09,0.09,0.09,0.09,0.09;;1770246113
vercel react;16;110;6.51;0.06;0.00;0.00;5040000;0.02,0.02,0.02,0.02,0.23,0.02,0.02,0.02,0.15,1.00,0.02,0.02;;1767488598
what are react server components;7;40;0.00;0.33;0.00;0.00;52900000;0.11,0.11,0.11,0.11,0.11,0.64,0.11,0.11,0.11,0.82,0.29,0.11;;1767971586
server for react;51;40;0.00;0.03;0.00;0.00;102000000;0.00,0.23,0.33,0.14,0.04,0.33,0.33,0.19,0.00,0.23,0.33,0.23;;1772503685
server only next js;41;70;0.00;0.33;0.00;0.00;141000000;1.00,0.23,0.11,0.23,1.00,0.11,0.11,0.11,0.11,0.82,0.11,0.11;;1770135051
react server component;14;210;4.49;0.01;0.00;0.00;59000000;0.23,0.36,0.54,0.67,0.19,0.23,0.10,0.02,0.05,0.12,0.10,0.05;;1772220685
reactjs server components;11;140;3.43;0.01;0.00;0.00;17400000;0.34,1.00,0.65,0.43,0.15,0.65,0.81,0.65,0.43,0.00,0.00,0.00;;1767652188
react on server;37;50;0.00;0.03;0.00;0.00;90800000;0.05,0.29,0.41,0.52,0.05,0.29,0.41,0.23,0.00,0.29,0.41,0.29;;1769432600
client component in server component;30;50;0.00;0.33;0.00;0.00;85700000;0.19,0.19,0.65,0.80,0.19,0.07,0.07,0.07,0.00,0.00,0.00,0.07;;1768475423
next.js server components;13;40;0.00;0.00;0.00;0.00;66700000;0.34,0.00,0.53,0.00,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1766846098
rsc react;7;90;0.00;0.00;0.00;0.00;15500000;0.42,0.23,0.42,0.42,0.66,0.52,0.66,0.52,0.23,0.33,0.23,0.52;;1768565253
react server components;10;1000;4.49;0.01;0.00;0.00;52000000;0.34,0.55,0.30,0.44,0.44,0.44,0.34,0.24,0.24,0.24,0.24,0.16;;1769202314
react with server;12;40;0.00;0.03;0.00;0.00;172000000;0.00,0.35,0.50,0.21,0.07,0.50,0.50,0.28,0.00,0.35,0.50,0.35;;1769353286
react server state;31;50;0.00;0.33;0.00;0.00;38300000;0.28,0.57,1.00,1.00,1.00,1.00,0.28,0.71,0.71,0.71,0.28,1.00;;1770246374
