Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
samesite;11;320;0.00;0.01;0.00;0.00;7310000;0.20,0.24,0.16,0.24,0.30,0.24,0.20,0.16,0.16,0.16,0.20,0.16;5;1770024720
cookie samesite;23;320;0.00;0.01;0.00;0.00;7100000;0.66,0.54,0.66,0.43,0.54,0.81,0.81,0.54,0.54,0.54,0.54,0.81;;1767769295
set cookie samesite none;9;40;0.00;0.33;0.00;0.00;1250000;1.00,0.18,0.18,0.63,0.18,0.18,0.36,1.00,0.18,0.81,0.18,0.18;6;1771745073
samesite cookie;21;260;0.00;0.01;0.00;0.00;7490000;0.26,0.32,0.26,0.32,0.32,0.26,0.26,0.26,0.32,0.26,0.26,0.26;;1769393305
same site cookies;12;90;0.00;0.02;0.00;0.00;3940000000;0.34,0.42,0.34,0.53,0.34,0.34,0.34,0.34,0.26,0.26,0.53,0.26;;1770722352
samesite strict;14;90;0.00;0.02;0.00;0.00;2580000;0.21,0.34,0.34,0.34,0.34,0.28,0.21,0.34,0.28,0.28,0.21,0.21;;1768596642
samesite cookies;13;110;0.00;0.01;0.00;0.00;6760000;0.21,0.34,0.43,0.43,0.43,0.28,0.21,0.21,0.21,0.21,0.28,0.65;;1767387117
samesite lax;10;320;0.00;0.01;0.00;0.00;818000;0.43,0.66,0.81,0.81,0.66,0.66,0.66,0.54,0.43,0.54,0.66,0.54;;1769543908
same site cookie;13;90;0.00;0.01;0.00;0.00;2680000000;0.21,0.21,0.53,0.34,0.09,0.28,0.28,0.06,0.34,0.34,0.43,0.03;;1767541650
same site lax;17;50;0.00;0.01;0.00;0.00;58100000;0.17,0.00,0.12,0.02,0.12,0.35,0.00,0.00,0.17,0.10,0.17,0.43;;1767405297
samesitecookies;19;90;0.00;0.01;0.00;0.00;68200;0.11,0.28,0.15,0.23,0.08,0.00,0.23,0.23,0.15,0.11,0.18,0.23;;1767484100
samesite cookie attribute;7;90;0.00;0.02;0.00;0.00;1970000;0.29,0.23,0.29,0.00,0.64,0.64,0.52,0.64,0.64,0.23,1.00,0.82;6;1770928177
samesite cookie attribute;13;90;0.00;0.02;0.00;0.00;1970000;0.29,0.23,0.29,0.00,0.64,0.64,0.52,0.64,0.64,0.23,1.00,0.82;;1770928177
samesite none;9;110;0.00;0.00;0.00;0.00;6270000;0.23,0.43,0.35,0.35,0.12,0.35,0.35,0.35,0.28,0.35,0.07,0.23;6;1772344632
cookies samesite;15;170;0.00;0.01;0.00;0.00;6730000;0.44,0.35,0.28,0.23,0.28,0.35,0.44,0.15,0.15,0.28,0.23,0.18;;1767516053
