Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
v0.dev pricing;3;480;8.35;0.09;22.58;30.85;31200000;0.00,0.03,0.03,0.03,0.04,0.82,0.00,1.00,0.00,0.00,0.00,0.00;;1767877004
v0 pricing;3;590;6.83;0.02;16.12;18.08;31500000;0.32,0.39,0.72,0.72,0.88,1.00,0.48,0.48,0.59,0.39,0.39,0.39;;1769530728
v0dev plans;3;260;0.00;0.00;3.22;0.00;3310;1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1770816822
vercel v0 pricing;2;110;0.00;0.02;3.22;0.00;1540000;0.09,0.09,0.80,0.80,0.80,0.80,0.66,1.00,0.52,0.52,0.42,0.19;;1770758649
v0 price;3;210;6.83;0.02;1.61;1.59;69500000;0.02,0.02,0.02,0.54,1.00,0.36,0.36,0.44,0.09,0.29,0.00,0.00;;1769152137
v0 cost;2;90;0.00;0.01;1.61;0.00;67700000;0.23,0.43,0.10,0.53,0.10,0.05,1.00,0.05,0.05,0.05,0.05,0.05;;1770735313
v0 dev pricing;3;140;8.07;0.09;1.61;2.12;64400000;0.34,0.34,0.12,0.43,1.00,0.81,0.81,0.65,0.53,0.28,0.15,0.09;;1769819586
v0 credits;7;90;0.00;0.02;0.00;0.00;56600000;0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1.00,0.02,0.02;;1767834175
vercel vo;69;480;5.35;0.10;0.00;0.00;173000;0.66,1.00,1.00,0.81,0.81,1.00,1.00,0.81,0.81,1.00,0.81,0.44;;1770156428
vercel.vo;62;320;7.67;0.11;0.00;0.00;314000;0.53,0.65,0.81,1.00,1.00,1.00,1.00,1.00,1.00,0.81,0.81,0.81;;1767358351
is v0 dev free;34;40;0.00;0.33;0.00;0.00;48400000;0.14,0.64,0.14,0.78,0.14,0.14,0.14,0.14,1.00,0.14,0.14,0.14;;1769284818
vercel student discount;76;90;0.00;0.01;0.00;0.00;914000;0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1.00,0.02,0.02;;1767923793
vo vercel;58;590;5.35;0.09;0.00;0.00;143000;0.36,0.24,0.36,1.00,0.55,0.36,0.55,0.36,0.30,0.36,0.24,0.24;;1770753456
is v0 free;3;90;0.00;0.33;0.00;0.00;206000000;0.07,0.07,0.07,1.00,0.65,1.00,0.65,0.53,0.07,0.07,0.07,0.07;;1769400706
v0 premium;3;90;0.00;0.01;0.00;0.00;97400000;0.05,0.05,0.05,0.05,0.43,0.66,1.00,0.05,0.05,0.05,0.05,0.05;;1770471793
vo by vercel;41;320;5.93;0.20;0.00;0.00;135000;0.66,0.66,0.54,0.81,0.43,0.81,0.54,0.81,0.54,1.00,0.66,0.54;;1768149847
v0 subscription;9;70;0.00;0.02;0.00;0.00;24000000;0.12,0.53,0.53,1.00,0.12,0.06,0.06,0.06,0.06,0.06,0.06,0.06;;1769108561
