Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
vercel web search ai app;5;210;0.00;0.00;100.00;0.00;2940000;1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1770824552
perplexity ai platform;33;110;2.28;0.12;0.00;0.00;27800000;0.03,0.01,0.01,0.01,0.08,0.08,0.06,0.54,1.00,0.08,0.08,0.15;;1768554753
vercel ai sdk github;77;140;0.00;0.00;0.00;0.00;2060000;0.80,0.33,0.42,0.52,0.66,0.66,0.66,0.80,0.80,0.80,0.80,0.66;;1768563912
perplexitiy ai;25;170;1.22;0.09;0.00;0.00;72400000;0.00,0.28,0.66,0.66,0.00,0.35,0.00,0.35,1.00,0.82,0.00,0.53;;1768467301
how website works;97;90;2.66;0.09;0.00;0.00;3340000000;0.82,0.52,0.52,0.82,0.64,0.64,0.41,0.29,0.41,0.29,0.29,0.41;;1768491098
web search ai vercel github;13;140;0.00;0.00;0.00;0.00;1260000;0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1771456544
what is perflexity;88;390;0.00;0.00;0.00;0.00;70000000;0.00,0.00,1.00,0.00,0.00,0.00;;1768513961
perplexity ai.com;35;110;1.03;0.11;0.00;0.00;70200000;0.10,0.28,0.17,1.00,0.66,0.00,0.35,0.28,0.00,0.00,0.00,0.23;;1768512335
app perplexity;36;40;0.82;0.39;0.00;0.00;71100000;0.18,0.63,0.18,0.36,0.36,0.18,0.18,0.18,1.00,0.18,1.00,0.18;;1768490658
perplexity ai use cases;33;170;0.00;0.05;0.00;0.00;16200000;0.12,0.04,0.02,0.02,0.02,0.07,0.02,1.00,0.67,0.03,0.03,0.04;;1768549171
