Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
v0.dev;3;2900;5.54;0.32;23.48;29.69;321000000;0.08,0.10,0.07,0.10,0.01,0.66,0.66,0.00,1.00,0.54,0.08,0.08;5;1772593453
v.0;2;720;4.94;0.03;9.41;10.61;16700000000;0.24,0.16,0.13,0.36,0.00,0.00,1.00,1.00,0.00,0.00,0.16,0.30;5;1769626134
vzero ai;2;2400;0.00;0.00;8.32;0.00;62800;0.00,0.35,0.53,0.66,0.53,0.53,1.00,0.81,0.81,0.00,0.00,0.00;5;1771993999
v0 dev;3;3600;5.54;0.32;6.34;8.01;53600000;0.24,0.36,0.28,0.54,1.00,0.81,0.81,0.66,0.43,0.36,0.19,0.24;4;1772489089
v0 vercel;4;3600;6.64;0.13;4.95;7.51;1600000;0.54,0.81,0.65,1.00,0.81,0.81,1.00,0.65,1.00,0.65,0.65,0.81;;1772359646
v dev;7;1300;6.53;0.00;3.86;5.74;561000000;0.03,0.02,0.08,0.01,0.01,0.01,0.00,0.00,0.00,0.00,1.00,0.29;;1770692805
v0;6;27100;3.67;0.05;3.66;3.05;271000000;0.36,0.44,0.81,0.66,1.00,0.66,0.54,0.66,0.81,0.44,0.36,0.44;;1772407081
vo.dev;3;1000;5.55;0.17;3.46;4.39;42900000;0.05,0.07,0.07,0.07,0.43,0.65,1.00,0.00,0.43,0.00,0.04,0.00;;1769823580
v0;8;27100;3.67;0.05;2.67;2.24;271000000;0.36,0.44,0.81,0.66,1.00,0.66,0.54,0.66,0.81,0.44,0.36,0.44;;1772407081
vo ai;2;880;3.92;0.17;2.18;1.94;177;0.62,0.55,0.62,0.45,0.81,0.62,0.55,0.45,0.45,0.55,0.30,0.30;;1770158130
vzero.dev;3;260;6.14;0.35;2.08;2.89;194000;0.15,0.29,0.29,0.44,1.00,0.66,0.44,0.36,0.29,0.19,0.15,0.15;;1769564075
v zero;2;720;0.00;0.00;2.08;0.00;2010000000;0.36,0.30,0.55,0.45,0.62,1.00,0.36,0.30,0.45,0.30,0.36,0.55;5;1768467910
vo download;12;5400;0.64;0.02;2.08;0.29;219000000;0.04,0.00,1.00,0.00,0.00,0.16,0.01,0.00,0.07,0.81,0.81,0.00;;1772471835
vercel v0.dev;2;590;7.76;0.44;1.48;2.62;1480000;1.00,0.00,0.00,0.00,0.00;;1772072861
vo vercel;2;590;5.35;0.09;1.48;1.81;143000;0.36,0.24,0.36,1.00,0.55,0.36,0.55,0.36,0.30,0.36,0.24,0.24;;1770753456
vo dev;2;590;5.55;0.17;1.48;1.87;113000000;0.39,0.48,0.59,0.88,1.00,0.88,0.72,0.72,0.48,0.32,0.21,0.21;;1769411313
free v0;3;170;0.00;0.00;1.28;0.00;210000000;0.15,0.15,1.00,0.44,0.15,0.15,0.15,0.15,0.15,0.66,0.66,0.15;;1770130703
vercel vo;2;480;5.35;0.10;1.18;1.44;173000;0.66,1.00,1.00,0.81,0.81,1.00,1.00,0.81,0.81,1.00,0.81,0.44;;1770156428
v0dev;2;480;0.00;0.01;1.18;0.00;12500;0.54,0.66,0.66,0.44,1.00,0.81,0.81,0.81,0.54,0.54,1.00,0.29;;1768319066
what is v0.dev;2;390;0.00;0.02;1.09;0.00;281000000;0.01,0.00,0.01,0.03,1.00,0.79,0.00,0.00,0.01,0.00,0.00,0.00;;1771891124
v0 by vercel;3;1300;6.71;0.37;0.99;1.51;1610000;0.25,0.46,0.68,0.52,0.68,0.68,1.00,0.68,0.84,0.52,0.68,0.68;;1769862134
