Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
vercel caching;5;110;0.00;0.00;100.00;0.00;1320000;0.64,0.82,0.64,1.00,0.82,0.64,0.64,0.41,0.52,0.41,0.52,0.41;;1768890228
next js caching;12;140;0.00;0.00;0.00;0.00;22900000;0.65,0.65,0.12,0.00,0.15,0.65,0.43,0.53,0.15,0.53,0.65,0.28;;1771703466
next js caching;41;140;0.00;0.00;0.00;0.00;22900000;0.65,0.65,0.12,0.00,0.15,0.65,0.43,0.53,0.15,0.53,0.65,0.28;;1771703466
nextjs caching;56;210;0.00;0.00;0.00;0.00;15100000;0.18,0.54,0.81,0.54,0.00,0.43,0.14,0.43,0.43,0.54,0.35,0.29;;1769017994
vercel cache;13;90;0.00;0.00;0.00;0.00;1420000;0.50,0.78,0.50,0.78,0.64,0.64,0.50,0.64,0.64,0.64,0.64,0.50;;1772449493
next js cache;28;210;0.00;0.00;0.00;0.00;48100000;0.12,0.53,0.12,0.81,1.00,0.34,0.81,0.81,0.81,0.43,1.00,0.81;;1769257595
next js cache;46;210;0.00;0.00;0.00;0.00;48100000;0.12,0.53,0.12,0.81,1.00,0.34,0.81,0.81,0.81,0.43,1.00,0.81;;1769257595
nextjs usecache;60;70;0.00;0.33;0.00;0.00;18600;1.00,0.11,0.64,0.11,1.00,0.11,0.11,0.64,0.11,0.11,0.11,0.11;;1767930556
nextjs cache;68;260;0.00;0.00;0.00;0.00;10700000;0.44,0.35,0.44,1.00,0.81,0.23,0.35,0.35,0.23,0.44,0.23,0.28;;1769108956
nextjs 15 cache;51;40;0.00;0.33;0.00;0.00;4220000;0.28,0.14,1.00,0.14,1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.14;;1771056440
