Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
vercel series d;1;70;0.00;0.33;100.00;0.00;5150000;0.04,0.04,0.04,0.04,0.04,0.04,1.00,0.22,0.04,0.04,0.04,0.04;;1771117086
vercel funding news;77;110;0.00;0.00;0.00;0.00;342000;1.00,0.00,0.00;;1772584045
vercel value;53;110;0.00;0.00;0.00;0.00;6250000;0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.00,0.02,1.00,0.66;;1770183544
investment memo for vercel;10;140;0.00;0.00;0.00;0.00;117000;1.00,0.82,0.52;;1767277989
vercel investors;67;70;0.00;0.03;0.00;0.00;1120000;0.11,0.11,0.17,0.17,0.29,0.17,0.29,0.64,0.52,0.82,1.00,0.64;;1767504886
vercel series f;78;70;0.00;0.33;0.00;0.00;7470000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,1.00,1.00,0.17;;1770183523
is vercel publicly traded;77;40;0.00;0.33;0.00;0.00;16000;1.00,0.41,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.29,0.11,0.11;;1769285381
vercel investment;87;50;0.00;0.04;0.00;0.00;403000;0.18,0.18,0.18,0.18,0.18,0.00,1.00,0.18,1.00,1.00,1.00,0.18;;1769306327
vercel funding;24;260;0.00;0.02;0.00;0.00;1680000;0.10,0.19,0.19,0.15,0.12,0.19,0.19,1.00,0.29,0.67,0.44,0.36;5;1771336565
vercel ipo;84;170;0.00;0.01;0.00;0.00;36000;0.42,0.42,0.42,0.65,0.42,0.42,0.53,1.00,1.00,1.00,1.00,0.80;;1769612220
vercel valuation;38;720;0.00;0.00;0.00;0.00;165000;0.30,0.30,0.24,0.36,0.36,0.55,0.76,0.55,0.76,1.00,1.00,0.45;5;1769420856
vercel fundraise;20;40;0.00;0.33;0.00;0.00;6720;0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,1.00,1.00,0.18;;1771589487
