Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
vercel sandbox;3;210;0.00;0.00;7.14;0.00;115000;0.14,0.04,0.06,0.04,0.04,0.14,1.00,0.35,0.22,1.00,1.00,1.00;;1770389681
блэкбокс аи;46;880;0.00;0.00;0.00;0.00;10100000;0.29,0.13,0.13,0.13,0.13,0.00,0.66,0.13,0.13,0.00,0.00,0.00;;1769978916
vercel sign up;93;140;6.74;0.05;0.00;0.00;15800000;0.02,0.02,0.19,0.44,0.29,0.12,0.07,0.15,0.12,0.15,0.12,0.07;;1769846770
isolated web co linux;16;90;0.00;0.00;0.00;0.00;3020000;0.18,1.00,1.00,1.00,0.18,0.18,1.00,1.00,0.18,1.00,1.00,0.63;;1770084262
end task not working;40;110;0.00;0.00;0.00;0.00;613000000;1.00,0.50,0.64,1.00,0.64,0.78,0.64,0.78,0.64,0.64,0.78,1.00;;1770220159
the hive software;58;110;0.00;0.19;0.00;0.00;44900000;1.00,0.36,0.05,0.02,0.02,0.04,0.02,0.02,0.04,0.02,0.02,0.02;;1769922271
horizontal hive;54;1300;0.75;0.98;0.00;0.00;54900000;0.24,0.44,0.36,0.44,0.52,0.52,0.52,0.27,0.20,0.20,0.20,0.20;5;1769836306
what is any.run;62;50;0.00;0.01;0.00;0.00;3000000000;0.00,0.35,0.00,0.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18;5;1769919098
sansbox;82;40;0.41;0.54;0.00;0.00;125000000;0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00;5;1769865795
progressive snapshot review;50;880;0.00;0.01;0.00;0.00;17100000;0.41,0.54,0.41,0.41,0.41,0.30,0.30,0.36,0.36,0.36,0.36,0.36;;1770054430
the sandbox event space;92;210;0.00;0.00;0.00;0.00;47800000;1.00,0.80,0.80,0.65,0.65,0.80,0.65,1.00,0.65,0.65,1.00,1.00;1;1769849002
untrust;38;480;0.00;0.00;0.00;0.00;4900000;0.10,0.20,0.16,0.10,0.24,0.24,0.13,0.24,0.10,0.30,0.36,0.20;5;1769928120
blackbox ai free;43;210;2.89;0.50;0.00;0.00;80900000;0.22,0.35,0.43,0.35,0.35,0.29,0.29,0.43,0.54,0.66,1.00,0.66;;1769822582
run code;56;1000;3.51;0.18;0.00;0.00;5300000000;0.24,0.55,0.45,0.81,0.62,0.62,0.55,0.30,0.81,1.00,0.62,1.00;;1770156313
hive coding;49;70;0.00;0.33;0.00;0.00;9020000;0.11,0.11,0.11,0.11,0.64,0.64,0.64,0.64,0.11,0.64,0.11,0.11;;1770113083
run run blog;46;110;0.00;0.00;0.00;0.00;2900000000;0.15,0.11,0.15,0.18,0.15,0.28,0.18,0.18,0.18,0.18,0.18,0.15;;1770188200
linear cli;24;110;12.59;0.02;0.00;0.00;20200000;0.06,0.06,0.06,0.43,0.34,0.53,0.34,0.34,0.53,0.43,0.34,1.00;;1770206922
how to change idle time on teams;77;70;0.00;0.00;0.00;0.00;18400000;0.14,0.18,0.14,0.18,0.14,0.14,0.14,0.14,0.18,0.14,0.14,0.10;;1769859374
what is snapshot with progressive;83;480;13.67;0.02;0.00;0.00;26800000;0.17,0.21,0.48,1.00,0.48,0.88,0.39,0.59,0.39,0.26,0.32,0.48;;1770261718
in the sandbox;57;50;0.00;0.33;0.00;0.00;129000000;0.11,0.23,0.17,0.29,0.64,0.29,0.17,0.23,0.23,0.29,0.23,0.11;;1770144250
in the sandbox;61;50;0.00;0.33;0.00;0.00;129000000;0.11,0.23,0.17,0.29,0.64,0.29,0.17,0.23,0.23,0.29,0.23,0.11;;1770144250
linear app review;82;30;9.58;0.22;0.00;0.00;159000000;0.18,0.18,1.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18;;1770031808
11hours from now;37;140;0.00;0.00;0.00;0.00;5300000000;0.00,0.00,0.00,0.66,0.00,0.00,0.00,0.00,0.35,1.00,0.81,0.00;;1769906587
progressive snapshot how to install;47;90;0.00;0.00;0.00;0.00;5150000;1.00,0.64,0.78,0.35,0.64,0.78,0.78,0.64,0.50,0.50,0.50,0.35;;1770264613
task.run;52;50;0.00;0.01;0.00;0.00;607000000;0.15,0.53,0.28,0.28,0.09,0.06,0.12,0.03,0.00,0.03,0.03,0.03;;1769915056
fluid running;53;590;2.55;0.21;0.00;0.00;790000000;0.07,0.08,0.07,0.08,0.10,0.16,0.16,0.52,0.20,0.10,0.13,0.08;1;1769884235
blackbox.ai free;33;170;2.89;0.50;0.00;0.00;94300000;0.43,0.53,0.53,0.34,0.43,0.43,0.34,0.53,0.53,0.81,1.00,1.00;;1770050899
linux sandbox;32;170;0.00;0.01;0.00;0.00;63200000;0.35,0.22,0.35,0.29,0.18,0.35,0.22,0.29,0.29,0.22,0.81,0.29;;1770044337
samdbox;83;210;0.41;0.54;0.00;0.00;129000000;0.24,0.03,0.05,0.03,0.03,0.16,0.04,0.00,0.08,0.00,0.00,0.11;5;1769969628
