Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
video generation models;22;720;2.18;0.01;33.33;50.00;470000000;0.04,0.04,0.03,0.03,0.03,0.04,0.04,0.10,0.04,0.07,0.05,1.00;;1771985187
video generation;16;1000;1.77;0.48;33.33;25.00;3340000000;0.16,0.62,0.45,0.55,0.62,1.00,1.00,1.00,0.62,1.00,0.81,0.62;;1772023876
generate generation;40;6600;1.45;0.01;33.33;25.00;507000000;0.04,0.00,1.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.81,0.81;;1772266586
example generation;56;70;0.00;0.00;0.00;0.00;1590000000;0.45,0.63,0.45,0.36,1.00,1.00,0.18,0.18,0.18,1.00,1.00,1.00;5;1772259420
veo 3 example prompts;33;50;0.00;0.14;0.00;0.00;1570000;0.00,0.00,0.00,0.00,0.00,0.04,1.00,0.04,0.04,0.04,0.04,0.04;;1772015724
veo 3 example prompts;50;50;0.00;0.14;0.00;0.00;1570000;0.00,0.00,0.00,0.00,0.00,0.04,1.00,0.04,0.04,0.04,0.04,0.04;;1772015724
how to describe a transformation;88;170;0.00;0.00;0.00;0.00;331000000;0.53,0.43,0.34,0.53,0.53,0.65,0.21,0.12,0.53,1.00,1.00,0.53;5;1771647099
v0 in physics;75;40;0.00;0.33;0.00;0.00;21800000;0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.52,0.52,0.09;;1771589192
video description ai;27;110;1.50;0.29;0.00;0.00;1310000000;0.15,0.26,0.19,1.00,0.15,0.26,0.80,1.00,0.34,0.07,0.34,0.42;;1771610324
video description ai;29;110;1.50;0.29;0.00;0.00;1310000000;0.15,0.26,0.19,1.00,0.15,0.26,0.80,1.00,0.34,0.07,0.34,0.42;;1771610324
scale in art examples;80;170;0.00;0.00;0.00;0.00;456000000;0.14,0.29,0.43,0.29,0.29,0.22,0.22,0.10,0.35,1.00,0.43,0.29;;1771668565
provider gateway;50;260;0.00;0.00;0.00;0.00;104000000;0.35,0.54,0.35,0.44,0.54,0.44,0.54,0.66,0.44,0.44,0.66,0.35;;1771657827
is a blog a video;96;40;0.00;0.33;0.00;0.00;5000000000;0.82,0.11,0.11,0.11,0.11,0.82,0.23,0.11,0.11,0.11,0.11,0.11;;1772064656
start and end frame ai video;20;70;1.66;0.72;0.00;0.00;742000000;0.35,0.10,0.05,0.05,0.10,0.05,0.05,0.05,0.05,0.05,1.00,0.05;;1772066778
cat interactive video;46;260;0.00;0.01;0.00;0.00;258000000;0.44,1.00,0.54,0.44,0.35,0.23,0.35,0.54,0.44,0.35,0.28,0.66;;1772050203
kling ai video generation;83;70;2.24;0.04;0.00;0.00;15200000;0.05,0.00,0.00,0.00,0.11,1.00,0.64,0.64,0.64,0.64,0.82,0.82;;1772067377
wan t2v;82;50;0.00;0.05;0.00;0.00;726000;0.00,0.00,0.06,0.65,0.06,0.06,1.00,0.06,0.06,0.06,0.06,0.06;;1771634397
text video to;39;1900;1.33;0.44;0.00;0.00;9310000000;0.02,0.02,0.03,0.02,0.81,0.53,0.81,0.00,0.05,0.53,1.00,0.00;;1772243773
gateway 4;50;2400;0.00;0.09;0.00;0.00;374000000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.66;5;1771626365
native extracts;56;110;0.00;0.07;0.00;0.00;56600000;1.00,1.00,0.64,0.64,0.64,0.64,0.64,0.82,0.82,0.64,0.41,0.64;5;1771659142
google veo 2 image to video;91;50;4.86;0.24;0.00;0.00;94800000;0.05,0.00,0.00,0.11,0.29,1.00,0.82,1.00,0.11,0.11,0.00,0.11;;1772070338
generate veo 3 videos;88;40;0.00;0.54;0.00;0.00;12500000;0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.05,0.05,0.05,0.05,0.05;;1772066399
how to ai videos;21;50;1.44;0.64;0.00;0.00;6220000000;0.11,0.11,0.11,0.11,0.11,0.11,0.64,0.64,0.00,0.11,0.64,1.00;;1771614127
wan videos;21;70;0.34;0.16;0.00;0.00;369000000;0.00,0.00,0.07,0.82,1.00,0.00,0.00,0.00,0.00,0.05,0.43,0.00;;1771606773
motion smoothing example;77;90;0.00;0.01;0.00;0.00;151000000;0.17,0.09,0.09,0.11,0.07,0.05,0.07,0.09,0.05,0.11,0.04,0.09;5;1771619225
google veo 3 prompt;87;110;1.30;0.14;0.00;0.00;17000000;0.00,0.00,0.00,0.00,0.00,1.00,0.29,0.29,0.12,0.00,0.03,0.00;;1771971825
kling ai log in;29;40;1.80;0.46;0.00;0.00;12200000;0.04,0.04,0.14,0.04,0.19,0.09,0.09,0.00,0.09,0.52,1.00,0.00;;1771609728
kling ai log in;34;40;1.80;0.46;0.00;0.00;12200000;0.04,0.04,0.14,0.04,0.19,0.09,0.09,0.00,0.09,0.52,1.00,0.00;;1771609728
wan animate workflow;57;50;0.00;0.03;0.00;0.00;358000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.65,0.65;5;1771603338
motion ai videos;74;30;1.82;0.39;0.00;0.00;683000000;1.00,1.00,0.33,0.00,0.22,0.00,0.33,0.77,0.00,0.77,0.00,0.00;;1772068518
motion ai videos;91;30;1.82;0.39;0.00;0.00;683000000;1.00,1.00,0.33,0.00,0.22,0.00,0.33,0.77,0.00,0.77,0.00,0.00;;1772068518
vercel ai playground;10;210;4.61;0.17;0.00;0.00;314000;0.54,0.28,0.35,0.28,0.23,1.00,0.28,0.28,0.23,0.15,0.23,0.23;6;1771996907
imagine playground photos;61;40;0.00;0.02;0.00;0.00;15000000;0.03,0.15,0.15,0.15,0.21,0.00,0.28,0.34,0.03,0.00,0.00,0.21;1,5;1772287384
generate a video;92;90;1.32;0.50;0.00;0.00;536000000;0.07,0.07,0.07,0.07,0.07,0.07,0.80,0.53,0.53,0.07,0.80,1.00;;1772070665
frame generation mode;55;50;0.00;0.33;0.00;0.00;281000000;1.00,0.80,0.07,0.07,0.07,0.07,0.07,0.00,0.07,0.07,0.07,0.07;;1772131543
google photos motion choose frame;36;50;0.00;0.33;0.00;0.00;36200000;0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.42,0.42,0.42;;1771666637
google photos motion choose frame;45;50;0.00;0.33;0.00;0.00;36200000;0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.42,0.42,0.42;;1771666637
animate with audio;67;90;1.71;0.11;0.00;0.00;67500000;0.10,0.12,0.12,0.12,0.10,0.15,0.07,0.10,0.02,0.02,0.02,0.10;;1772170264
gai wan;53;720;0.63;1.00;0.00;0.00;14900000;0.20,0.08,1.00,0.31,0.07,0.07,0.03,0.04,0.68,0.84,0.68,0.84;5;1772297502
blazing visuals;37;260;0.92;0.03;0.00;0.00;3260000;0.28,0.43,0.43,0.53,0.66,0.82,0.82,0.82,0.66,0.66,0.66,0.66;1;1771924713
ai text to video;49;1900;1.37;0.61;0.00;0.00;3350000000;0.29,0.29,0.24,0.19,0.24,0.29,0.24,0.16,0.13,0.19,0.16,0.19;;1772245229
google video generating ai;30;40;4.11;0.56;0.00;0.00;846000000;0.00,0.00,0.00,0.00,0.09,0.52,1.00,0.42,0.00,0.00,0.00,0.00;;1772072596
examples of wan;90;90;0.00;0.00;0.00;0.00;84800000;0.22,0.35,0.66,0.08,0.06,0.06,0.00,0.14,0.14,0.29,0.35,0.04;;1772022126
programmatic video examples;55;50;0.00;0.23;0.00;0.00;12100000;0.11,0.23,0.17,0.17,0.17,0.23,0.17,0.52,0.52,0.23,0.52,0.41;;1772057217
programmatic video examples;60;50;0.00;0.23;0.00;0.00;12100000;0.11,0.23,0.17,0.17,0.17,0.23,0.17,0.52,0.52,0.23,0.52,0.41;;1772057217
owl watercolor painting;52;390;0.23;1.00;0.00;0.00;7930000;0.81,0.23,1.00,1.00,0.81,0.66,0.66,0.28,0.44,0.54,0.54,1.00;5;1771667259
prompt ai video;11;40;1.42;0.58;0.00;0.00;367000000;0.09,0.09,0.09,0.09,0.09,0.09,1.00,0.23,0.09,0.09,0.00,0.09;;1772072268
vercel careers;70;1900;3.82;0.00;0.00;0.00;4350000;0.55,0.65,0.65,0.65,0.65,0.55,0.65,0.65,1.00,1.00,0.82,0.82;;1772297015
empty room background;62;590;0.00;0.01;0.00;0.00;371000000;0.16,0.16,0.13,0.24,0.24,0.41,0.16,0.13,0.41,0.30,0.41,0.36;5;1771893821
empty room background;78;590;0.00;0.01;0.00;0.00;371000000;0.16,0.16,0.13,0.24,0.24,0.41,0.16,0.13,0.41,0.30,0.41,0.36;5;1771893821
ai video generations;19;30;1.75;0.29;0.00;0.00;1030000000;0.00,0.00,0.03,0.00,0.00,0.00,1.00,0.00,0.03,0.00,0.00,0.00;;1772067255
ai video generations;23;30;1.75;0.29;0.00;0.00;1030000000;0.00,0.00,0.03,0.00,0.00,0.00,1.00,0.00,0.03,0.00,0.00,0.00;;1772067255
describe wan;81;70;0.00;0.00;0.00;0.00;71300000;0.18,0.18,0.18,1.00,1.00,0.18,1.00,0.18,1.00,1.00,0.63,0.63;;1771644002
oneapi download;41;70;0.00;0.01;0.00;0.00;1480000;0.23,0.41,0.41,1.00,0.41,0.52,0.41,0.29,0.17,0.29,0.29,0.29;;1771889403
generate generation;73;6600;1.45;0.01;0.00;0.00;507000000;0.04,0.00,1.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.81,0.81;;1772266586
generation frame photo;24;40;0.57;1.00;0.00;0.00;122000000;0.82,0.11,0.00,0.41,0.64,0.52,0.00,0.00,0.00,0.00,0.00,0.29;5;1771567827
generation frame photo;38;40;0.57;1.00;0.00;0.00;122000000;0.82,0.11,0.00,0.41,0.64,0.52,0.00,0.00,0.00,0.00,0.00,0.29;5;1771567827
generation frame photo;41;40;0.57;1.00;0.00;0.00;122000000;0.82,0.11,0.00,0.41,0.64,0.52,0.00,0.00,0.00,0.00,0.00,0.29;5;1771567827
interactive videos examples;83;40;4.38;0.04;0.00;0.00;115000000;0.14,0.14,0.14,0.50,0.21,0.28,0.21,0.78,0.64,0.35,0.14,0.21;;1772055593
animate still photos;83;210;1.45;0.69;0.00;0.00;31800000;0.05,0.16,0.16,0.08,0.11,0.11,0.04,0.13,0.13,0.13,0.16,0.13;5;1771664212
turn image into frame;78;40;0.00;0.10;0.00;0.00;392000000;0.14,0.50,0.50,0.14,0.64,0.50,0.14,0.14,0.14,0.14,0.14,0.14;5;1772003116
framed video;31;50;0.66;0.92;0.00;0.00;156000000;0.29,0.29,0.06,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1772249473
ai video with audio;73;70;1.50;0.66;0.00;0.00;1030000000;0.11,0.11,0.11,0.11,0.11,0.64,1.00,1.00,1.00,0.23,0.11,0.00;;1771657540
can grok generate videos;86;90;0.89;0.14;0.00;0.00;8460000;0.09,0.09,0.09,0.80,0.09,0.09,0.09,0.52,1.00,0.33,0.80,0.66;;1772290596
kling video generation;46;30;1.82;0.57;0.00;0.00;9640000;0.09,0.09,0.09,0.00,0.09,0.09,1.00,0.19,0.00,0.09,0.09,0.00;;1772067653
lighting videos;81;110;1.68;0.15;0.00;0.00;497000000;0.14,0.09,0.11,0.00,0.00,0.05,0.39,0.14,0.05,0.11,0.07,0.07;5;1771564984
ai video text to video;42;90;1.87;0.71;0.00;0.00;3600000000;0.11,0.23,0.29,0.52,0.52,0.52,1.00,0.64,0.64,1.00,1.00,0.23;;1772014248
ai video text to video;89;90;1.87;0.71;0.00;0.00;3600000000;0.11,0.23,0.29,0.52,0.52,0.52,1.00,0.64,0.64,1.00,1.00,0.23;;1772014248
generation after gen beta;82;390;0.00;0.00;0.00;0.00;145000000;0.59,1.00,0.59,0.26,0.39,0.32,0.26,0.26,0.26,0.21,0.39,0.48;5;1771614287
