Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
vercel visual editing;1;110;0.00;0.33;94.62;0.00;1020000;0.02,0.02,0.02,0.02,0.02,0.02,0.02,1.00,0.04,0.02,0.02,0.02;6;1769566442
vercel cms;4;170;5.06;0.19;1.07;100.00;1330000;0.21,0.34,0.34,0.43,0.43,0.65,0.81,0.81,1.00,0.28,0.65,0.21;;1771248135
click to edit;5;50;0.00;0.33;1.07;0.00;1880000000;0.45,0.63,0.45,0.63,0.63,0.63,0.63,0.63,0.45,0.18,0.18,0.18;;1767519576
visual editing;2;40;0.00;0.02;1.07;0.00;1050000000;0.00,0.00,0.33,0.00,0.00,0.33,1.00,0.00,0.52,0.09,0.09,0.09;1;1771261924
headless cms with visual editor;13;50;0.00;0.69;0.00;0.00;142000;0.11,0.11,0.11,0.11,0.11,0.23,0.17,0.29,0.29,0.52,0.41,0.82;;1770329468
systems with inline editing and real-time content previewing;9;50;0.00;0.00;0.00;0.00;6510000;1.00,1.00,0.57;;1767869858
systems with inline editing and real-time content previewing;11;50;0.00;0.00;0.00;0.00;6510000;1.00,1.00,0.57;;1767869858
how to edit in preview;86;110;1.75;0.22;0.00;0.00;915000000;0.50,1.00,0.64,0.78,0.78,0.78,0.64,0.78,0.64,0.78,0.64,0.64;;1769435799
how to edit in preview;89;110;1.75;0.22;0.00;0.00;915000000;0.50,1.00,0.64,0.78,0.78,0.78,0.64,0.78,0.64,0.78,0.64,0.64;;1769435799
visual ed;17;140;2.70;0.05;0.00;0.00;2390000000;1.00,0.64,1.00,1.00,1.00,0.64,0.64,1.00,0.82,0.82,0.82,0.82;;1769403319
visual editors;45;30;2.70;0.03;0.00;0.00;216000000;0.05,0.00,0.29,0.05,0.29,0.29,0.64,0.00,0.05,0.11,0.05,0.11;1;1767985422
click edit;25;50;0.00;0.33;0.00;0.00;2510000000;0.45,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.45,0.18,0.18,0.18;;1767520059
headless cms visual editor;11;50;7.97;0.35;0.00;0.00;137000;0.18,0.27,0.36,0.36,0.45,0.63,0.63,1.00,1.00,0.27,0.18,0.18;;1771557453
visual cms;21;30;9.45;0.41;0.00;0.00;197000000;0.40,0.40,0.60,0.40,0.40,0.60,1.00,0.40,0.80,1.00,1.00,0.80;;1767564294
