Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
webstreams;5;90;2.00;0.05;100.00;100.00;62200;0.15,0.26,0.26,0.26,0.34,0.34,0.26,0.19,0.34,0.53,1.00,0.42;;1771447728
vercel linkedin;89;110;0.00;0.00;0.00;0.00;5540000;0.42,0.42,0.42,0.52,0.66,0.52,0.42,0.42,0.52,0.42,0.80,0.42;;1772313581
queue microtask;33;90;0.00;0.00;0.00;0.00;142000;0.00,0.00,0.00,0.53,0.28,0.28,0.21,0.21,0.65,0.28,0.00,1.00;;1771921211
talphs;43;590;0.45;0.06;0.00;0.00;618000000;0.54,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10;1,3;1771477346
the monkey where to stream;69;140;0.00;0.01;0.00;0.00;102000000;0.00,0.00,1.00,0.65,0.81,0.53,0.43,0.43,0.43,0.12,0.15,0.12;1;1771550596
x 2 16 10x;49;480;0.00;0.33;0.00;0.00;198000000;0.08,0.06,0.16,0.36,1.00,0.81,0.10,0.04,0.08,0.55,0.81,0.00;5;1771720771
fast objects;84;40;0.00;0.00;0.00;0.00;524000000;0.45,0.45,0.00,0.00,0.00,0.09,0.36,0.45,0.36,0.63,1.00,0.45;5;1771552597
flame graphs;86;260;0.00;0.00;0.00;0.00;9180000;0.66,0.44,0.66,0.23,0.09,0.36,0.06,0.19,0.44,1.00,0.12,0.19;5;1771811211
flame graphs;88;260;0.00;0.00;0.00;0.00;9180000;0.66,0.44,0.66,0.23,0.09,0.36,0.06,0.19,0.44,1.00,0.12,0.19;5;1771811211
so fetch;29;1900;1.05;0.43;0.00;0.00;122000000;0.16,0.23,0.19,0.29,0.29,0.23,0.16,0.23,0.23,0.23,0.29,0.19;1;1772526278
node promise;47;50;0.00;0.00;0.00;0.00;0;0.21,0.65,0.12,0.12,0.03,0.00,0.12,0.15,0.15,0.12,0.09,0.12;;1772521868
queue implementation;83;70;0.00;0.00;0.00;0.00;60500000;0.42,0.42,0.34,0.26,0.34,0.11,0.19,0.19,0.15,0.42,0.34,0.26;;1771647029
promise.resolved;22;110;0.00;0.00;0.00;0.00;124000000;0.11,0.07,0.07,0.05,0.00,0.16,0.11,0.00,0.00,0.00,0.08,0.11;5;1771632008
promise.resolved;31;110;0.00;0.00;0.00;0.00;124000000;0.11,0.07,0.07,0.05,0.00,0.16,0.11,0.00,0.00,0.00,0.08,0.11;5;1771632008
980 9.8;50;30;1.37;0.07;0.00;0.00;8490000;0.11,0.11,0.11,0.82,0.11,0.11,0.11,0.11,0.11,0.11,0.00,0.00;;1771851864
980 9.8;64;30;1.37;0.07;0.00;0.00;8490000;0.11,0.11,0.11,0.82,0.11,0.11,0.11,0.11,0.11,0.11,0.00,0.00;;1771851864
10x-3;50;70;0.00;0.00;0.00;0.00;217000000;0.02,0.02,0.06,0.01,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00;0,5;1771799465
call ralph;52;170;0.00;0.01;0.00;0.00;168000000;0.08,0.07,0.04,0.07,0.08,0.07,0.01,0.07,0.10,0.08,0.04,0.10;0;1771476875
1.4 x 1000;29;170;0.00;0.05;0.00;0.00;319000000;0.00,0.00,0.00,0.00,0.36,0.36,0.03,0.00,0.05,0.30,0.36,0.24;0;1771513752
ralph 1;39;70;0.00;0.02;0.00;0.00;483000000;0.77,0.77,0.77,0.77,0.77,1.00,0.55,0.55,0.77,0.77,0.77,1.00;5;1771618867
ralph 1;61;70;0.00;0.02;0.00;0.00;483000000;0.77,0.77,0.77,0.77,0.77,1.00,0.55,0.55,0.77,0.77,0.77,1.00;5;1771618867
prototype patch;49;40;0.00;0.01;0.00;0.00;23400000;0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,1.00,0.06;;1771567914
prototype patch;57;40;0.00;0.01;0.00;0.00;23400000;0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,1.00,0.06;;1771567914
faster api;44;50;2.18;0.02;0.00;0.00;364000000;0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1771934975
promise react;65;110;0.00;0.00;0.00;0.00;77200000;0.42,0.42,0.42,0.34,0.53,0.42,0.42,0.53,0.34,0.42,0.42,0.42;;1771641037
promise react;68;110;0.00;0.00;0.00;0.00;77200000;0.42,0.42,0.42,0.34,0.53,0.42,0.42,0.53,0.34,0.42,0.42,0.42;;1771641037
nodejs http post;94;110;0.00;0.00;0.00;0.00;8710000;0.53,0.65,0.65,0.65,0.80,0.65,0.42,0.26,0.34,0.15,0.26,0.26;;1772230573
promise node js;74;50;0.00;0.00;0.00;0.00;31300000;0.07,0.07,0.07,0.10,0.07,0.05,0.04,0.05,0.04,0.04,0.02,0.04;;1772529012
promise node js;84;50;0.00;0.00;0.00;0.00;31300000;0.07,0.07,0.07,0.10,0.07,0.05,0.04,0.05,0.04,0.04,0.02,0.04;;1772529012
writable ai;52;40;1.96;0.10;0.00;0.00;5110000;0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.64,1.00;;1771790486
