Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
bse store on vercel;5;590;0.00;0.06;12.07;0.00;1240;1.00,0.20,0.20,0.20,0.20,0.84,0.20,0.20,0.20,0.20,0.20,0.01;;1772527838
what is vercel app;3;170;0.00;0.00;5.31;0.00;12800000;0.28,0.34,0.34,0.53,0.34,0.53,0.53,0.53,0.53,0.65,0.53,0.65;1,6;1767512353
what does vercel do;2;320;0.00;0.00;3.38;0.00;15600000;0.29,0.81,0.54,0.66,0.43,0.54,0.66,0.81,0.81,1.00,1.00,1.00;;1769850583
vercel meaning;2;170;0.00;0.33;2.41;0.00;5700000;0.02,0.04,0.05,0.04,0.07,0.07,0.59,1.00,0.09,0.11,0.11,0.04;;1770471021
what is vercel used for;2;170;0.00;0.01;1.93;0.00;12900000;0.14,0.22,0.18,0.22,0.22,0.22,0.43,0.35,0.43,0.35,0.29,1.00;;1768783546
vercel.app;28;1900;5.41;0.10;0.48;0.68;12900000;0.05,0.08,0.12,0.10,0.23,0.00,0.35,0.29,0.00,1.00,0.16,0.12;;1772041703
bse store on vercel;15;590;0.00;0.06;0.48;0.00;1240;1.00,0.20,0.20,0.20,0.20,0.84,0.20,0.20,0.20,0.20,0.20,0.01;;1772527838
meaning vercel;1;40;0.00;0.33;0.48;0.00;772000;0.11,0.23,0.52,1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11;;1770232541
vercel backend;72;110;13.95;0.03;0.00;0.00;3130000;0.07,0.07,0.65,0.80,0.53,0.42,0.42,1.00,0.26,0.42,0.53,0.34;;1770517675
is vercel good for hosting;9;40;0.00;0.08;0.00;0.00;2850000;0.11,0.41,0.23,0.11,0.11,0.52,1.00,0.11,0.23,0.11,0.11,0.11;;1769241452
is vercel good for hosting;11;40;0.00;0.08;0.00;0.00;2850000;0.11,0.41,0.23,0.11,0.11,0.52,1.00,0.11,0.23,0.11,0.11,0.11;;1769241452
fact checker vercel;17;390;0.00;0.00;0.00;0.00;84300;1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1769095946
что такое vercel;7;40;0.00;0.33;0.00;0.00;206000;0.00,0.14,0.50,1.00,0.14,0.64,0.00,0.00,0.78,0.14,0.14,0.14;;1768066734
vercel backend hosting;81;30;13.62;0.15;0.00;0.00;1240000;0.11,0.23,0.23,0.11,0.41,0.11,0.11,0.11,0.11,0.11,0.11,0.11;;1767450065
vercel是什麼;65;140;0.00;0.00;0.00;0.00;1840000;0.03,0.03,0.00,1.00,0.09,0.09,0.09,0.07,0.11,0.09,0.07,0.00;;1769205986
who owns vercel;27;90;0.00;0.33;0.00;0.00;234000;0.07,0.07,0.07,0.07,0.65,0.07,0.42,0.65,0.07,0.42,1.00,0.42;;1772047103
vercel blog;81;260;0.00;0.01;0.00;0.00;10700000;0.23,0.44,0.54,0.54,0.35,0.44,0.54,0.54,0.54,0.54,0.54,0.44;;1772459948
why is vercel so popular;5;40;0.00;0.33;0.00;0.00;3960000;0.00,0.00,0.00,0.29,0.29,0.29,1.00,0.29,0.11,0.11,0.11,0.11;;1769311903
vercel website hosting;20;110;6.08;0.35;0.00;0.00;5300000;0.04,0.04,0.08,0.22,0.06,0.00,0.18,0.35,0.35,1.00,0.29,0.22;;1769389096
vercel company;20;390;0.00;0.01;0.00;0.00;16400000;0.07,0.07,0.11,0.17,0.14,0.17,0.14,0.21,0.88,0.39,1.00,1.00;1;1768878677
vervel;64;480;8.16;0.49;0.00;0.00;15000000;0.13,0.13,0.20,0.20,0.24,0.05,0.13,0.20,1.00,0.76,0.67,0.45;1;1772495088
minecraft vercel;35;40;0.00;0.33;0.00;0.00;225000;0.00,0.00,0.00,0.00,1.00,1.00,0.18,0.18,0.18,0.18,1.00,0.18;5;1771778199
vercel documentation;84;110;0.00;0.02;0.00;0.00;10900000;0.00,0.80,0.42,0.33,1.00,0.33,0.52,0.52,0.66,0.42,0.52,0.52;;1768923623
vercel 是 什麼;77;1900;0.00;0.00;0.00;0.00;1690000;0.23,0.19,0.19,0.23,0.23,1.00,0.35,0.12,0.12,0.00,0.16,0.08;;1769405571
vercel 是 什麼;89;1900;0.00;0.00;0.00;0.00;1690000;0.23,0.19,0.19,0.23,0.23,1.00,0.35,0.12,0.12,0.00,0.16,0.08;;1769405571
vercel definition;1;50;0.00;0.33;0.00;0.00;316000;0.66,0.28,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05;5;1769195340
vercel公司介绍;67;720;0.00;0.00;0.00;0.00;147000;1.00,0.00;;1772301431
vercel support;72;140;0.00;0.00;0.00;0.00;19300000;0.42,0.66,0.33,0.80,0.66,0.52,0.66,1.00,0.66,0.52,0.80,0.52;;1770249598
game app frontend beii vercel app;23;90;0.00;0.04;0.00;0.00;173;0.00,0.00,0.00,0.12,0.05,1.00,0.15,0.02,0.02,0.02,0.02,0.02;;1772427652
what is vercel.app;3;40;0.00;0.00;0.00;0.00;12400000;0.18,0.22,0.29,0.18,0.02,0.00,0.00,0.04,0.06,0.02,0.00,0.00;;1772014222
vercel是什么;75;720;0.00;0.00;0.00;0.00;1780000;0.03,0.10,0.05,0.05,0.05,0.04,0.05,0.79,1.00,1.00,0.05,0.07;;1769716558
vercel customers;96;40;0.00;0.33;0.00;0.00;9420000;0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.64,0.64,0.11,0.11,0.11;;1769774410
