Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
svelte 5;5;590;2.65;0.02;60.00;38.88;13500000;0.30,0.44,0.30,0.20,0.24,0.20,0.24,0.16,0.20,0.13,0.13,0.11;;1769043456
svelte5;5;170;5.66;0.01;40.00;61.11;119000;0.00,0.81,0.66,0.44,0.23,0.23,0.06,0.00,0.11,0.11,0.15,0.23;5;1767394403
eslint svelte 5;91;40;0.00;0.00;0.00;0.00;87000;0.14,0.14,0.28,0.14,0.50,1.00,0.14,0.14,0.14,0.14,0.14,0.14;;1766360144
what is svelte 5;4;40;0.00;0.02;0.00;0.00;12700000;0.11,0.52,1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11;;1770491238
svelte 5 docs;24;50;0.00;0.33;0.00;0.00;1400000;0.23,0.17,0.28,0.17,0.17,0.12,0.10,0.12,0.07,0.07,0.05,0.05;;1771522773
sveltekit 5;6;40;0.00;0.03;0.00;0.00;646000;0.64,0.29,0.29,0.29,0.23,0.17,0.23,0.11,0.11,0.11,0.11,0.11;5;1768544652
svelte 5 migration;35;40;0.00;0.33;0.00;0.00;770000;1.00,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09;5;1767593851
svelte reactivity;32;40;0.00;0.33;0.00;0.00;57700;0.23,0.23,0.33,0.23,0.33,0.23,0.09,0.09,0.09,0.09,0.09,0.09;;1771009090
svelte each;29;110;0.00;0.00;0.00;0.00;7500000;0.34,0.43,0.43,0.43,0.65,0.28,0.21,0.43,0.34,0.34,0.28,0.28;;1770304861
svelte news;12;40;0.00;0.00;0.00;0.00;4990000;0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.78,1.00,0.21;;1771581381
svelt define;94;40;0.00;0.00;0.00;0.00;6400000;0.00,0.00,0.00,0.00,1.00,0.09,0.00,0.00,0.00,0.34,0.00,0.00;1;1768147111
$: svelte;11;40;2.36;0.00;0.00;0.00;12100000;0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1766710028
