Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
workflow builder;9;590;9.15;0.64;57.14;58.28;102000000;0.26,0.39,0.39,0.48,0.48,0.48,0.48,0.72,0.88,0.88,1.00,1.00;;1769758609
wf builder;7;140;9.15;0.64;19.04;19.25;113000000;0.28,0.28,0.81,1.00,0.00,0.53,0.21,0.53,0.28,0.43,0.53,0.06;;1769405264
workflow builder open source;4;50;9.69;0.80;14.28;15.50;66300000;0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,1.00,0.04,0.04;;1769234317
drag and drop workflow builder;6;70;6.56;0.40;4.76;3.20;1790000;0.11,0.23,0.17,1.00,0.64,0.64,0.11,0.82,0.82,0.41,0.17,0.17;;1770559446
vercel workflow;5;110;7.69;0.02;4.76;3.74;4100000;0.01,0.12,0.02,0.04,0.04,0.01,0.01,0.09,0.01,0.01,0.29,1.00;;1770878778
workflow builders;7;40;12.12;0.55;0.00;0.00;5300000;0.04,0.00,0.09,0.00,0.19,0.19,0.00,0.33,0.33,0.23,0.52,0.04;;1768359212
open-source workflow automation news;93;320;0.00;0.00;0.00;0.00;13600000;1.00;;1767476455
open source workflow automation news;99;260;0.00;0.00;0.00;0.00;23500000;0.00,0.00,1.00;;1767638705
workflow creation tool;85;30;17.95;0.94;0.00;0.00;76900000;0.11,0.11,0.11,0.11,0.11,0.11,0.00,0.11,0.64,0.23,0.11,0.11;;1769314680
digital workflow tools api customization for developers;88;70;0.00;0.00;0.00;0.00;24000000;0.18,1.00,1.00,0.63,0.45,0.27;;1770810610
workflow builder ai;60;30;10.55;0.80;0.00;0.00;90800000;0.40,0.40,0.60,0.80,0.40,0.40,0.40,0.40,1.00,0.60,0.40,0.40;;1767563169
visual workflow automation;14;40;0.00;0.17;0.00;0.00;24200000;0.28,0.71,0.71,0.42,0.42,0.28,0.42,0.28,1.00,1.00,0.71,0.28;;1767881075
automation creator;97;30;5.77;0.76;0.00;0.00;30700000;0.18,0.18,0.18,0.18,1.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18;;1771216112
workflow editor;73;50;9.78;0.43;0.00;0.00;104000000;0.28,0.21,0.35,0.35,0.35,0.35,0.50,0.50,0.50,0.35,0.28,0.64;5;1770387585
automatic builder;97;210;2.68;0.06;0.00;0.00;240000000;0.00,0.03,0.03,0.36,0.54,0.44,0.19,0.15,0.29,0.00,0.29,0.44;;1770851867
agent workflow builder;18;30;6.94;0.73;0.00;0.00;39000000;0.18,1.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18;;1767570307
next js workflow;12;30;4.20;0.26;0.00;0.00;70700000;0.28,0.14,0.00,0.14,0.14,0.14,0.14,1.00,0.14,0.14,0.14,0.14;5;1771763678
vercel workflow sdk;6;40;0.00;0.01;0.00;0.00;601000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.05;;1770876606
platform workflow;34;110;21.84;0.52;0.00;0.00;203000000;0.26,0.34,0.19,1.00,0.34,0.65,0.34,0.26,0.53,0.34,0.42,0.42;5;1772107730
workflow developer;11;70;9.86;0.24;0.00;0.00;181000000;0.14,0.78,0.50,0.64,0.64,0.64,0.50,0.35,0.35,0.35,0.35,0.35;;1772137343
open source workflow automation platform;12;50;0.00;0.01;0.00;0.00;24400000;0.00,0.00,0.00,0.64,0.14,0.14,0.14,0.14,0.78,0.78,0.78,1.00;;1771730898
open source workflow automation platform;76;50;0.00;0.01;0.00;0.00;24400000;0.00,0.00,0.00,0.64,0.14,0.14,0.14,0.14,0.78,0.78,0.78,1.00;;1771730898
vercel visual editing;44;110;0.00;0.33;0.00;0.00;1020000;0.02,0.02,0.02,0.02,0.02,0.02,0.02,1.00,0.04,0.02,0.02,0.02;;1769566442
