Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
v0 figma;2;90;0.00;0.07;40.00;0.00;1240000;1.00,0.52,1.00,0.52,1.00,0.80,0.09,0.33,0.09,0.09,0.09,0.09;5;1769544710
figma v0;2;40;0.00;0.07;20.00;0.00;1170000;0.11,0.11,0.82,0.11,0.23,1.00,0.11,0.11,0.11,0.11,0.11,0.11;5;1771549684
v0 design system;2;50;7.22;0.05;20.00;100.00;71900000;0.41,0.23,0.11,1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.64,0.11;5;1767487088
vercel v0 ui;24;40;0.00;0.11;0.00;0.00;188000;0.14,1.00,0.28,0.28,0.00,0.14,0.14,0.78,0.14,0.14,0.14,0.14;;1767488205
vercel v0 ui;30;40;0.00;0.11;0.00;0.00;188000;0.14,1.00,0.28,0.28,0.00,0.14,0.14,0.78,0.14,0.14,0.14,0.14;;1767488205
figma custom;43;40;1.02;0.10;0.00;0.00;12400000;0.29,0.29,0.41,0.64,0.11,0.00,0.11,0.11,0.11,0.11,0.11,0.11;5;1769410178
vzero.dev;79;260;6.14;0.35;0.00;0.00;194000;0.15,0.29,0.29,0.44,1.00,0.66,0.44,0.36,0.29,0.19,0.15,0.15;;1769564075
shadcn ui kit figma for mobile application;57;260;0.00;0.00;0.00;0.00;18300;1.00,0.00,0.00,0.00,0.00,0.00,0.00;;1769869679
vercel design system;9;110;0.00;0.02;0.00;0.00;4780000;0.41,0.29,0.29,1.00,1.00,0.82,0.41,0.64,0.82,0.41,0.52,0.64;5;1767329709
vercel design system;13;110;0.00;0.02;0.00;0.00;4780000;0.41,0.29,0.29,1.00,1.00,0.82,0.41,0.64,0.82,0.41,0.52,0.64;5;1767329709
v0 to figma;4;50;0.00;0.06;0.00;0.00;1250000;0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1.00,0.05;5;1771229254
