Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
vercel domains;1;880;6.76;0.20;37.70;35.85;3130000;0.25,0.20,0.20,0.20,0.46,0.25,0.46,0.37,0.52,0.68,0.84,1.00;6;1767854686
domain;9;90500;7.67;0.39;14.51;15.65;842000000;0.13,0.16,0.13,0.13,0.16,0.13,0.10,0.08,0.10,0.16,0.13,0.16;1;1772093134
vercel domain;1;320;6.76;0.20;13.71;13.03;3580000;0.36,0.36,0.44,0.23,0.44,0.66,0.23,0.44,0.44,0.09,0.81,1.00;6;1767330574
domains;9;33100;7.67;0.39;12.37;13.34;865000000;0.44,0.54,0.44,0.36,0.44,0.36,0.66,0.36,0.44,0.36,0.44,0.81;;1772313737
domains;11;33100;7.67;0.39;2.62;2.82;865000000;0.44,0.54,0.44,0.36,0.44,0.36,0.66,0.36,0.44,0.36,0.44,0.81;;1772313737
vercel buy domain;1;50;7.95;0.50;2.14;2.39;2840000;0.11,0.23,0.11,1.00,0.11,0.11,0.11,0.11,0.11,0.11,1.00,0.11;6;1770570432
vercel domain search;1;50;7.44;0.32;2.14;2.23;1780000;0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.42,1.00;6;1771762602
domain search tool;10;1900;4.45;0.02;1.92;1.20;381000000;0.03,0.08,0.18,0.53,0.24,0.29,0.53,0.18,0.29,0.35,1.00,0.35;;1772596495
domain availability checker;13;6600;5.29;0.75;1.76;1.31;833000000;0.29,0.29,0.15,0.66,0.44,0.36,0.23,0.19,1.00,1.00,1.00,0.54;;1772495466
domain;33;90500;7.67;0.39;1.44;1.55;842000000;0.13,0.16,0.13,0.13,0.16,0.13,0.10,0.08,0.10,0.16,0.13,0.16;1;1772093134
domain buy;8;3600;6.93;0.82;1.33;1.30;623000000;0.66,0.66,0.66,0.66,0.81,0.66,0.66,0.66,0.66,0.66,0.66,0.66;;1772441916
buy domain;30;22200;10.55;0.82;0.80;1.19;659000000;0.29,0.44,0.29,0.36,0.36,0.44,0.44,0.36,0.36,0.29,0.36,0.29;;1772252406
domain search;31;22200;6.07;0.80;0.80;0.68;695000000;0.81,1.00,0.81,0.81,0.81,0.81,0.81,1.00,0.81,0.81,1.00,0.81;;1772275503
domains buy;8;480;6.93;0.82;0.58;0.57;737000000;1.00,0.36,0.13,0.24,0.24,0.36,0.16,0.36,0.20,0.20,0.24,0.20;;1769401611
domains search;10;590;6.07;0.80;0.58;0.49;165000000;0.20,0.20,0.16,0.20,0.24,0.24,0.20,0.24,0.30,0.24,0.30,0.30;;1770131427
look for domain;14;3600;6.07;0.80;0.53;0.45;542000000;0.01,0.00,0.00,0.19,0.00,0.01,1.00,0.29,0.01,0.44,0.24,0.08;;1772509584
buy domains;19;5400;10.55;0.82;0.42;0.63;547000000;0.66,0.66,0.44,0.54,0.44,0.36,0.36,0.36,0.36,0.36,0.44,0.54;;1772488804
buy domains;21;5400;10.55;0.82;0.42;0.63;547000000;0.66,0.66,0.44,0.54,0.44,0.36,0.36,0.36,0.36,0.36,0.44,0.54;;1772488804
domains domain;24;5400;8.22;0.40;0.42;0.48;166000000;0.01,0.02,0.00,0.01,1.00,0.00,0.00,0.01,0.00,0.00,0.67,0.00;;1772377274
purchase domain;25;5400;15.25;0.84;0.42;0.91;651000000;1.00,0.36,0.13,0.13,0.16,0.16,0.13,0.16,0.16,0.16,0.16,0.16;;1772316261
domains.;8;590;7.67;0.39;0.37;0.39;877000000;0.08,0.08,0.13,0.13,0.08,0.03,0.04,0.02,0.00,0.10,0.65,0.16;;1772408929
domain buy;20;3600;6.93;0.82;0.26;0.25;623000000;0.66,0.66,0.66,0.66,0.81,0.66,0.66,0.66,0.66,0.66,0.66,0.66;;1772441916
domain buy;21;3600;6.93;0.82;0.26;0.25;623000000;0.66,0.66,0.66,0.66,0.81,0.66,0.66,0.66,0.66,0.66,0.66,0.66;;1772441916
buy domane;9;590;10.55;0.82;0.21;0.31;674000000;0.44,0.35,0.35,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.00,0.00;;1772027925
buy internet site;10;1000;6.45;0.52;0.21;0.18;1700000000;0.79,0.79,0.66,0.66,0.13,0.41,0.16,0.66,0.24,0.16,0.13,0.10;;1772399379
buy is domain;20;2900;10.55;0.82;0.21;0.31;224000000;0.05,0.03,0.00,0.00,0.10,0.05,0.02,0.02,0.08,0.66,1.00,0.01;;1772466180
available domain names search;13;1300;5.29;0.75;0.16;0.11;278000000;0.05,0.03,0.13,1.00,0.52,0.36,0.27,0.36,0.52,0.24,0.44,0.27;;1771797515
domain search tool;22;1900;4.45;0.02;0.10;0.06;381000000;0.03,0.08,0.18,0.53,0.24,0.29,0.53,0.18,0.29,0.35,1.00,0.35;;1772596495
domain names search;27;1600;5.99;0.84;0.10;0.08;547000000;0.29,0.35,0.18,0.29,0.35,0.35,0.18,0.24,0.24,0.24,0.29,0.29;;1770929895
domain finder;27;3600;4.09;0.70;0.10;0.06;326000000;0.29,0.36,0.29,0.29,0.36,0.29,0.23,0.23,0.29,0.36,0.29,0.29;;1772514147
domain name finder;48;8100;5.99;0.84;0.10;0.08;336000000;0.81,0.19,0.16,0.19,0.08,0.16,0.13,0.24,0.36,0.24,0.24,0.13;;1772132750
