Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
next.js logo;1;1300;0.00;0.00;49.27;0.00;564000000;0.16,0.08,0.13,0.16,0.82,0.82,0.05,0.82,0.55,1.00,0.24,0.13;5;1770469515
next js logo;1;590;0.00;0.00;22.19;0.00;577000000;0.67,0.29,0.67,1.00,0.81,0.81,0.81,0.67,0.81,0.67,0.67,0.44;5;1770535689
nextjs logo;2;480;0.00;0.00;11.23;0.00;22300000;0.48,0.39,0.39,0.72,0.48,0.59,0.48,0.48,0.48,0.32,0.48,0.39;5;1768314271
v0 logo;1;210;0.00;0.00;7.78;0.00;150000000;0.04,0.22,0.29,0.43,0.54,1.00,0.54,0.43,0.43,0.43,0.43,0.35;5;1770467037
vercel logo;1;880;0.00;0.00;6.34;0.00;13500000;0.30,0.36,0.36,0.36,0.55,0.55,0.55,0.62,1.00,0.55,0.62,1.00;5;1768073394
vercel v0 logo;1;210;0.00;0.33;1.44;0.00;723000;1.00,0.15,0.15,0.15,0.15,0.15,0.54,0.54,0.12,0.02,0.02,0.02;5;1768027712
next js logo white;5;140;0.00;0.00;1.15;0.00;367000000;0.52,0.80,0.52,0.52,1.00,0.33,0.66,0.52,0.52,0.33,0.66,0.80;5;1767508742
nextjs logo transparent;5;50;0.00;0.33;0.28;0.00;5270000;0.81,0.81,0.18,1.00,0.18,1.00,0.18,1.00,0.18,0.18,0.18,0.18;5;1769242590
vercel logo png;1;50;0.00;0.33;0.28;0.00;14400000;0.07,0.07,0.07,0.07,0.07,1.00,0.07,0.07,0.07,0.42,0.07,0.34;5;1768888815
logotipo next;78;40;0.00;0.00;0.00;0.00;143000000;0.00,0.02,0.00,0.00,0.44,0.00,0.02,0.02,0.00,0.00,0.00,0.00;5;1770269377
vercel font;30;110;0.00;0.00;0.00;0.00;9680000;0.22,0.18,0.22,0.18,0.18,0.18,0.54,0.18,0.14,0.14,0.18,0.18;5;1771871573
vercel design system;75;110;0.00;0.02;0.00;0.00;4780000;0.41,0.29,0.29,1.00,1.00,0.82,0.41,0.64,0.82,0.41,0.52,0.64;5;1767329709
vercel geist;23;90;0.00;0.00;0.00;0.00;26100;0.10,0.18,0.14,0.18,0.14,0.14,0.14,0.18,0.18,0.18,0.22,0.14;;1770254655
vercel geist;44;90;0.00;0.00;0.00;0.00;26100;0.10,0.18,0.14,0.18,0.14,0.14,0.14,0.18,0.18,0.18,0.22,0.14;;1770254655
next logos;51;50;0.00;0.00;0.00;0.00;8780000000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.65,0.00;5;1770787556
vercel icon;3;50;0.00;0.33;0.00;0.00;10700000;0.64,0.23,0.23,0.23,0.29,0.17,0.11,0.00,1.00,0.64,0.29,0.11;5;1770473187
vercel products;36;70;0.00;0.01;0.00;0.00;0;0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.35,0.04,0.04,1.00,0.04;;1772565828
vercel logo svg;4;50;0.00;0.33;0.00;0.00;4950000;0.18,0.18,0.18,0.27,0.36,1.00,0.81,0.27,0.45,0.45,0.45,0.45;5;1772016210
nextjs symbol;3;50;0.00;0.00;0.00;0.00;6560000;0.18,1.00,1.00,0.36,0.81,0.63,0.00,0.18,0.81,0.36,0.18,0.00;5;1770787710
