Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
vercel logo;2;880;0.00;0.00;36.58;0.00;13500000;0.30,0.36,0.36,0.36,0.55,0.55,0.55,0.62,1.00,0.55,0.62,1.00;5;1768073394
next icons;3;140;0.00;0.00;26.82;0.00;709000000;0.43,0.06,0.43,0.53,0.65,0.81,0.43,0.00,0.15,0.34,0.43,0.53;5;1767675117
v0 logo;4;210;0.00;0.00;21.95;0.00;150000000;0.04,0.22,0.29,0.43,0.54,1.00,0.54,0.43,0.43,0.43,0.43,0.35;5;1770467037
vercel v0 logo;4;210;0.00;0.33;4.87;0.00;723000;1.00,0.15,0.15,0.15,0.15,0.15,0.54,0.54,0.12,0.02,0.02,0.02;5;1768027712
icon next;4;50;0.00;0.00;2.43;0.00;6230000000;0.04,0.07,0.00,0.26,0.17,0.00,0.00,0.11,0.02,0.00,0.00,0.00;5;1769592742
next icon;17;390;0.00;0.00;2.43;0.00;6940000000;0.25,0.16,0.31,0.16,0.31,0.25,0.16,0.20,0.16,0.25,0.16,0.16;5;1768139870
vercel icon;1;50;0.00;0.33;2.43;0.00;10700000;0.64,0.23,0.23,0.23,0.29,0.17,0.11,0.00,1.00,0.64,0.29,0.11;5;1770473187
vercel logo svg;1;50;0.00;0.33;2.43;0.00;4950000;0.18,0.18,0.18,0.27,0.36,1.00,0.81,0.27,0.45,0.45,0.45,0.45;5;1772016210
icones.js;60;480;0.00;0.00;0.00;0.00;608000000;0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00;5;1770534986
next.js icon;10;40;0.00;0.00;0.00;0.00;355000000;0.19,0.00,0.65,0.00,1.00,0.03,0.00,0.00,0.00,0.03,0.00,0.00;5;1767507011
ges icon;24;70;1.94;0.00;0.00;0.00;2160000000;0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;5;1770033127
icon for preview;65;170;0.00;0.00;0.00;0.00;851000000;0.53,0.42,0.80,0.80,0.80,0.80,0.53,0.53,0.53,0.53,0.42,0.42;5;1770854232
icon for preview;91;170;0.00;0.00;0.00;0.00;851000000;0.53,0.42,0.80,0.80,0.80,0.80,0.53,0.53,0.53,0.53,0.42,0.42;5;1770854232
best icon library for nextjs;36;40;0.00;0.05;0.00;0.00;10500000;0.19,0.19,0.19,1.00,0.19,0.09,0.09,0.09,0.09,0.09,0.09,0.09;;1769021883
best icon library for nextjs;39;40;0.00;0.05;0.00;0.00;10500000;0.19,0.19,0.19,1.00,0.19,0.09,0.09,0.09,0.09,0.09,0.09,0.09;;1769021883
next js logo png transparent;44;90;0.00;0.33;0.00;0.00;40900000;0.02,0.02,0.00,0.02,0.02,1.00,0.05,0.02,0.02,0.02,0.02,0.02;5;1769111847
next js logo png transparent;50;90;0.00;0.33;0.00;0.00;40900000;0.02,0.02,0.00,0.02,0.02,1.00,0.05,0.02,0.02,0.02,0.02,0.02;5;1769111847
icon middleware;10;50;0.00;0.00;0.00;0.00;4510000;0.17,0.12,0.12,0.07,0.17,0.12,0.05,0.23,0.17,0.17,0.17,0.12;5;1771718334
icon library for nextjs;61;40;0.00;0.33;0.00;0.00;13600000;0.14,0.14,0.14,0.14,1.00,0.28,0.14,0.50,0.14,0.14,0.14,0.14;5;1770561883
vercel logo png;6;50;0.00;0.33;0.00;0.00;14400000;0.07,0.07,0.07,0.07,0.07,1.00,0.07,0.07,0.07,0.42,0.07,0.34;5;1768888815
next js icons;15;210;0.00;0.00;0.00;0.00;83500000;0.12,0.82,0.35,0.66,0.43,0.53,0.82,0.43,0.43,0.35,0.66,0.53;5;1769522763
js icons;36;90;0.00;0.00;0.00;0.00;313000000;0.35,0.54,0.06,0.29,0.04,0.43,0.10,0.02,0.10,0.10,0.14,0.29;5;1767448501
vercel font;31;110;0.00;0.00;0.00;0.00;9680000;0.22,0.18,0.22,0.18,0.18,0.18,0.54,0.18,0.14,0.14,0.18,0.18;5;1771871573
vercel font;37;110;0.00;0.00;0.00;0.00;9680000;0.22,0.18,0.22,0.18,0.18,0.18,0.54,0.18,0.14,0.14,0.18,0.18;5;1771871573
vercel geist;15;90;0.00;0.00;0.00;0.00;26100;0.10,0.18,0.14,0.18,0.14,0.14,0.14,0.18,0.18,0.18,0.22,0.14;;1770254655
iconlook;87;50;0.00;0.00;0.00;0.00;365000;0.04,0.04,0.09,0.00,0.04,0.14,0.66,0.09,0.04,1.00,0.42,0.42;5;1767931465
geist design system;93;70;0.00;0.02;0.00;0.00;6500000;0.09,0.09,0.09,0.52,0.80,1.00,0.09,0.66,0.09,0.09,0.09,0.09;;1767469694
nextjs icon;13;210;0.00;0.00;0.00;0.00;22000000;0.53,0.66,0.53,0.66,0.66,1.00,0.82,0.12,0.12,0.66,0.66,0.82;5;1768337628
nextjs icons;15;260;0.00;0.00;0.00;0.00;5150000;0.44,0.12,0.54,0.36,0.36,0.23,0.23,0.36,0.36,0.29,0.23,0.44;5;1768176962
nextjs symbol;51;50;0.00;0.00;0.00;0.00;6560000;0.18,1.00,1.00,0.36,0.81,0.63,0.00,0.18,0.81,0.36,0.18,0.00;5;1770787710
next js icon;16;170;0.00;0.00;0.00;0.00;273000000;0.81,0.65,0.28,0.12,0.34,0.65,0.65,1.00,0.15,0.53,0.28,0.53;5;1770214561
eye material icon;70;90;0.00;0.00;0.00;0.00;178000000;0.18,0.18,0.18,1.00,1.00,1.00,1.00,1.00,0.81,0.63,0.81,0.81;5;1768632101
