Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
vercel design system;1;110;0.00;0.02;48.08;0.00;4780000;0.41,0.29,0.29,1.00,1.00,0.82,0.41,0.64,0.82,0.41,0.52,0.64;5;1767329709
vercel geist;1;90;0.00;0.00;39.34;0.00;26100;0.10,0.18,0.14,0.18,0.14,0.14,0.14,0.18,0.18,0.18,0.22,0.14;;1770254655
geist design system;1;70;0.00;0.02;9.28;0.00;6500000;0.09,0.09,0.09,0.52,0.80,1.00,0.09,0.66,0.09,0.09,0.09,0.09;;1767469694
geist ui;2;50;0.00;0.04;3.27;0.00;987000;0.15,0.15,0.21,0.34,0.28,0.15,0.15,0.21,0.15,0.12,0.12,0.06;;1772492032
systems icons;47;210;0.00;0.00;0.00;0.00;704000000;0.10,0.12,0.19,0.36,0.29,0.15,0.07,0.19,0.29,0.36,0.23,0.15;5;1769589313
vercel logo png;57;50;0.00;0.33;0.00;0.00;14400000;0.07,0.07,0.07,0.07,0.07,1.00,0.07,0.07,0.07,0.42,0.07,0.34;5;1768888815
geist sans;21;210;0.00;0.01;0.00;0.00;2620000;0.43,0.35,0.35,0.43,0.35,0.66,0.66,0.66,0.66,0.66,1.00,0.66;;1768446711
symbols aesthetic;97;1300;0.00;0.00;0.00;0.00;466000000;0.65,0.44,0.44,0.34,0.34,0.44,0.55,0.44,0.34,0.44,0.55,0.44;5;1769661942
vercel table library;5;40;0.00;0.00;0.00;0.00;188000;1.00,0.00,0.00,0.00,0.00;;1768903249
aesthetic elements;81;390;2.75;0.04;0.00;0.00;211000000;0.44,0.44,0.44,0.54,0.54,0.54,0.54,0.66,0.54,1.00,1.00,0.81;1,5;1769669516
vercel font;9;110;0.00;0.00;0.00;0.00;9680000;0.22,0.18,0.22,0.18,0.18,0.18,0.54,0.18,0.14,0.14,0.18,0.18;5;1771871573
vercel logo;65;880;0.00;0.00;0.00;0.00;13500000;0.30,0.36,0.36,0.36,0.55,0.55,0.55,0.62,1.00,0.55,0.62,1.00;5;1768073394
what is geist;26;90;0.00;0.00;0.00;0.00;36400000;0.21,0.21,0.21,0.15,0.28,0.21,0.15,0.21,0.21,0.43,0.53,0.43;0;1769581126
asethetic symbols;86;70;0.00;0.00;0.00;0.00;498000000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00;5;1769868449
geistsans;45;50;0.00;0.01;0.00;0.00;5640;0.00,0.19,0.00,0.11,0.15,0.11,0.00,0.15,0.15,1.00,0.00,0.19;;1767922783
geist;63;9900;0.00;0.01;0.00;0.00;0;0.44,0.36,0.24,0.29,0.29,0.36,0.29,0.29,0.36,0.29,0.36,0.44;0,1,5;1772517422
geist;70;9900;0.00;0.01;0.00;0.00;0;0.44,0.36,0.24,0.29,0.29,0.36,0.29,0.29,0.36,0.29,0.36,0.44;0,1,5;1772517422
geist;76;9900;0.00;0.01;0.00;0.00;0;0.44,0.36,0.24,0.29,0.29,0.36,0.29,0.29,0.36,0.29,0.36,0.44;0,1,5;1772517422
vercel icon;9;50;0.00;0.33;0.00;0.00;10700000;0.64,0.23,0.23,0.23,0.29,0.17,0.11,0.00,1.00,0.64,0.29,0.11;5;1770473187
material combobox;82;110;0.00;0.00;0.00;0.00;9000000;0.05,0.05,0.05,0.28,0.28,0.28,0.05,0.05,0.28,0.66,0.35,1.00;5;1770229876
aesthetic search icon;72;70;0.00;0.33;0.00;0.00;285000000;0.11,0.11,0.11,0.64,1.00,0.64,0.64,0.11,0.64,0.11,0.11,0.11;5;1769905966
stacked pills;72;50;1.54;0.91;0.00;0.00;11500000;0.00,0.00,0.02,1.00,0.02,0.02,0.02,0.02,0.06,0.02,0.02,0.02;5;1769803227
figma grids;90;210;0.00;0.01;0.00;0.00;710000;0.04,0.05,0.14,0.14,0.11,1.00,0.32,0.21,0.17,0.26,0.09,0.09;5;1769720285
