Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
next versions;7;90;0.00;0.00;50.00;0.00;512000000;0.22,0.08,0.04,0.10,0.22,0.04,0.14,0.35,0.06,0.14,1.00,0.06;;1767509326
15.5/4;12;210;0.00;0.00;25.00;0.00;323000;0.05,0.02,0.05,0.05,0.00,1.00,0.00,0.01,0.04,0.00,0.11,0.08;0;1769794071
15.5 7;10;50;0.00;0.00;25.00;0.00;263000000;0.06,0.06,0.09,0.09,0.00,0.00,0.00,0.00,0.00,0.53,1.00,0.53;;1770240235
actions in react;85;50;0.00;0.01;0.00;0.00;430000000;0.33,0.23,0.33,0.14,0.23,0.33,0.23,0.23,0.23,0.23,0.33,0.23;;1769952805
patch 14.3;62;50;0.00;0.33;0.00;0.00;17600000;0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1769421601
haackerone;66;90;0.00;0.00;0.00;0.00;1110000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00;4,5;1769223234
15.3/4;42;480;0.00;0.00;0.00;0.00;958000;0.02,0.05,0.00,0.00,0.02,0.03,1.00,0.01,0.01,0.01,0.02,0.02;0,5;1768131549
update js;29;40;0.00;0.33;0.00;0.00;675000000;0.34,0.65,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07;;1768655373
the fix project;92;590;2.02;0.04;0.00;0.00;1290000000;0.36,0.44,0.29,0.67,0.54,0.54,1.00,1.00,0.81,0.81,0.54,0.54;1;1770190982
implementaciones;61;50;0.00;0.00;0.00;0.00;2490000;0.00,0.00,0.04,0.14,0.04,0.04,1.00,0.42,0.09,0.42,0.66,0.00;1;1767242871
require js;84;210;0.00;0.00;0.00;0.00;340000000;0.13,0.04,0.13,0.11,0.16,0.13,0.04,0.11,0.16,0.11,0.11,0.07;;1767570080
hacjerone;50;90;0.00;0.00;0.00;0.00;1110000;0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;1,4;1769088506
react js versions;56;40;10.39;0.00;0.00;0.00;195000000;0.65,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.26,0.00;;1767519657
upgrade dashboard;84;30;2.00;0.16;0.00;0.00;499000000;0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.64,0.11,0.29,0.23;;1767986399
next base;34;210;1.44;1.00;0.00;0.00;3100000000;0.66,0.53,0.43,0.53,0.53,0.43,0.53,0.53,0.35,0.53,0.66,0.82;1;1770505647
nitro patches;79;50;0.00;0.00;0.00;0.00;5370000;0.17,0.26,0.00,0.04,0.04,0.05,0.05,0.05,0.04,0.02,0.00,0.00;5;1771844158
react js post request;94;50;0.00;0.01;0.00;0.00;64600000;0.55,0.55,0.77,1.00,0.55,0.77,0.55,0.55,0.55,0.22,0.22,0.22;;1772451596
svelte one and done;89;70;3.26;0.15;0.00;0.00;2560000;0.23,0.52,0.42,0.33,0.42,0.42,0.33,0.42,0.23,0.23,0.23,0.23;;1772324516
hackeone;39;70;1.58;0.00;0.00;0.00;1160000;0.00,0.00,0.00,0.00,0.81,0.02,0.00,0.00,0.00,0.00,0.00,0.36;;1768403793
react versions;36;1300;11.39;0.00;0.00;0.00;426000000;0.68,0.84,0.84,0.84,0.84,0.68,1.00,0.68,0.68,0.68,0.68,0.52;;1770948776
pm framework;86;30;4.47;0.09;0.00;0.00;336000000;0.21,0.14,0.21,0.78,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14;5;1768475871
latest next js version;62;170;0.00;0.00;0.00;0.00;587000000;0.28,0.15,0.15,0.81,0.53,0.65,0.21,0.65,0.65,0.53,1.00,0.43;;1769212486
next js server components;94;140;0.00;0.00;0.00;0.00;52200000;0.23,0.66,0.17,0.53,0.28,0.43,0.35,0.23,0.28,0.23,0.28,0.17;;1771386836
webpack version;49;70;0.00;0.00;0.00;0.00;10200000;0.23,0.35,0.28,0.23,0.02,0.07,0.23,0.23,0.17,0.17,0.17,0.17;;1772331373
version react;59;50;0.00;0.33;0.00;0.00;399000000;1.00,0.11,0.64,0.11,0.52,0.41,0.11,0.23,0.11,0.11,0.11,0.11;;1767876317
npm check updates;93;390;0.00;0.00;0.00;0.00;32700000;0.54,0.54,0.36,0.81,0.36,0.54,0.54,0.81,0.44,0.66,0.36,0.44;;1770902820
next jas;94;50;3.18;0.05;0.00;0.00;655000000;0.00,0.00,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1769212564
nextjs updates;40;40;0.00;0.02;0.00;0.00;21400000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.42,1.00,0.66,0.00;;1770872957
nextjs updates;57;40;0.00;0.02;0.00;0.00;21400000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.42,1.00,0.66,0.00;;1770872957
next turbopack;87;110;0.00;0.00;0.00;0.00;479000;0.80,0.80,0.52,0.52,0.80,1.00,0.52,0.09,0.33,0.33,0.23,0.33;;1767528237
next turbopack;89;110;0.00;0.00;0.00;0.00;479000;0.80,0.80,0.52,0.52,0.80,1.00,0.52,0.09,0.33,0.33,0.23,0.33;;1767528237
base reaction;93;720;0.00;0.00;0.00;0.00;1100000000;0.00,0.07,0.07,0.29,0.13,0.08,0.02,0.07,0.04,0.01,0.02,0.02;;1771564480
secure deployment;67;30;10.53;0.23;0.00;0.00;275000000;0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.07,0.07,0.03,0.02;;1768359172
bulletin 14;50;70;0.00;0.00;0.00;0.00;218000000;0.29,0.52,0.52,0.41,0.52,0.52,0.29,0.64,0.41,0.41,0.41,0.29;;1772543266
bulletin 14;64;70;0.00;0.00;0.00;0.00;218000000;0.29,0.52,0.52,0.41,0.52,0.52,0.29,0.64,0.41,0.41,0.41,0.29;;1772543266
check nextjs version;72;70;0.00;0.00;0.00;0.00;20700000;0.12,0.15,0.12,0.19,0.12,0.09,0.06,0.06,0.06,0.04,0.09,0.06;;1772240752
team upgrades repo;57;70;0.00;0.33;0.00;0.00;6000000;0.00,0.00,0.00,1.00,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.35;;1770467674
15.5 / 2;67;50;0.00;0.00;0.00;0.00;327000000;0.18,0.02,0.02,0.06,0.00,0.00,0.00,0.00,0.02,0.00,1.00,0.00;0,5;1770460402
ask the dom;80;260;24.65;0.50;0.00;0.00;237000000;0.66,0.53,0.53,0.82,0.66,0.66,0.82,0.53,0.53,0.53,0.66,0.66;;1767401238
