Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
evals;7;1300;0.00;0.00;7.22;0.00;27800000;0.29,0.43,0.22,0.22,0.16,0.13,0.29,0.36,0.22,0.22,0.36,0.20;1;1769926693
evals meaning;5;260;0.00;0.00;6.02;0.00;1520000;0.35,0.35,0.35,0.44,0.35,0.44,0.54,0.44,0.44,0.35,0.44,0.35;;1771800916
vercel fact checker;5;390;0.00;0.00;3.61;0.00;102000;0.00,1.00,0.00,0.00,0.00;5;1770467268
evals definition;2;110;0.00;0.00;2.40;0.00;831000;0.78,1.00,0.78,0.78,1.00,0.78,1.00,1.00,0.64,0.50,0.78,0.64;;1769402938
what are evals;3;110;0.00;0.00;2.40;0.00;1550000;0.09,0.09,0.09,0.52,0.80,0.52,0.80,0.66,0.33,1.00,0.66,0.42;;1770500294
what are evals in ai;7;90;5.23;0.03;1.20;10.63;649000000;0.04,0.09,0.04,0.09,0.04,0.52,1.00,0.80,0.52,0.52,0.80,0.42;;1772031015
ai evals;16;390;5.74;0.24;0.00;0.00;1610000;0.02,0.11,0.26,0.14,0.32,0.32,0.48,0.59,0.48,1.00,0.59,0.48;;1769870294
evals openai;57;50;0.00;0.01;0.00;0.00;683000;0.09,0.09,0.09,0.09,0.52,0.09,0.14,0.09,0.09,0.52,1.00,0.09;;1769278915
what is an eval;8;70;0.00;0.00;0.00;0.00;26300000;0.11,0.11,0.11,0.11,0.11,1.00,0.11,0.11,0.64,0.64,1.00,0.82;;1769787546
eval testing;8;70;0.00;0.02;0.00;0.00;27100000;0.00,0.03,1.00,0.01,0.01,0.00,0.03,0.03,0.03;;1769922506
evals ai;11;110;5.99;0.22;0.00;0.00;1740000;0.11,0.11,0.11,0.11,0.82,0.64,1.00,1.00,0.64,0.82,0.64,1.00;;1770538122
ai eval;18;260;4.89;0.27;0.00;0.00;27400000;0.07,0.15,0.12,0.23,0.10,0.29,0.12,0.07,0.12,0.44,0.81,1.00;;1767681576
eval test;13;50;2.96;0.03;0.00;0.00;26800000;0.00,0.03,0.00,0.42,0.53,1.00,0.00,0.03,0.03,0.00,0.00,0.00;5;1768750232
what are ai evals;13;70;5.83;0.03;0.00;0.00;1660000;0.05,0.23,0.29,0.05,0.05,0.11,0.11,1.00,0.11,1.00,1.00,1.00;;1769234795
