Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
vercel domains;3;880;6.76;0.20;43.75;39.83;3130000;0.25,0.20,0.20,0.20,0.46,0.25,0.46,0.37,0.52,0.68,0.84,1.00;;1767854686
vercel custom domain;2;170;9.52;0.07;25.00;32.20;1290000;0.66,0.80,1.00,1.00,1.00,0.66,1.00,1.00,0.80,0.80,0.66,0.66;;1768749180
vercel domain;4;320;6.76;0.20;6.25;5.08;3580000;0.36,0.36,0.44,0.23,0.44,0.66,0.23,0.44,0.44,0.09,0.81,1.00;;1767330574
vercel app domain;8;40;5.43;0.30;0.00;0.00;2270000;0.11,0.52,1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.00,0.00;;1769581236
vercel app domain;26;40;5.43;0.30;0.00;0.00;2270000;0.11,0.52,1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.00,0.00;;1769581236
how to move domain from siteground to vercel;28;480;0.00;0.00;0.00;0.00;3140;1.00,0.00,0.00,0.00;5;1769981853
subdomain vercel;41;90;0.00;0.33;0.00;0.00;43600;0.11,0.11,1.00,0.23,0.11,0.03,0.03,0.03,0.03,0.03,0.03,0.03;5;1767520171
vercel domain search;20;50;7.44;0.32;0.00;0.00;1780000;0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.42,1.00;;1771762602
vercel dns settings;49;70;0.00;0.33;0.00;0.00;1270000;0.00,0.00,0.01,0.02,0.00,0.00,0.01,0.00,0.02,0.02,0.02,1.00;;1772412463
vercel subdomains;28;70;0.00;0.01;0.00;0.00;16200;0.19,0.26,0.42,1.00,0.03,0.42,0.00,0.26,0.00,0.11,0.26,0.00;5;1767306925
connect vercal domain to tech domain;26;480;0.00;0.00;0.00;0.00;374000;1.00,0.00,0.00,0.00,0.00;5;1772228574
connect vercal domain to tech domain;38;480;0.00;0.00;0.00;0.00;374000;1.00,0.00,0.00,0.00,0.00;5;1772228574
vercel cname record;9;40;0.00;0.01;0.00;0.00;8080;0.18,0.81,1.00,0.18,0.18,0.18,0.18,0.81,0.18,0.18,0.18,0.18;;1767488460
vercel subdomain;39;70;0.00;0.33;0.00;0.00;41600;0.00,0.64,0.82,0.41,0.41,0.52,0.00,1.00,0.29,0.00,0.52,0.00;5;1770502537
vercel domain purchase;43;30;8.20;0.65;0.00;0.00;123000;0.78,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14;;1766601003
