Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
vercel cannot find module;1;50;0.00;0.33;100.00;0.00;938000;0.14,0.64,1.00,0.14,0.14,0.14,0.50,0.14,0.78,0.14,0.14,0.14;;1770816592
vercel dev not working;14;40;0.00;0.33;0.00;0.00;7440000;0.14,1.00,0.14,0.50,0.50,0.64,0.14,0.14,0.14,0.00,0.14,0.14;;1771589714
vercel dev not working;23;40;0.00;0.33;0.00;0.00;7440000;0.14,1.00,0.14,0.50,0.50,0.64,0.14,0.14,0.14,0.00,0.14,0.14;;1771589714
module not found: error: can't resolve;18;50;0.00;0.00;0.00;0.00;28300000;0.05,0.05,0.04,0.03,0.03,0.03,0.01,0.01,0.00,0.01,0.00,0.00;;1768486332
modulenotfounderror: no module named 'frontend';27;70;0.00;0.00;0.00;0.00;1500000;0.41,1.00,0.52,0.52,0.64,0.52,0.29,0.29,0.11,0.05,0.05,0.05;;1769169274
module not found default condition should be last one;15;40;0.00;0.07;0.00;0.00;75800000;0.64,1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11;;1767376352
code module_not_found;34;40;0.00;0.02;0.00;0.00;25500;0.15,0.15,0.15,0.09,0.21,0.21,0.15,0.06,0.06,0.06,0.06,0.06;;1769166687
next js module not found;20;70;0.00;0.01;0.00;0.00;132000000;0.00,0.00,0.02,0.00,0.00,0.02,0.02,0.02,0.02,1.00,0.02,0.00;;1767909344
module version not found exception;18;260;0.00;0.00;0.00;0.00;73000000;1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1770789054
err module not found;19;50;0.00;0.02;0.00;0.00;330000000;0.07,0.10,0.10,0.10,0.10,0.07,0.02,0.02,0.02,0.02,0.02,0.02;;1769685842
cannot find module node js;54;70;0.00;0.01;0.00;0.00;51100000;0.63,0.63,1.00,0.63,0.63,0.63,0.45,0.63,0.45,0.63,0.45,0.63;;1769391836
cannot find module;39;170;0.00;0.00;0.00;0.00;394000000;0.23,0.29,0.23,0.15,0.23,0.23,0.15,0.12,0.12,0.10,0.12,0.07;;1772596526
modulenotfounderror no module named src;37;50;0.00;0.02;0.00;0.00;512000;0.05,0.17,0.23,0.28,0.12,0.17,0.17,0.17,0.17,0.00,0.12,0.02;5;1770325444
cannot find module next link;31;50;0.00;0.33;0.00;0.00;444000000;0.23,0.41,0.82,0.82,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11;;1770216781
err_module_not_found;18;40;0.00;0.02;0.00;0.00;22400;0.23,0.33,0.33,0.42,0.42,0.09,0.09,0.09,0.09,0.09,0.09,0.09;;1768970318
zsh command not found vercel;10;40;0.00;0.03;0.00;0.00;2670;0.18,1.00,0.81,1.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18;;1770498000
error cannot find module;31;90;0.00;0.00;0.00;0.00;256000000;0.02,0.02,0.02,0.02,0.02,0.02,0.00,0.00,0.00,0.00,0.02,0.00;;1770497845
module not found: error: can't resolve 'web-vitals';46;1600;0.00;0.00;0.00;0.00;8700;0.66,1.00,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1771859069
module not found: error: can't resolve './app';33;260;0.00;0.00;0.00;0.00;22200000;0.00,0.03,1.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1768031317
cannot find module react;35;50;0.00;0.33;0.00;0.00;51700000;0.15,0.28,0.21,0.21,0.21,0.21,0.09,0.12,0.06,0.06,0.06,0.06;;1771343264
cannot find module react;37;50;0.00;0.33;0.00;0.00;51700000;0.15,0.28,0.21,0.21,0.21,0.21,0.09,0.12,0.06,0.06,0.06,0.06;;1771343264
module not found;18;90;0.00;0.00;0.00;0.00;453000000;0.18,0.18,0.14,0.18,0.18,0.18,0.14,0.14,0.14,0.14,0.14,0.18;;1767202814
