Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
how to move domain from siteground to vercel;2;480;0.00;0.00;100.00;0.00;3140;1.00,0.00,0.00,0.00;5;1769981853
how to transfer domain name from squarespace;66;70;4.19;0.18;0.00;0.00;161000;0.63,0.81,0.81,1.00,0.63,0.63,0.81,0.63,0.45,0.63,0.81,0.45;;1771731089
vercel buy domain;71;50;7.95;0.50;0.00;0.00;2840000;0.11,0.23,0.11,1.00,0.11,0.11,0.11,0.11,0.11,0.11,1.00,0.11;;1770570432
transferring squarespace domain;52;50;4.67;0.13;0.00;0.00;220000;0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1770502297
vercel domain search;32;50;7.44;0.32;0.00;0.00;1780000;0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.42,1.00;;1771762602
vercel dns settings;87;70;0.00;0.33;0.00;0.00;1270000;0.00,0.00,0.01,0.02,0.00,0.00,0.01,0.00,0.02,0.02,0.02,1.00;;1772412463
transferring domain from squarespace;82;50;5.10;0.10;0.00;0.00;242000;0.00,0.07,0.00,0.07,0.07,0.10,1.00,0.02,0.12,0.07,0.07,0.05;;1768434293
vercel domain;17;320;6.76;0.20;0.00;0.00;3580000;0.36,0.36,0.44,0.23,0.44,0.66,0.23,0.44,0.44,0.09,0.81,1.00;;1767330574
cloudflare domain transfer unsupported;64;260;0.00;0.00;0.00;0.00;26600;0.00,0.00,0.00,0.00,0.00,1.00,0.11,0.00,0.00,0.00,0.00,0.00;;1772439311
transfer a domain from squarespace;73;70;4.67;0.13;0.00;0.00;228000;0.54,0.01,0.00,0.00,0.18,0.00,0.00,0.00,0.23,0.00,0.35,0.00;;1768881975
square space release domain;62;260;0.00;0.00;0.00;0.00;4790000;1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1769012563
transfer domain name from squarespace;92;30;4.67;0.13;0.00;0.00;154000;0.00,0.00,0.00,0.08,0.54,0.00,0.00,0.02,0.00,0.00,0.00,0.00;;1768909582
vercel domains;17;880;6.76;0.20;0.00;0.00;3130000;0.25,0.20,0.20,0.20,0.46,0.25,0.46,0.37,0.52,0.68,0.84,1.00;;1767854686
