Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
vercel api key;1;260;0.00;0.02;60.00;0.00;4490000;0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00;;1767668326
vercel token;2;70;0.00;0.01;10.00;0.00;2530000;0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.28,0.03,1.00,0.03,0.00;;1769233706
vercel api;5;260;0.00;0.01;10.00;0.00;15400000;0.54,0.43,0.66,0.54,0.54,1.00,0.66,0.81,0.81,0.43,0.54,0.35;;1769928716
get token;44;720;2.95;0.00;0.00;0.00;399000000;0.08,0.07,0.13,0.16,0.24,0.20,0.11,0.16,0.16,0.24,0.34,1.00;;1771028132
api token example;31;50;0.00;0.05;0.00;0.00;122000000;0.23,0.23,0.23,0.17,0.23,0.17,0.64,0.11,0.17,0.29,0.41,0.41;5;1768336115
vercel.com login;72;40;0.00;0.33;0.00;0.00;11200000;0.03,0.03,0.07,0.11,0.11,0.03,0.07,1.00,0.03,0.07,0.07,0.00;;1771590233
api access token;28;70;7.22;0.23;0.00;0.00;172000000;0.63,0.63,0.81,0.63,0.63,0.63,0.81,0.45,0.45,0.81,0.81,0.18;;1767643390
api tokenization;53;260;4.43;0.11;0.00;0.00;7840000;0.35,0.28,0.44,0.11,0.11,0.11,0.66,0.66,1.00,0.66,0.54,0.44;;1767225521
how to get vercel project id and org id;51;210;0.00;0.00;0.00;0.00;80600;1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1769043816
vercel authentication;64;110;3.76;0.09;0.00;0.00;4620000;0.42,0.66,0.66,0.09,0.66,0.42,0.52,0.80,0.80,0.66,0.52,0.23;;1769872713
vercel auth;23;50;3.76;0.09;0.00;0.00;2490000;0.04,0.09,0.00,0.66,0.09,0.52,0.09,0.19,0.19,0.23,0.52,0.52;;1770233920
vercel com login;82;70;0.00;0.33;0.00;0.00;14800000;0.09,0.09,0.33,0.09,0.80,0.09,0.09,1.00,0.52,0.42,0.66,0.09;;1772413959
what is api token;31;110;1.26;0.02;0.00;0.00;276000000;0.52,0.52,0.42,0.33,0.66,0.52,0.52,0.66,0.80,0.52,0.66,0.66;;1767447850
