Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
how i use;12;3600;0.73;0.00;41.66;50.00;12500000000;0.00,0.00,0.00,0.00,0.00,0.10,0.81,0.00,0.08,1.00,1.00,0.02;5;1772322039
how i use;19;3600;0.73;0.00;41.66;50.00;12500000000;0.00,0.00,0.00,0.00,0.00,0.10,0.81,0.00,0.08,1.00,1.00,0.02;5;1772322039
sst/opencode;14;880;0.00;0.00;8.33;0.00;15300;1.00,0.55,0.00,0.00,0.00;5;1771621239
sst/opencode;18;880;0.00;0.00;8.33;0.00;15300;1.00,0.55,0.00,0.00,0.00;5;1771621239
vercel linkedin;67;110;0.00;0.00;0.00;0.00;5540000;0.42,0.42,0.42,0.52,0.66,0.52,0.42,0.42,0.52,0.42,0.80,0.42;;1772313581
localhost:3000./login;57;70;0.00;0.00;0.00;0.00;3090000;0.00,0.00,0.00,1.00;;1772277069
provider gateway;62;260;0.00;0.00;0.00;0.00;104000000;0.35,0.54,0.35,0.44,0.54,0.44,0.54,0.66,0.44,0.44,0.66,0.35;;1771657827
sonnet 93;61;70;0.00;0.33;0.00;0.00;4700000;0.15,0.26,0.42,0.53,0.65,0.19,0.07,0.07,0.11,0.42,0.42,0.11;;1771711487
sonnet 93;66;70;0.00;0.33;0.00;0.00;4700000;0.15,0.26,0.42,0.53,0.65,0.19,0.07,0.07,0.11,0.42,0.42,0.11;;1771711487
ai element name;60;90;0.00;0.00;0.00;0.00;309000000;0.12,0.28,0.23,0.17,0.23,0.17,0.10,0.12,0.35,0.66,0.28,0.17;5;1772301517
ai element name;71;90;0.00;0.00;0.00;0.00;309000000;0.12,0.28,0.23,0.17,0.23,0.17,0.10,0.12,0.35,0.66,0.28,0.17;5;1772301517
ai element name;85;90;0.00;0.00;0.00;0.00;309000000;0.12,0.28,0.23,0.17,0.23,0.17,0.10,0.12,0.35,0.66,0.28,0.17;5;1772301517
math haiku;89;140;0.00;0.00;0.00;0.00;1860000;0.28,0.34,0.65,0.65,1.00,0.65,0.28,0.21,0.43,0.43,0.28,0.43;5;1772233353
cursor pricing change;82;70;0.00;0.00;0.00;0.00;15500000;0.00,0.00,0.00,0.00,0.00,0.05,0.05,1.00,0.43,0.17,0.17,0.10;;1772300386
cursor pricing change;93;70;0.00;0.00;0.00;0.00;15500000;0.00,0.00,0.00,0.00,0.00,0.05,0.05,1.00,0.43,0.17,0.17,0.10;;1772300386
jwt npm;46;320;0.00;0.00;0.00;0.00;15200000;0.36,0.54,0.54,0.54,0.54,0.36,0.29,0.29,0.29,0.23,0.36,0.29;;1772303720
ai apps with no restrictions;77;90;1.42;0.52;0.00;0.00;171000000;0.78,0.78,0.14,0.14,0.14,0.78,0.35,0.50,0.50,1.00,0.78,1.00;;1772020597
api gateway jwt;86;70;0.00;0.01;0.00;0.00;4330000;0.14,0.14,0.14,0.78,0.14,0.78,0.14,0.78,0.35,1.00,0.64,0.64;;1772250273
haiku bot;73;210;0.00;0.00;0.00;0.00;2140000;0.43,0.06,0.35,0.54,0.54,0.43,0.43,0.43,0.43,0.54,0.43,0.66;5;1771956407
gateway brewing;54;40;0.00;0.04;0.00;0.00;9550000;0.19,0.15,0.15,0.26,0.07,0.11,0.15,0.19,0.26,0.15,0.07,0.15;1;1771975036
vercel free tier;38;320;5.95;0.02;0.00;0.00;634000;0.54,0.81,0.66,0.66,0.43,0.66,0.66,0.81,0.81,0.66,0.66,0.54;;1771660694
vercel careers;87;1900;3.82;0.00;0.00;0.00;4350000;0.55,0.65,0.65,0.65,0.65,0.55,0.65,0.65,1.00,1.00,0.82,0.82;;1772297015
jwt token node js;84;110;0.00;0.01;0.00;0.00;4970000;0.66,0.42,0.80,0.80,0.66,0.52,0.42,0.23,0.23,0.52,0.52,0.52;;1772132395
cursor premium models;23;110;0.00;0.02;0.00;0.00;8890000;0.05,0.05,0.82,1.00,0.82,0.53,0.17,0.12,0.07,0.05,0.05,0.05;;1771639613
