Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
ai sdk agents;4;40;7.14;0.13;100.00;100.00;42400000;0.18,0.81,0.18,0.18,0.18,0.18,0.18,0.18,0.18,1.00,0.18,1.00;;1768073634
vercel ai sdk python;19;40;0.00;0.01;0.00;0.00;1270000;0.23,0.80,0.52,0.23,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09;;1768937027
vercel ai sdk github;90;140;0.00;0.00;0.00;0.00;2060000;0.80,0.33,0.42,0.52,0.66,0.66,0.66,0.80,0.80,0.80,0.80,0.66;;1768563912
vercel ai agents;2;30;6.61;0.14;0.00;0.00;1740000;1.00,0.05,0.05,0.29,0.11,0.00,0.11,0.11,0.11,0.11,0.11,0.11;;1767018017
langgraph vercel ai sdk;59;50;0.00;0.02;0.00;0.00;20400;1.00,0.64,0.82,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11;;1770194033
weather maps ai vercel;29;210;0.00;0.00;0.00;0.00;26100;1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1771438315
agents sdk;67;720;8.10;0.26;0.00;0.00;105000000;0.00,0.00,0.02,1.00,0.41,0.41,0.36,0.36,0.36,0.30,0.30,0.30;;1769379824
ai agents sdk;20;30;6.22;0.50;0.00;0.00;51100000;0.00,0.00,0.00,0.36,0.18,0.18,0.27,1.00,0.18,0.00,1.00,0.00;;1771761937
build ai chatbot vercel app;61;260;0.00;0.00;0.00;0.00;1380000;1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1768120766
vercel agents;4;50;6.95;0.08;0.00;0.00;2890000;0.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.64,1.00,0.64;;1770880004
agent sdk;40;720;7.86;0.11;0.00;0.00;103000000;0.01,0.01,0.01,0.01,0.62,1.00,0.45,0.45,0.36,0.55,0.81,1.00;;1767557664
agentic ai sdk;21;30;5.85;0.79;0.00;0.00;14000000;0.14,0.64,0.14,0.14,0.28,0.14,0.14,0.14,0.14,0.14,0.21,0.14;;1771641680
aisdk;84;2400;0.00;0.01;0.00;0.00;13200;0.54,0.66,0.24,0.08,0.10,0.15,0.10,0.19,0.24,0.13,0.66,1.00;;1772452320
answer engine ai vercel;33;210;0.00;0.00;0.00;0.00;131000;1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1771692819
vercel ai sdk documentation;87;40;0.00;0.02;0.00;0.00;1200000;0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,1.00,1.00,0.18,0.18;;1769306237
ai agent deployment;59;30;8.04;0.53;0.00;0.00;112000000;0.11,0.11,0.11,0.11,0.17,0.52,0.05,0.23,0.52,0.00,0.00,0.00;;1768898956
