Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
vercel cors;1;40;0.00;0.33;50.79;0.00;359000;0.09,0.09,0.09,0.09,0.09,1.00,0.09,0.09,0.09,0.09,0.09,0.09;;1770392140
react cors error vercel;2;390;0.00;0.00;49.20;0.00;52900;1.00,0.00,0.00,0.00,0.00,0.00;;1767858339
allow cros;18;70;0.00;0.00;0.00;0.00;21600000;0.04,0.09,0.00,0.04,0.14,0.66,0.09,0.04,1.00,0.42,0.42,0.52;;1769029220
allow cors;17;110;0.00;0.00;0.00;0.00;21600000;0.26,0.42,0.34,0.80,0.42,0.42,0.34,0.42,0.53,0.53,0.34,0.42;;1768997488
i enable;50;70;0.00;0.00;0.00;0.00;4310000000;0.50,0.64,0.64,0.64,0.50,0.64,0.64,0.50,0.64,0.50,0.64,0.50;;1770170021
enablecors;13;70;0.00;0.00;0.00;0.00;117000;0.34,0.34,0.26,0.19,0.19,0.34,0.26,0.34,0.26,0.26,0.26,0.26;;1772344971
enable cors;14;90;0.00;0.00;0.00;0.00;19600000;0.34,0.42,0.42,0.42,0.34,0.42,0.42,0.34,0.26,0.26,0.26,0.26;;1770491870
next js cors;10;110;0.00;0.00;0.00;0.00;22200000;0.34,0.34,0.26,0.80,0.42,0.34,0.34,0.53,0.34,0.34,0.42,0.26;;1770147336
next js cors;45;110;0.00;0.00;0.00;0.00;22200000;0.34,0.34,0.26,0.80,0.42,0.34,0.34,0.53,0.34,0.34,0.42,0.26;;1770147336
nextjs cors;10;140;0.00;0.00;0.00;0.00;12100000;0.66,0.53,0.28,0.35,0.28,0.28,0.35,0.66,0.23,0.10,0.10,0.28;;1769579466
enabling cors;23;50;0.00;0.00;0.00;0.00;21900000;0.41,0.29,0.29,0.17,0.29,0.41,0.11,0.23,0.41,0.41,0.41,0.41;;1769010781
