Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
next js cms;10;320;3.72;0.43;4.16;3.26;144000000;0.19,0.44,0.44,0.44,0.44,0.44,0.29,0.36,0.36,0.81,0.29,0.19;;1770244274
next.js cms;13;210;4.42;0.36;4.16;4.34;93200000;0.53,0.53,0.53,0.43,0.66,0.43,0.35,0.23,0.66,1.00,0.82,0.66;;1767736491
cms for nextjs;10;70;5.26;0.64;0.00;0.00;4590000;0.21,1.00,0.35,0.28,0.35,0.78,0.50,0.64,0.50,0.35,0.50,0.14;;1769255714
headless cms for nextjs;9;70;4.64;0.02;0.00;0.00;658000;0.11,0.11,0.17,0.17,0.17,0.17,0.29,0.17,0.64,0.64,0.64,0.64;;1772048311
best cms for nextjs;75;90;5.11;0.70;0.00;0.00;3490000;0.80,0.52,0.33,1.00,0.33,0.52,0.52,0.52,0.09,0.19,0.23,0.66;;1769936952
next js headless cms;8;70;4.64;0.10;0.00;0.00;1050000;0.50,0.50,0.78,0.50,0.64,0.50,0.50,0.35,0.50,0.50,0.50,0.78;;1767207044
vercel cms;19;170;5.06;0.19;0.00;0.00;1330000;0.21,0.34,0.34,0.43,0.43,0.65,0.81,0.81,1.00,0.28,0.65,0.21;;1771248135
vercel cms;53;170;5.06;0.19;0.00;0.00;1330000;0.21,0.34,0.34,0.43,0.43,0.65,0.81,0.81,1.00,0.28,0.65,0.21;;1771248135
next cms;12;110;9.00;0.24;0.00;0.00;523000000;0.53,0.53,0.26,0.11,0.19,0.07,0.26,0.26,0.65,0.80,0.65,0.42;;1767308898
cms next;76;40;5.80;0.31;0.00;0.00;571000000;0.00,0.18,0.18,1.00,1.00,0.18,0.18,0.27,0.27,1.00,0.18,0.18;;1770548916
headless cms next js;9;30;5.69;0.45;0.00;0.00;1030000;1.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18;;1767671998
headless cms nextjs;9;40;4.80;0.64;0.00;0.00;728000;0.42,0.71,0.57,0.71,0.57,1.00,1.00,1.00,0.00,1.00,0.00,0.28;;1768938300
best headless cms for nextjs;15;40;4.25;0.54;0.00;0.00;146000;0.22,0.22,0.33,0.33,0.33,1.00,0.77,0.77,0.55,0.33,1.00,0.22;;1770150968
headless cms contentful;6;210;6.37;0.07;0.00;0.00;308000;0.18,0.18,0.23,0.44,0.23,0.44,0.54,0.18,1.00,0.54,0.35,0.15;;1770685724
headless cms contentful;78;210;6.37;0.07;0.00;0.00;308000;0.18,0.18,0.23,0.44,0.23,0.44,0.54,0.18,1.00,0.54,0.35,0.15;;1770685724
nextjs cms;54;590;3.72;0.43;0.00;0.00;3670000;0.36,0.36,0.29,0.54,0.54,0.67,0.54,0.81,0.81,0.81,0.81,1.00;;1771164411
nextjs headless cms;13;110;4.64;0.10;0.00;0.00;709000;0.11,0.26,0.26,0.19,0.15,0.65,0.42,0.80,1.00,0.80,0.42,0.15;;1770012708
cms nextjs;11;30;4.75;0.20;0.00;0.00;4770000;0.22,0.33,0.22,0.22,0.44,0.44,0.00,0.22,0.55,1.00,0.33,0.22;;1767567690
