Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
mcp server chatgpt;7;2400;0.00;0.07;46.87;0.00;7980000;0.00,0.00,0.03,0.03,0.03,0.03,1.00,0.03,0.66,0.66,0.03,0.00;;1772445448
chatgpt mcp;7;1300;9.64;0.14;29.16;67.41;27100000;0.05,0.00,0.05,0.20,0.55,0.65,1.00,0.44,0.44,0.82,0.44,0.24;;1770404920
gpt mcp;7;70;0.00;0.02;1.04;0.00;25200000;0.00,0.00,0.00,0.00,0.02,0.05,0.00,0.00,0.00,1.00,0.00,0.00;;1767866509
chatgpt mcp servers;14;480;8.83;0.18;1.04;2.00;9710000;0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.17,0.00;;1771996280
chatgpt server building;13;40;0.00;0.01;0.00;0.00;69200000;0.00,0.00,0.00,1.00,1.00,0.36,0.18,0.18,0.63,0.63,0.18,0.18;;1771229019
vercel mcp server;75;170;5.69;0.05;0.00;0.00;1340000;0.00,0.00,0.06,0.09,0.65,0.81,1.00,0.53,0.81,1.00,1.00,0.81;;1771325903
chat gpt mcp;14;140;4.11;0.16;0.00;0.00;8020000;0.00,0.07,0.07,0.12,0.35,0.28,0.53,0.28,0.53,0.43,1.00,0.23;;1771078786
chat gpt mcp;30;140;4.11;0.16;0.00;0.00;8020000;0.00,0.07,0.07,0.12,0.35,0.28,0.53,0.28,0.53,0.43,1.00,0.23;;1771078786
chatgpt custom connector;26;30;11.46;0.17;0.00;0.00;5520000;0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.11,0.07,0.07,0.07,0.07;;1769315884
chatgpt desktop mcp;51;140;0.00;0.02;0.00;0.00;4040000;0.00,0.00,0.00,0.06,0.21,0.81,0.81,1.00,0.65,0.81,0.53,0.43;;1767737018
chatgpt connector;17;140;3.56;0.09;0.00;0.00;18000000;0.03,0.06,0.03,0.08,0.03,0.28,1.00,0.44,0.18,0.23,0.35,0.01;;1770775623
chatgpt connector;28;140;3.56;0.09;0.00;0.00;18000000;0.03,0.06,0.03,0.08,0.03,0.28,1.00,0.44,0.18,0.23,0.35,0.01;;1770775623
does chatgpt support mcp;59;110;0.00;0.01;0.00;0.00;10900000;0.00,0.00,0.00,0.05,0.43,0.43,0.43,0.53,1.00,0.28,0.17,0.17;;1771543688
chatgpt mcp server;24;170;8.83;0.18;0.00;0.00;6620000;0.00,0.43,0.22,0.10,0.43,0.22,0.22,0.35,0.81,1.00,0.35,0.43;;1771326343
mcp chatgpt;8;210;5.06;0.09;0.00;0.00;22900000;0.04,0.04,0.00,0.35,0.66,0.66,1.00,0.43,0.35,0.81,0.43,0.22;;1769406079
mcp with chatgpt;6;40;0.00;0.05;0.00;0.00;23300000;0.00,0.04,0.09,0.04,0.04,0.09,0.09,1.00,0.52,0.09,0.09,0.09;;1768009871
chatgpt mcp support;20;210;3.45;0.12;0.00;0.00;16800000;0.00,0.00,0.00,0.08,0.28,0.28,0.54,0.44,0.44,0.81,1.00,0.54;;1770939234
