Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
cloudflare domains;17;9900;5.09;0.35;40.00;100.00;43100000;0.24,0.44,0.29,0.36,0.29,1.00,0.66,0.36,0.44,0.54,0.54,0.44;;1772257557
cloudflare vercel;3;70;0.00;0.01;20.00;0.00;2220000;0.05,0.05,0.05,0.43,0.05,0.05,0.05,0.05,0.05,0.05,1.00,0.05;;1769912709
transfer domain to cloudflare cost;23;1300;0.00;0.04;20.00;0.00;1010000;0.00,0.00,0.00,0.00,0.00,1.00,0.23,0.00,0.00,0.00,0.00,0.00;;1772262659
vercel cloudflare;3;90;0.00;0.02;20.00;0.00;2390000;0.50,0.64,1.00,0.78,0.64,0.64,0.35,0.64,0.35,0.50,0.50,0.35;6;1769603566
cloudflare integration;84;40;8.26;0.20;0.00;0.00;19200000;0.18,0.00,0.18,0.18,0.18,0.18,1.00,0.18,1.00,0.18,0.18,0.27;;1772057647
the transfer has triggered a web application firewall;68;170;0.00;0.00;0.00;0.00;599000;0.04,0.06,0.09,0.15,0.12,0.23,0.23,0.12,0.09,0.19,0.23,1.00;;1772113517
resumable;64;390;3.86;0.28;0.00;0.00;558000;0.35,0.54,0.28,0.66,0.44,0.66,0.66,0.81,0.81,1.00,0.81,0.66;;1772255782
cloudfire dns;56;170;4.18;0.01;0.00;0.00;24600000;0.01,0.00,0.10,0.20,0.45,0.10,0.08,0.03,0.00,0.00,0.16,0.00;;1772085733
cloudfare waf;64;90;7.49;0.24;0.00;0.00;7260000;0.00,0.28,0.53,0.10,0.00,0.00,0.00,0.17,0.02,0.07,1.00,0.35;;1772268125
cloudflare cname;83;90;0.00;0.02;0.00;0.00;1350000;0.52,0.82,1.00,0.82,0.52,0.64,0.52,0.52,0.52,0.41,0.52,0.41;;1772104313
speed test cloudfare;70;110;10.95;0.00;0.00;0.00;13500000;1.00,0.00,0.00,0.00,0.53,0.07,0.00,0.82,0.00,0.66,0.00,0.00;;1772096520
redis databse;84;50;21.46;0.22;0.00;0.00;27500000;0.00,0.00,0.00,0.00,0.00,0.02,1.00,0.00,0.28,0.00,0.00,0.00;1;1772057461
redis databse;91;50;21.46;0.22;0.00;0.00;27500000;0.00,0.00,0.00,0.00,0.00,0.02,1.00,0.00,0.28,0.00,0.00,0.00;1;1772057461
workers cloudflare pricing;27;50;0.00;0.14;0.00;0.00;7110000;0.11,0.23,1.00,0.23,0.82,0.11,0.23,0.11,0.11,0.11,0.11,0.11;;1772259240
redis open source;88;390;2.94;0.01;0.00;0.00;23100000;0.17,0.39,0.11,0.26,0.11,1.00,0.39,0.72,0.32,0.26,0.39,0.26;;1772088925
redis open source;90;390;2.94;0.01;0.00;0.00;23100000;0.17,0.39,0.11,0.26,0.11,1.00,0.39,0.72,0.32,0.26,0.39,0.26;;1772088925
buy domain cloudflare;63;170;4.97;0.71;0.00;0.00;35600000;1.00,0.65,0.53,0.53,0.43,0.53,0.53,0.65,0.53,0.43,0.43,0.53;;1772113686
cloudflare domain list;42;140;0.00;0.16;0.00;0.00;17800000;0.01,0.01,0.01,0.01,0.01,1.00,0.16,0.01,0.02,0.03,0.01,0.02;;1772129240
cloudflare domain list;52;140;0.00;0.16;0.00;0.00;17800000;0.01,0.01,0.01,0.01,0.01,1.00,0.16,0.01,0.02,0.03,0.01,0.02;;1772129240
