Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
vercel/netlify;1;590;5.83;0.27;99.31;98.83;1370000;1.00,0.00,0.00,0.01,0.13,0.04;;1769552211
vercel netlify;1;50;10.42;0.23;0.68;1.16;1240000;0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.64,0.64,1.00,0.11;6;1767583256
netfly hosting;37;170;5.99;0.15;0.00;0.00;1200000;0.03,0.07,0.04,0.00,0.01,0.15,0.03,1.00,0.07,0.23,0.23,0.23;;1772373877
netfly hosting;41;170;5.99;0.15;0.00;0.00;1200000;0.03,0.07,0.04,0.00,0.01,0.15,0.03,1.00,0.07,0.23,0.23,0.23;;1772373877
netfly hosting;56;170;5.99;0.15;0.00;0.00;1200000;0.03,0.07,0.04,0.00,0.01,0.15,0.03,1.00,0.07,0.23,0.23,0.23;;1772373877
netlify or vercel;11;90;5.78;0.12;0.00;0.00;1200000;0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1.00;;1771422230
vercel vs netlify;21;480;9.65;0.03;0.00;0.00;1280000;0.44,0.44,0.44,0.66,1.00,0.44,0.66,0.66,0.66,0.54,0.66,0.54;;1771730192
vercel or netlify;7;40;9.65;0.03;0.00;0.00;1290000;0.00,0.00,0.26,0.19,0.53,0.26,0.00,0.15,0.19,0.00,0.26,0.26;6;1771979681
vercel or netlify;12;40;9.65;0.03;0.00;0.00;1290000;0.00,0.00,0.26,0.19,0.53,0.26,0.00,0.15,0.19,0.00,0.26,0.26;;1771979681
netlify deno;93;140;0.00;0.33;0.00;0.00;27700;0.02,0.02,0.02,0.02,0.02,0.02,0.48,1.00,0.02,0.02,0.02,0.02;;1771056289
netlify vs vercel;17;590;9.65;0.03;0.00;0.00;1300000;0.16,0.20,0.20,0.25,0.25,0.25,0.31,0.31,0.31,1.00,0.37,0.20;;1771895251
netlify vs vercel;22;590;9.65;0.03;0.00;0.00;1300000;0.16,0.20,0.20,0.25,0.25,0.25,0.31,0.31,0.31,1.00,0.37,0.20;;1771895251
netlify vercel;3;30;7.91;0.40;0.00;0.00;1350000;0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,1.00,0.18,0.18;;1769368174
