Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
mongodb vs mysql vs postgresql;3;30;78.10;0.13;28.57;32.70;26100000;0.11,0.11,0.11,0.11,0.11,0.11,0.11,1.00,0.11,0.11,0.11,0.11;;1770025924
mysql vs postgresql vs mongodb;3;30;78.10;0.13;28.57;32.70;26700000;0.18,0.27,0.18,0.45,0.18,0.18,0.18,1.00,0.36,0.27,0.18,0.18;;1770084477
mongodb vs postgresql vs mysql;3;30;78.10;0.13;28.57;32.70;27100000;0.18,0.18,0.18,0.18,0.18,0.18,0.18,1.00,0.18,0.18,0.18,0.18;;1770085499
performance mongodb vs mysql;61;30;2.33;0.13;0.00;0.00;27500000;0.55,0.55,0.55,0.33,0.00,0.55,0.77,0.22,0.22,0.00,0.22,0.22;;1769868202
vercel database options;7;40;0.00;0.01;0.00;0.00;190000;1.00,0.36,0.18,1.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18;;1770473120
mongodb vs mysql query performance;46;40;0.00;0.33;0.00;0.00;27300000;1.00,1.00,1.00,0.40,0.40,0.40,0.40,0.80,0.80,0.80,0.40,0.60;;1769293860
mongodb vs mysql benchmark;25;50;2.33;0.13;0.00;0.00;194000;0.35,0.35,0.35,0.28,0.50,0.35,0.50,0.50,0.64,0.35,0.14,0.14;;1772358776
mongodb vs mysql;10;320;18.92;0.10;0.00;0.00;27100000;0.24,0.20,0.30,0.30,0.24,0.16,0.24,0.16,0.13,0.13,0.16,0.13;5;1767830300
mongodb speed vs mysql;87;50;2.33;0.13;0.00;0.00;4100000;0.55,0.55,0.55,0.33,0.77,0.55,0.77,0.55,0.55,0.55,0.22,0.22;;1772359388
mongodb speed vs mysql;93;50;2.33;0.13;0.00;0.00;4100000;0.55,0.55,0.55,0.33,0.77,0.55,0.77,0.55,0.55,0.55,0.22,0.22;;1772359388
mysql vs mongodb;8;140;11.13;0.14;0.00;0.00;27700000;0.12,0.15,0.15,0.19,0.19,0.19,0.15,0.19,0.19,0.15,0.10,0.12;;1768877031
