Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
prisma nextjs;3;210;0.00;0.01;37.77;0.00;1400000;0.29,0.36,0.36,0.36,0.29,0.23,0.23,0.07,0.19,0.23,0.15,0.12;;1768041622
prisma next js;3;170;0.00;0.01;24.44;0.00;13500000;0.53,0.66,0.66,0.28,0.53,0.53,0.10,0.53,0.66,0.17,0.53,0.28;;1767725353
postgres url vercel;2;480;0.00;0.00;17.77;0.00;47200;1.00,0.00,0.00,0.00;;1769567755
prisma postgres;5;390;2.21;0.10;4.44;3.60;1870000;0.66,0.35,1.00,1.00,1.00,0.35,0.81,0.81,0.66,0.81,0.66,0.66;;1770354534
nextjs postgres;4;30;107.80;0.17;2.22;96.39;4710000;0.19,0.23,0.52,0.04,0.23,0.33,0.04,0.14,0.00,0.00,0.09,0.00;;1772349120
nextjs prisma;3;110;0.00;0.01;2.22;0.00;1260000;0.35,0.44,0.23,0.28,0.23,0.11,0.18,0.11,0.08,0.15,0.05,0.11;;1771951124
next js prisma;2;110;0.00;0.01;2.22;0.00;14000000;0.15,0.19,0.15,0.23,0.19,0.23,0.06,0.19,0.15,0.12,0.12,0.12;;1771896282
next js orm;6;50;0.00;0.01;2.22;0.00;15900000;0.23,0.41,0.41,0.52,0.41,0.41,0.29,0.41,0.29,0.11,0.11,0.11;;1771243874
vercel nextjs;8;210;10.71;0.04;0.00;0.00;3570000;0.43,0.65,0.53,0.34,0.43,0.65,0.34,1.00,1.00,0.81,0.65,0.65;1;1767668342
nextjs database;10;70;0.00;0.04;0.00;0.00;19900000;0.43,0.21,1.00,0.53,0.00,0.15,0.12,0.15,0.00,0.00,0.06,0.06;;1767736369
next js vercel;6;110;4.81;0.04;0.00;0.00;5830000;0.42,0.09,0.52,0.80,1.00,0.80,0.00,0.52,0.80,0.33,0.33,0.52;1;1768245269
nextjs vercel;6;170;5.18;0.07;0.00;0.00;3990000;0.65,0.65,0.80,0.42,0.53,0.65,0.80,0.53,0.80,0.65,0.53,0.19;1;1770537774
prism orm;85;140;0.00;0.00;0.00;0.00;1570000;0.01,0.00,0.00,0.02,0.01,0.00,0.00,0.01,0.01,0.01,0.01,1.00;;1770480358
nextauth prisma adapter documentation;46;40;0.00;0.00;0.00;0.00;4610;1.00,1.00,0.60;;1769244223
nextauth prisma adapter documentation;54;40;0.00;0.00;0.00;0.00;4610;1.00,1.00,0.60;;1769244223
up next app;54;40;0.00;0.01;0.00;0.00;9020000000;1.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18,1.00,0.18,0.18,0.18;;1768303689
vercel table library;28;40;0.00;0.00;0.00;0.00;188000;1.00,0.00,0.00,0.00,0.00;;1768903249
vercel table library;45;40;0.00;0.00;0.00;0.00;188000;1.00,0.00,0.00,0.00,0.00;;1768903249
vercel database;72;260;9.67;0.04;0.00;0.00;5610000;0.32,0.26,0.32,0.39,0.26,0.21,0.26,0.26,0.26,0.26,0.26,0.32;;1770862269
nextjs jsdom;35;40;0.00;0.33;0.00;0.00;16400;0.11,0.80,0.11,0.07,0.07,0.07,0.00,0.00,0.07,0.07,0.07,0.07;;1767127900
vercel postgresql;8;90;8.83;0.04;0.00;0.00;2360000;0.42,0.26,0.00,0.80,0.00,0.80,0.53,0.65,0.00,0.00,0.53,0.00;;1772259369
next js postgres;4;40;107.80;0.17;0.00;0.00;6440000;0.26,0.26,0.03,0.11,0.03,0.15,0.11,0.26,0.19,0.11,0.11,0.11;;1771702839
next js postgresql;4;70;107.80;0.17;0.00;0.00;26400000;0.52,0.41,0.41,0.52,0.52,0.52,0.17,0.52,0.17,0.29,0.41,0.29;;1769295687
table prisma;55;50;0.00;0.03;0.00;0.00;75900000;0.45,0.63,0.63,0.27,0.63,0.45,0.63,0.63,0.18,0.18,1.00,0.18;5;1768918885
vercel/postgres;74;30;8.83;0.04;0.00;0.00;696000;0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1770748501
vercel next.js;12;30;4.88;0.07;0.00;0.00;5690000;0.42,0.07,0.53,0.53,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00;1;1771762694
turvo sandbox;51;40;0.00;0.05;0.00;0.00;599;1.00,0.22,0.22,1.00,0.77,0.22,0.22,0.22,0.44,0.44,0.22,0.22;5;1771767167
how to create a next js app;17;90;4.20;0.12;0.00;0.00;328000000;0.05,0.05,0.53,0.43,0.05,0.05,0.05,0.10,0.05,0.05,1.00,0.05;;1770049071
vercel next;10;40;0.00;0.01;0.00;0.00;16100000;1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.64,0.11,0.11,0.11;;1768230538
next.js vercel;7;50;5.18;0.07;0.00;0.00;4540000;0.64,1.00,0.41,0.29,0.05,0.00,0.00,0.00,0.00,0.00,0.82,0.82;1;1771504190
next.js vercel;11;50;5.18;0.07;0.00;0.00;4540000;0.64,1.00,0.41,0.29,0.05,0.00,0.00,0.00,0.00,0.00,0.82,0.82;1;1771504190
prisma installation;23;50;0.00;0.33;0.00;0.00;17600000;0.35,0.35,0.28,0.50,0.35,0.64,0.50,0.50,0.50,0.14,0.14,0.14;;1767664414
next database;8;90;13.40;0.04;0.00;0.00;616000000;0.52,0.42,0.42,0.19,0.66,1.00,0.33,0.33,0.52,0.42,0.52,0.42;6;1769384915
vercel next js;17;210;4.88;0.07;0.00;0.00;5660000;0.35,0.66,0.53,1.00,0.53,0.53,0.35,1.00,0.53,0.43,0.10,0.28;1;1769605578
