Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
openai function calling;12;1300;17.54;0.07;100.00;100.00;39100000;0.34,0.55,0.55,0.55,0.44,0.55,0.44,0.44,0.30,0.24,0.24,0.16;;1772301886
gpt-4 newly updated function-calling api official docs;75;140;0.00;0.00;0.00;0.00;2080000;0.07,0.07,1.00,0.07,0.01,0.00,0.00,0.00;;1768887519
gpt-4 newly updated function-calling api official docs;80;140;0.00;0.00;0.00;0.00;2080000;0.07,0.07,1.00,0.07,0.01,0.00,0.00,0.00;;1768887519
openai api calling;39;40;0.00;0.01;0.00;0.00;19000000;0.18,0.18,0.18,1.00,0.18,0.18,0.18,0.18,0.18,1.00,0.18,0.18;;1767945825
openai tool calling;34;480;17.54;0.03;0.00;0.00;66500000;0.36,0.81,1.00,0.81,0.81,0.81,0.81,0.66,0.66,0.44,0.54,0.36;;1771896664
function calling openai;14;260;30.00;0.08;0.00;0.00;51800000;0.66,0.81,0.81,0.66,0.66,0.43,0.54,0.54,0.29,0.29,0.29,0.14;;1770014409
function calling openai;26;260;30.00;0.08;0.00;0.00;51800000;0.66,0.81,0.81,0.66,0.66,0.43,0.54,0.54,0.29,0.29,0.29,0.14;;1770014409
openai api function calling;18;40;0.00;0.03;0.00;0.00;25700000;0.01,0.01,0.05,0.08,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01;;1770203225
openai api function calling;19;40;0.00;0.03;0.00;0.00;25700000;0.01,0.01,0.05,0.08,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01;;1770203225
openai tool calls;23;90;4.40;0.01;0.00;0.00;74500000;0.04,0.04,0.04,0.35,0.04,0.04,0.04,0.04,0.29,1.00,0.43,0.00;;1767351579
openai tool function;51;40;0.00;0.00;0.00;0.00;17700000;1.00,1.00,0.23,0.11,0.11,0.11,0.00,0.00,0.11,0.11,0.11,0.00;;1769463291
openai function calling examples;26;40;0.00;0.08;0.00;0.00;20000000;0.33,0.23,0.33,0.19,0.23,0.19,0.09,0.09,0.09,0.09,0.09,0.09;;1772564380
openai tool call;23;70;0.00;0.02;0.00;0.00;88800000;0.07,0.07,0.07,0.42,0.80,0.07,0.07,1.00,0.07,0.07,0.07,0.07;;1770311196
open ai tool calling;19;70;17.54;0.03;0.00;0.00;185000000;0.00,0.42,0.04,0.00,0.33,1.00,1.00,0.66,0.23,0.33,0.23,0.00;;1771633713
open ai tool calling;32;70;17.54;0.03;0.00;0.00;185000000;0.00,0.42,0.04,0.00,0.33,1.00,1.00,0.66,0.23,0.33,0.23,0.00;;1771633713
openai function calling tutorial;49;50;0.00;0.21;0.00;0.00;367000;0.09,0.09,0.09,0.09,1.00,1.00,0.09,0.09,0.09,0.09,0.09,0.09;5;1770373139
azure openai function calling;59;40;0.00;0.11;0.00;0.00;4470000;0.15,0.19,0.19,0.26,0.15,0.26,0.07,0.19,0.11,0.07,0.07,0.07;;1771409177
open ai function calling;28;170;17.54;0.07;0.00;0.00;901000000;0.35,0.28,0.35,1.00,0.54,0.54,0.08,0.05,0.00,0.15,0.08,0.00;;1770241575
openai function calling guide;33;40;0.00;0.10;0.00;0.00;1610000;0.00,0.50,0.14,0.14,0.14,0.14,1.00,0.14,0.14,0.78,0.14,0.14;;1769293303
gpt-4 function-calling api official docs;99;70;0.00;0.00;0.00;0.00;525000;1.00,0.03,0.00,0.00,0.00;;1767679175
openai api tool calling;30;40;0.00;0.01;0.00;0.00;36100000;0.11,0.11,0.23,0.11,0.23,0.11,0.11,0.11,0.11,1.00,0.11,0.11;;1767949237
ai-sdk/openai;76;30;14.66;0.02;0.00;0.00;19800000;1.00,0.18,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18;;1767382405
openai functions;21;70;0.00;0.04;0.00;0.00;112000000;0.02,0.04,0.04,0.04,0.04,0.03,0.02,0.03,0.00,0.02,0.02,0.01;;1772521025
openai function calling documentation;43;40;0.00;0.33;0.00;0.00;26400000;0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,1.00,1.00,0.18,0.18;;1769295505
o1 function calling;61;70;0.00;0.33;0.00;0.00;6840000;0.22,1.00,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.00,0.04;;1771322022
