Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
vercel core web vitals;1;40;0.00;0.17;69.56;0.00;82100;0.14,0.14,1.00,0.14,0.50,0.14,0.28,0.14,0.14,0.14,0.14,0.14;6;1768167126
next core web vitals;3;70;0.00;0.06;10.86;0.00;7710000;0.21,0.35,0.50,0.64,0.78,0.50,0.35,0.50,0.50,0.50,0.14,0.28;;1769703418
improve core web vitals;4;170;10.84;0.27;8.69;65.15;871000;0.28,0.17,0.10,0.10,0.53,0.10,0.05,0.66,0.66,0.53,0.53,1.00;;1770154865
how to optimzie core web vitals;3;90;0.00;0.00;4.34;0.00;1050000;0.28,0.34,0.28,0.28,1.00,0.06,0.06,0.34,0.53,0.28,0.06,0.06;;1769562103
core web vitals optimization;8;210;11.25;0.34;2.17;16.66;1870000;0.35,0.18,0.10,0.18,1.00,0.18,0.22,0.43,1.00,0.43,0.81,0.81;6;1768881998
core web vitals optimisation;5;50;0.00;0.33;2.17;0.00;210000;0.18,0.45,0.81,0.81,1.00,0.45,0.63,0.45,0.36,0.45,0.18,0.18;;1767519585
next/core-web-vitals;5;70;12.45;0.05;2.17;18.18;3810000;0.42,0.52,0.52,0.42,0.04,0.14,0.19,0.09,0.42,0.33,0.09,0.33;;1768452266
lcp web vitals;57;40;2.49;0.17;0.00;0.00;476000;0.06,0.03,0.08,0.11,0.06,0.05,0.01,0.06,0.15,0.06,0.11,0.03;;1771646506
lcp web vitals;59;40;2.49;0.17;0.00;0.00;476000;0.06,0.03,0.08,0.11,0.06,0.05,0.01,0.06,0.15,0.06,0.11,0.03;;1771646506
what is core web vitals optimization;38;70;0.00;0.00;0.00;0.00;840000;0.12,0.17,0.12,0.17,1.00,0.05,0.05,0.17,0.35,0.12,0.00,0.00;;1770768513
server-side rendering improves first contentful paint react;95;70;0.00;0.00;0.00;0.00;11200;0.17,0.29,1.00,0.17;;1768469498
optimize for core web vitals;6;90;0.00;0.21;0.00;0.00;529000;0.52,0.52,0.23,0.33,1.00,0.23,0.42,0.09,0.80,0.33,0.09,0.09;;1769621707
core web vitals js;13;50;0.00;0.10;0.00;0.00;886000;0.64,1.00,0.78,0.14,0.14,0.14,0.14,0.14,0.50,0.14,0.14,0.14;;1767926407
core web vitals lcp cls inp google;19;70;0.00;0.00;0.00;0.00;84200;0.27,1.00;;1772140012
lcp core web vitals;25;40;6.63;0.18;0.00;0.00;423000;0.33,0.33,0.55,0.55,0.33,0.22,0.22,0.44,1.00,0.44,0.77,0.22;;1769947122
how to solve core web vitals;8;140;0.00;0.33;0.00;0.00;678000;0.17,0.28,0.23,0.28,1.00,0.23,0.35,0.53,0.28,0.53,0.10,0.05;;1770058096
how to improve inp core web vitals;75;30;3.94;0.39;0.00;0.00;47700;0.28,0.28,0.28,1.00,0.57,0.28,0.28,0.28,0.28,0.28,0.28,0.28;;1767604230
