Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
next js context;1;90;0.00;0.01;51.16;0.00;179000000;0.65,0.42,0.42,0.42,0.26,0.34,0.34,0.42,0.15,0.26,0.26,0.19;5;1771103090
nextjs context;1;50;0.00;0.00;27.90;0.00;17000000;0.80,0.23,0.66,0.19,0.09,0.66,0.00,0.14,0.23,0.14,0.09,0.14;;1767737059
next js state management;4;140;0.00;0.01;13.95;0.00;223000000;0.65,0.80,0.80,0.53,0.53,0.42,0.53,0.65,0.26,0.34,0.34,0.26;;1771921539
nextjs state management;4;50;0.00;0.01;4.65;0.00;11200000;0.14,0.22,0.18,0.29,0.10,0.14,0.06,0.10,0.04,0.10,0.06,0.00;;1769305536
context react;33;1900;2.92;0.01;2.32;100.00;215000000;0.66,0.66,0.36,0.66,0.52,0.44,0.52,0.52,0.36,0.44,0.36,0.36;;1772078341
nextjs server component;62;50;0.00;0.00;0.00;0.00;17700000;0.00,0.29,0.00,0.64,0.82,0.41,0.17,0.29,0.23,0.41,0.05,0.11;;1767528163
react contet;14;40;4.54;0.01;0.00;0.00;208000000;0.00,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00;;1767883607
setcontext;84;50;0.00;0.33;0.00;0.00;1090000;0.12,0.12,0.53,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.53,0.05;;1769404143
react contexr;22;30;2.92;0.01;0.00;0.00;208000000;1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1772064647
reactjs use context;53;90;0.00;0.00;0.00;0.00;15200000;0.28,0.28,0.34,0.28,0.28,0.28,0.43,0.28,0.28,0.21,0.28,0.28;;1769112970
react provider;60;260;0.00;0.01;0.00;0.00;259000000;0.35,0.44,0.66,0.35,0.44,0.44,0.44,0.54,0.44,0.35,0.35,0.35;;1769406022
react provider;73;260;0.00;0.01;0.00;0.00;259000000;0.35,0.44,0.66,0.35,0.44,0.44,0.44,0.54,0.44,0.35,0.35,0.35;;1769406022
react provider and context;33;40;0.00;0.33;0.00;0.00;192000000;0.23,0.11,0.11,0.41,0.11,0.23,0.11,1.00,0.41,0.11,0.00,0.11;;1767937315
reactjs createcontext;52;90;0.00;0.01;0.00;0.00;36400;0.28,0.28,0.34,0.34,0.28,0.28,0.34,0.21,0.15,0.21,0.21,0.15;;1769536048
reactjs createcontext;68;90;0.00;0.01;0.00;0.00;36400;0.28,0.28,0.34,0.34,0.28,0.28,0.34,0.21,0.15,0.21,0.21,0.15;;1769536048
read context;25;90;0.00;0.00;0.00;0.00;803000000;0.50,0.50,0.50,0.50,0.64,0.64,0.50,0.50,0.35,0.78,0.78,1.00;;1767518513
createcontext reactjs;58;40;0.00;0.02;0.00;0.00;36800;0.19,0.19,0.19,0.11,0.26,0.26,0.19,0.19,0.19,0.15,0.07,0.07;;1770304931
use server nextjs;46;50;0.00;0.01;0.00;0.00;23500000;0.19,0.26,0.26,0.26,0.26,0.26,0.26,0.19,0.07,0.07,0.07,0.07;;1767437875
use server nextjs;51;50;0.00;0.01;0.00;0.00;23500000;0.19,0.26,0.26,0.26,0.26,0.26,0.26,0.19,0.07,0.07,0.07,0.07;;1767437875
reactjs create context;20;90;0.00;0.01;0.00;0.00;14600000;0.34,0.34,0.34,0.34,0.26,0.34,0.42,0.26,0.19,0.26,0.26,0.34;;1769989997
reactjs create context;31;90;0.00;0.01;0.00;0.00;14600000;0.34,0.34,0.34,0.34,0.26,0.34,0.42,0.26,0.19,0.26,0.26,0.34;;1769989997
within context of no context;98;40;0.33;0.06;0.00;0.00;825000000;0.50,0.35,0.50,0.00,0.14,0.35,0.35,0.50,0.50,0.14,0.00,0.35;1;1768243908
context provider react;15;110;0.00;0.02;0.00;0.00;163000000;0.14,0.22,0.18,0.22,0.22,0.18,0.22,0.22,0.22,0.22,0.22,0.18;;1772135724
user context react;39;50;0.00;0.01;0.00;0.00;104000000;0.26,0.26,0.34,0.11,0.42,0.42,0.34,0.07,0.07,0.07,0.07,0.07;;1771984452
createcontext react;38;170;0.00;0.02;0.00;0.00;358000;0.35,0.53,0.53,1.00,0.43,0.35,0.35,0.35,0.28,0.35,0.28,0.23;;1771096545
context provider;9;70;0.00;0.00;0.00;0.00;428000000;0.33,0.23,0.42,0.42,0.52,0.42,0.33,0.42,0.23,0.33,0.42,0.33;;1771706908
react contex;21;70;2.92;0.01;0.00;0.00;208000000;0.00,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.00,0.00,0.00;;1772065054
