Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
vercal support;11;480;0.00;0.00;10.00;0.00;11800000;1.00,0.00,0.00,0.00,0.00;;1771765449
vercal support;37;480;0.00;0.00;0.00;0.00;11800000;1.00,0.00,0.00,0.00,0.00;;1771765449
vercel outage;70;260;0.00;0.00;0.00;0.00;53700;0.02,0.02,0.05,0.03,0.03,0.02,0.08,0.07,0.11,0.08,1.00,0.13;;1772020275
failed to verify your browser vercel security checkpoint;30;50;0.00;0.33;0.00;0.00;0;1.00,0.26,0.15,0.07,0.07,0.07,0.00,0.07,0.07,0.07,0.07,0.07;;1766953930
vercel app proxy;58;40;0.00;0.01;0.00;0.00;240000;0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.78,0.14,1.00;;1770001636
vercel app proxy;80;40;0.00;0.01;0.00;0.00;240000;0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.78,0.14,1.00;;1770001636
vercel office;35;50;0.00;0.33;0.00;0.00;3550000;0.18,0.18,0.18,0.18,0.18,0.18,0.27,1.00,0.45,0.45,0.63,1.00;3;1771589605
vercel failed to verify your browser;16;40;0.00;0.33;0.00;0.00;10300;0.52,1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11;;1766868285
vercel support;10;140;0.00;0.00;0.00;0.00;19300000;0.42,0.66,0.33,0.80,0.66,0.52,0.66,1.00,0.66,0.52,0.80,0.52;;1770249598
vercel status page;45;90;0.00;0.02;0.00;0.00;17200000;0.05,0.05,0.05,0.05,0.05,0.28,0.53,0.28,0.05,0.05,1.00,0.23;;1768765864
vercel cors;95;40;0.00;0.33;0.00;0.00;359000;0.09,0.09,0.09,0.09,0.09,1.00,0.09,0.09,0.09,0.09,0.09,0.09;;1770392140
vercel security checkpoint failed;50;40;0.00;0.33;0.00;0.00;2160;0.64,0.14,0.14,0.14,1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.14;;1769307815
