Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
xss attack;10;2900;0.00;0.00;30.76;0.00;3710000;0.43,0.54,0.54,0.65,0.81,0.81,0.54,0.54,0.43,0.65,0.65,0.54;1;1772480899
xss;23;5400;0.00;0.00;23.07;0.00;11200000;0.36,0.36,0.36,0.54,0.44,0.44,0.44,0.44,0.36,0.36,0.36,0.36;1;1772168223
xsss;16;720;0.00;0.00;15.38;0.00;11900000;0.76,0.45,0.36,0.24,1.00,1.00,0.45,0.67,0.67,0.67,0.55,0.30;;1769866534
xss attacks;11;720;0.00;0.00;7.69;0.00;4080000;0.37,0.31,0.37,0.37,0.31,0.46,0.16,0.25,0.46,0.31,0.31,0.68;;1768117904
script alert xss script;9;210;0.00;0.00;7.69;0.00;1460000;0.53,0.65,0.80,0.80,1.00,0.65,0.53,0.53,0.53,0.80,1.00,0.80;;1768673356
xss;36;5400;0.00;0.00;7.69;0.00;11200000;0.36,0.36,0.36,0.54,0.44,0.44,0.44,0.44,0.36,0.36,0.36,0.36;1;1772168223
xss script;25;1900;0.00;0.00;7.69;0.00;4140000;0.29,0.29,0.19,0.23,0.44,0.29,0.10,0.12,0.29,0.16,0.12,0.07;;1769792789
xss javascript;52;70;0.00;0.00;0.00;0.00;6580000;0.35,0.50,0.50,1.00,0.64,0.50,0.50,0.50,0.78,0.50,0.50,0.35;;1769908370
cross site scripting attack prevention;29;70;0.00;0.00;0.00;0.00;5650000;0.45,0.63,0.63,0.81,0.63,0.81,0.63,0.63,0.45,0.63,0.45,0.45;;1768948856
xss how to prevent;56;110;0.00;0.00;0.00;0.00;2660000;0.34,0.34,0.42,0.15,0.34,0.53,0.53,0.34,0.34,0.42,0.53,0.42;;1771488884
xss cross;90;2900;0.00;0.00;0.00;0.00;3890000;0.24,0.02,0.81,1.00,1.00,0.43,0.66,0.00,0.13,0.36,0.36,0.36;;1772522371
types of xss attacks;8;50;0.00;0.33;0.00;0.00;2440000;0.10,0.07,0.05,0.05,0.17,0.28,0.12,0.28,0.10,0.05,0.12,0.10;;1771068334
types of xss;15;170;0.00;0.00;0.00;0.00;6360000;0.28,0.28,0.53,1.00,1.00,1.00,0.81,0.65,0.34,0.34,0.43,0.34;5;1770084687
types of xss;26;170;0.00;0.00;0.00;0.00;6360000;0.28,0.28,0.53,1.00,1.00,1.00,0.81,0.65,0.34,0.34,0.43,0.34;5;1770084687
script alert script xss;84;110;0.00;0.00;0.00;0.00;308000;0.42,0.42,0.52,0.19,0.42,0.66,0.66,0.42,0.33,0.52,0.80,1.00;;1770285664
x xss protection;64;210;0.00;0.00;0.00;0.00;3270000;0.23,0.23,0.19,0.44,0.44,0.36,0.36,0.36,0.29,0.29,0.23,0.19;;1769176329
cross scripting attack example;62;320;0.00;0.00;0.00;0.00;11100000;0.12,0.29,0.15,0.15,0.29,0.67,0.67,0.54,0.15,0.15,0.36,0.54;;1767842774
xss guide;13;40;0.00;0.33;0.00;0.00;5380000;0.35,0.35,0.21,0.21,0.21,0.21,0.14,0.21,0.21,0.21,0.50,0.35;;1769889668
example of xss attack;48;50;0.00;0.00;0.00;0.00;1970000;0.33,0.23,0.19,0.23,0.19,0.14,0.19,0.23,0.14,0.00,0.66,0.19;;1771668437
example of xss attack;59;50;0.00;0.00;0.00;0.00;1970000;0.33,0.23,0.19,0.23,0.19,0.14,0.19,0.23,0.14,0.00,0.66,0.19;;1771668437
xss attack sample;76;170;0.00;0.00;0.00;0.00;131000;0.19,0.19,0.23,0.06,0.15,0.44,0.23,0.23,0.15,0.19,0.23,0.29;;1769400009
xss site;93;1600;0.00;0.00;0.00;0.00;4970000;0.03,0.36,1.00,1.00,0.10,0.07,0.03,0.01,0.08,0.36,0.02,0.02;;1769582324
reflective xss;41;50;0.00;0.00;0.00;0.00;759000;0.23,0.23,0.07,0.10,0.23,0.12,0.05,0.35,0.07,0.07,0.00,0.12;;1770719992
how to stop cross site scripting;54;110;0.00;0.00;0.00;0.00;170000000;0.52,0.52,0.41,1.00,0.52,0.82,0.82,0.52,0.52,0.64,0.82,0.23;;1770568914
xss protection;10;70;0.00;0.33;0.00;0.00;6560000;0.29,0.41,0.29,0.52,0.41,0.29,0.29,0.23,0.41,0.41,0.52,0.52;;1772256087
prevent cross site scripting;61;90;0.00;0.00;0.00;0.00;87800000;0.15,0.26,0.26,0.34,0.34,0.26,0.19,0.65,0.53,0.80,0.11,0.15;;1770812932
xxs attacks;26;140;0.00;0.00;0.00;0.00;3760000;0.05,0.05,0.00,0.00,0.00,0.04,0.04,0.36,0.07,0.12,1.00,0.12;1;1772260485
xss exploit;67;50;0.00;0.33;0.00;0.00;2740000;0.05,0.05,0.35,0.18,0.06,0.06,0.05,0.06,0.05,0.06,0.05,0.05;;1772456754
cross site scripting attacks;57;480;0.00;0.00;0.00;0.00;32300000;0.45,0.16,0.13,0.05,0.81,0.36,0.05,0.03,0.08,0.45,1.00,0.08;;1767844926
vulnerability cross site scripting;81;210;0.00;0.00;0.00;0.00;6180000;0.23,0.29,0.19,0.29,0.12,0.15,0.44,0.36,0.10,0.15,0.29,0.54;;1768143112
what xss;84;210;0.00;0.00;0.00;0.00;4080000;0.07,0.44,0.15,0.12,0.23,0.03,1.00,0.23,0.15,0.15,0.15,0.12;;1768061210
how to prevent cross site scripting;46;170;0.00;0.00;0.00;0.00;98500000;0.53,0.65,0.80,0.80,1.00,0.65,0.53,0.65,0.80,0.53,0.80,0.42;;1769048851
cross site attack example;91;480;0.00;0.00;0.00;0.00;83900000;0.48,0.14,0.26,1.00,0.59,0.59,0.48,0.14,0.14,0.32,0.48,0.48;;1769787171
dom based cross site scripting;39;140;0.00;0.00;0.00;0.00;10600000;0.66,0.52,0.52,0.80,1.00,0.80,0.66,0.66,0.80,0.66,0.66,0.52;;1769410972
xxs attack;13;140;0.00;0.00;0.00;0.00;3900000;0.03,0.02,0.20,0.03,0.03,0.01,0.20,0.01,0.20,0.00,0.05,0.16;;1770521143
javascript cross site scripting;74;70;0.00;0.00;0.00;0.00;26800000;0.45,0.45,0.45,0.81,0.81,0.81,0.81,0.63,0.81,0.63,0.36,0.45;;1771163929
