Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
vercel cms;1;170;5.06;0.19;100.00;100.00;1330000;0.21,0.34,0.34,0.43,0.43,0.65,0.81,0.81,1.00,0.28,0.65,0.21;;1771248135
cms serverless;21;50;6.04;0.51;0.00;0.00;354000;0.14,0.14,0.14,0.78,0.78,0.14,0.14,0.21,0.21,0.78,0.14,0.14;;1772244993
headless cms database;15;40;0.00;0.33;0.00;0.00;293000;0.18,0.18,0.18,0.18,0.45,0.27,0.27,0.27,1.00,1.00,0.36,0.18;;1767926379
headless cms serverless;15;40;0.00;0.33;0.00;0.00;75600;0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.07,0.09,0.05,0.07,0.07;;1769314490
js headless cms;77;30;4.66;0.30;0.00;0.00;573000;0.00,0.14,0.42,0.57,0.71,0.28,0.42,0.42,0.28,1.00,0.14,0.00;;1767833373
js headless cms;81;30;4.66;0.30;0.00;0.00;573000;0.00,0.14,0.42,0.57,0.71,0.28,0.42,0.42,0.28,1.00,0.14,0.00;;1767833373
serverless cms;22;210;6.04;0.51;0.00;0.00;1350000;0.16,0.13,0.10,0.13,0.08,0.08,0.01,0.20,0.30,0.24,0.24,0.20;;1768868114
serverless headless cms;8;40;0.00;0.29;0.00;0.00;73200;0.28,0.28,0.28,0.28,0.28,0.28,0.28,1.00,1.00,0.57,1.00,0.71;;1771763520
abyss vercel;29;90;0.00;0.00;0.00;0.00;4970;0.00,0.17,0.64,0.64,0.64,0.11,0.11,0.64,0.64,1.00,0.52;;1769023624
headless serverless cms;14;140;0.00;0.33;0.00;0.00;191000;0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.82,0.82,0.66,1.00,1.00;;1772032794
headless cms next js;79;30;5.69;0.45;0.00;0.00;1030000;1.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18;;1767671998
optimizely headless cms features;63;70;0.00;0.00;0.00;0.00;22100;0.81,1.00,0.27;;1769113536
optimizely headless cms features;73;70;0.00;0.00;0.00;0.00;22100;0.81,1.00,0.27;;1769113536
headless cms nextjs;83;40;4.80;0.64;0.00;0.00;728000;0.42,0.71,0.57,0.71,0.57,1.00,1.00,1.00,0.00,1.00,0.00,0.28;;1768938300
best headless cms for nextjs;73;40;4.25;0.54;0.00;0.00;146000;0.22,0.22,0.33,0.33,0.33,1.00,0.77,0.77,0.55,0.33,1.00,0.22;;1770150968
vercel strapi;84;140;0.00;0.05;0.00;0.00;85600;0.02,0.02,0.02,0.02,0.02,0.02,0.48,1.00,0.02,0.02,0.02,0.02;;1770388657
