Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
vector db;28;9900;4.58;0.43;100.00;100.00;576000000;0.36,0.66,0.44,0.44,0.54,0.54,0.54,0.44,0.54,0.54,0.44,0.44;5;1772517995
vectorized databases;67;70;4.58;0.43;0.00;0.00;748000;0.00,0.00,0.01,0.00,0.00,0.00,1.00,0.03,0.15,0.05,0.00,0.00;;1770483626
vector db;40;9900;4.58;0.43;0.00;0.00;576000000;0.36,0.66,0.44,0.44,0.54,0.54,0.54,0.44,0.54,0.54,0.44,0.44;5;1772517995
simple vector db;86;40;6.73;0.47;0.00;0.00;173000000;0.64,0.23,1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11;;1771016894
vector database gui;57;40;0.00;0.62;0.00;0.00;8750000;0.00,0.41,0.23,0.23,0.23,1.00,0.11,0.11,0.11,0.11,0.11,0.11;;1769102323
vector database gui;62;40;0.00;0.62;0.00;0.00;8750000;0.00,0.41,0.23,0.23,0.23,1.00,0.11,0.11,0.11,0.11,0.11,0.11;;1769102323
what is a vector database in ai;56;90;3.09;0.34;0.00;0.00;251000000;0.11,0.11,0.11,0.11,0.11,0.11,0.64,0.64,1.00,1.00,1.00,0.82;;1772060379
what is a vector database in ai;59;90;3.09;0.34;0.00;0.00;251000000;0.11,0.11,0.11,0.11,0.11,0.11,0.64,0.64,1.00,1.00,1.00,0.82;;1772060379
vectorized db;51;40;6.64;0.38;0.00;0.00;4260000;1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.02,0.07,0.00;;1767048155
embedding vector db;90;40;4.97;0.45;0.00;0.00;19400000;0.18,0.00,0.18,0.18,1.00,1.00,1.00,0.18,0.18,0.18,0.18,0.27;;1770542248
vercel apps database;24;210;0.00;0.00;0.00;0.00;2210000;1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1772482222
what are vector databases;56;170;3.17;0.32;0.00;0.00;153000000;0.42,0.65,0.80,0.65,0.65,0.65,0.80,1.00,0.80,0.80,0.80,0.53;;1771604311
vercel database;26;260;9.67;0.04;0.00;0.00;5610000;0.32,0.26,0.32,0.39,0.26,0.21,0.26,0.26,0.26,0.26,0.26,0.32;;1770862269
ai vector db;14;90;5.81;0.61;0.00;0.00;254000000;0.35,0.64,0.64,0.50,0.64,0.64,1.00,0.78,0.64,0.64,0.64,0.50;;1771346814
vector database explained;18;30;1.33;0.35;0.00;0.00;113000000;0.00,0.14,0.14,0.14,1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.14;;1772442848
vercel databases;8;90;8.50;0.04;0.00;0.00;886000;0.53,0.07,0.65,0.00,0.15,0.53,0.80,0.00,0.00,0.42,0.53,1.00;;1767683223
anthropic vector database;72;50;0.00;0.86;0.00;0.00;327000;0.82,1.00,0.11,0.11,0.41,0.11,0.41,0.11,0.11,0.11,0.11,0.11;;1771320885
how does vector databases work;95;40;3.58;0.36;0.00;0.00;80800000;0.81,0.81,0.45,0.00,0.63,0.81,0.00,0.00,0.09,0.63,0.00,0.00;;1769820083
vercel db;16;90;0.00;0.02;0.00;0.00;1820000;0.33,0.80,0.33,0.33,0.33,1.00,0.33,0.80,0.52,0.33,0.09,0.09;;1770656322
vercel store;89;40;0.00;0.33;0.00;0.00;9300000;0.09,0.18,0.81,0.36,0.09,0.27,0.09,1.00,0.18,0.18,0.18,0.18;1;1771589383
vector store databases;55;50;4.08;0.33;0.00;0.00;1150000000;0.18,0.18,0.27,1.00,0.81,0.63,0.63,0.63,0.00,0.09,0.63,0.45;;1770535047
