Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
stream movies and tv shows vercel;4;170;0.00;0.00;57.89;0.00;109000;1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1771665113
watch any tv show for free vercel;11;210;0.00;0.00;5.26;0.00;119000;1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1771236548
streaming function;15;210;0.00;0.00;0.00;0.00;762000000;0.35,0.15,0.15,0.18,0.15,0.66,0.28,0.23,0.11,0.44,1.00,0.81;;1771303766
music streaming vercel;35;260;0.00;0.00;0.00;0.00;213000;1.00,0.00,0.00,0.00,0.00,0.00,0.00;;1769403363
streaming text;94;40;4.20;0.02;0.00;0.00;2500000000;0.00,0.00,0.00,0.66,0.00,0.00,0.00,0.00,0.00,0.35,0.00,0.00;;1772297125
streaming apis;78;90;5.51;0.03;0.00;0.00;997000000;0.10,0.29,0.66,0.54,0.00,0.00,0.02,0.35,0.00,0.00,0.02,0.35;;1767628194
stream serve;33;110;0.00;0.02;0.00;0.00;590000000;0.03,0.01,0.00,0.01,0.23,0.35,1.00,0.08,0.08,0.01,0.01,0.11;1;1768883961
vercel streamdown;70;40;0.00;0.33;0.00;0.00;5150;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.65,0.07,0.00;;1769308003
streaming api;73;320;4.36;0.04;0.00;0.00;1170000000;0.81,0.81,0.44,0.44,0.66,0.15,0.36,0.54,0.44,0.54,0.44,0.09;;1770180883
function stream;37;260;0.00;0.00;0.00;0.00;478000000;0.23,0.10,0.29,0.12,0.15,0.36,0.19,0.15,0.07,0.29,0.67,0.54;5;1771144952
function stream;46;260;0.00;0.00;0.00;0.00;478000000;0.23,0.10,0.29,0.12,0.15,0.36,0.19,0.15,0.07,0.29,0.67,0.54;5;1771144952
vercel music streaming service;19;480;0.00;0.00;0.00;0.00;106000;1.00,0.00,0.00,0.00,0.00,0.00;;1767796032
vercel music streaming service;21;480;0.00;0.00;0.00;0.00;106000;1.00,0.00,0.00,0.00,0.00,0.00;;1767796032
