Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
vercel 404 not_found;2;70;0.00;0.33;55.55;0.00;165000;0.00,0.00,0.00,0.01,0.02,0.00,0.02,0.00,0.00,1.00,0.02,0.02;;1767869556
x ui 404 page not found;3;70;0.00;0.33;44.44;0.00;12900000;0.11,1.00,0.11,0.82,0.11,0.64,0.11,0.11,0.11,0.11,0.82,0.11;;1772446042
404 not found error;54;4400;0.00;0.00;0.00;0.00;152000000;0.03,0.66,0.66,0.29,0.54,0.29,0.05,0.54,0.44,0.54,0.36,0.54;;1772360042
404 not found error;65;4400;0.00;0.00;0.00;0.00;152000000;0.03,0.66,0.66,0.29,0.54,0.29,0.05,0.54,0.44,0.54,0.36,0.54;;1772360042
404 - not found;85;110;0.00;0.00;0.00;0.00;431000000;0.00,0.36,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;5;1770302480
vercel dev not working;29;40;0.00;0.33;0.00;0.00;7440000;0.14,1.00,0.14,0.50,0.50,0.64,0.14,0.14,0.14,0.00,0.14,0.14;;1771589714
vercel dev not working;30;40;0.00;0.33;0.00;0.00;7440000;0.14,1.00,0.14,0.50,0.50,0.64,0.14,0.14,0.14,0.00,0.14,0.14;;1771589714
vercel dev not working;52;40;0.00;0.33;0.00;0.00;7440000;0.14,1.00,0.14,0.50,0.50,0.64,0.14,0.14,0.14,0.00,0.14,0.14;;1771589714
vercel outage;65;260;0.00;0.00;0.00;0.00;53700;0.02,0.02,0.05,0.03,0.03,0.02,0.08,0.07,0.11,0.08,1.00,0.13;;1772020275
404 notfound;63;30;0.91;0.01;0.00;0.00;562000000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.00,0.00;;1768221814
project 404;20;40;0.00;0.33;0.00;0.00;205000000;0.14,0.21,0.50,0.35,0.28,0.21,0.50,0.35,0.35,0.28,0.14,0.14;1;1770328878
project 404;28;40;0.00;0.33;0.00;0.00;205000000;0.14,0.21,0.50,0.35,0.28,0.21,0.50,0.35,0.35,0.28,0.14,0.14;1;1770328878
vercel cannot find module;71;50;0.00;0.33;0.00;0.00;938000;0.14,0.64,1.00,0.14,0.14,0.14,0.50,0.14,0.78,0.14,0.14,0.14;;1770816592
vercel cannot find module;85;50;0.00;0.33;0.00;0.00;938000;0.14,0.64,1.00,0.14,0.14,0.14,0.50,0.14,0.78,0.14,0.14,0.14;;1770816592
vercel failed to verify your browser;58;40;0.00;0.33;0.00;0.00;10300;0.52,1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11;;1766868285
what's a 404;51;110;0.00;0.00;0.00;0.00;158000000;0.34,0.28,0.15,0.00,0.53,1.00,0.21,0.34,0.53,0.28,0.34,0.00;;1769227789
vercel status page;72;90;0.00;0.02;0.00;0.00;17200000;0.05,0.05,0.05,0.05,0.05,0.28,0.53,0.28,0.05,0.05,1.00,0.23;;1768765864
not_found;83;50;0.00;0.03;0.00;0.00;610000;0.09,0.09,0.09,0.09,0.09,1.00,1.00,0.09,0.09,0.09,0.09,0.09;5;1768252319
404 not found response;94;140;0.00;0.01;0.00;0.00;183000000;0.29,0.29,0.43,0.22,0.29,0.66,0.43,0.14,0.22,0.29,0.35,0.08;;1768876504
404 server not found;76;140;0.29;0.02;0.00;0.00;92100000;0.65,0.65,0.53,0.65,0.42,0.26,1.00,0.53,0.26,0.34,0.80,0.34;;1769920772
