Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
verification needed vercel;1;480;0.00;0.00;85.71;0.00;3070000;1.00,0.00,0.00,0.00,0.00;;1769224764
vercel domains;7;880;6.76;0.20;14.28;100.00;3130000;0.25,0.20,0.20,0.20,0.46,0.25,0.46,0.37,0.52,0.68,0.84,1.00;;1767854686
domain lifecycle godaddy;74;50;0.00;0.06;0.00;0.00;34700;0.10,0.10,0.03,0.10,0.05,0.04,0.04,0.02,0.03,0.02,0.02,0.02;;1769365872
typescript record vs map;83;110;0.00;0.00;0.00;0.00;4660000;0.34,0.53,0.34,0.53,0.42,0.53,0.53,0.53,0.42,0.34,0.42,0.34;;1772051781
be verified;68;590;1.55;0.41;0.00;0.00;5570000000;0.01,0.04,0.67,0.29,0.81,0.81,0.81,0.67,0.67,0.81,1.00,1.00;;1768125129
local dns record;79;70;0.00;0.00;0.00;0.00;30000000;0.05,0.35,0.05,0.05,0.43,0.05,0.28,0.07,0.35,0.05,0.28,0.10;;1767300687
propagation check;94;70;6.20;0.03;0.00;0.00;69700000;0.34,0.34,0.15,1.00,0.42,0.15,0.15,0.19,0.19,0.15,0.19,0.19;;1768680949
1.1 1.1 or 8.8 8.8;71;50;0.00;0.33;0.00;0.00;241000000;1.00,0.82,1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.00,0.00;;1768866600
cname propagation checker;50;40;0.00;0.06;0.00;0.00;213000;0.11,0.11,0.15,0.19,0.19,0.11,0.15,0.15,0.19,0.15,0.11,0.19;;1768570677
cname propagation checker;51;40;0.00;0.06;0.00;0.00;213000;0.11,0.11,0.15,0.19,0.19,0.11,0.15,0.15,0.19,0.15,0.11,0.19;;1768570677
cname search;55;390;0.03;0.08;0.00;0.00;5030000;0.24,0.10,1.00,0.05,0.36,0.16,0.16,0.13,0.13,0.08,0.24,0.06;;1772566387
cname search;74;390;0.03;0.08;0.00;0.00;5030000;0.24,0.10,1.00,0.05,0.36,0.16,0.16,0.13,0.13,0.08,0.24,0.06;;1772566387
verify a domain;51;70;3.12;0.43;0.00;0.00;280000000;0.64,0.23,0.29,0.41,0.29,0.23,0.29,0.29,0.17,0.23,0.82,0.52;;1768885658
check cname record;59;70;1.98;0.17;0.00;0.00;2220000;1.00,0.28,0.28,0.00,0.00,0.05,0.12,0.00,0.10,0.23,0.00,0.10;;1772103275
check cname record;64;70;1.98;0.17;0.00;0.00;2220000;1.00,0.28,0.28,0.00,0.00,0.05,0.12,0.00,0.10,0.23,0.00,0.10;;1772103275
this website is pending domain owner verification;26;90;12.86;0.08;0.00;0.00;17000000;0.18,0.18,0.29,0.22,0.14,0.10,0.10,0.14,0.10,0.22,0.18,0.18;;1767660591
valify;32;320;0.00;0.03;0.00;0.00;21000;0.28,0.35,0.54,0.54,0.54,0.54,0.66,0.35,0.66,0.81,0.66,0.66;1;1768041289
domain dns news;85;40;0.00;0.00;0.00;0.00;88200000;1.00,0.11,0.00;;1769256798
