Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
headless wordpress with next.js;1;40;0.00;0.09;42.85;0.00;249000;0.00,0.11,0.22,0.77,1.00,0.44,0.11;;1767923637
next js wordpress;1;40;4.00;0.23;23.80;20.20;37700000;0.29,0.29,0.29,0.41,0.41,0.41,0.11,0.11,0.11,0.11,0.11,0.11;;1772410636
headless wordpress hosting;7;260;13.34;0.20;23.80;66.66;1330000;0.53,0.43,0.43,0.66,0.53,0.53,0.43,1.00,1.00,0.82,0.28,0.82;;1770375979
nextjs wordpress;3;40;4.00;0.23;4.76;4.04;20000000;0.65,0.03,0.15,0.15,0.07,0.11,0.00,0.07,0.07,0.07,0.07,0.03;;1772015286
headless wordpress;6;1000;9.35;0.44;4.76;9.09;3350000;0.55,0.67,0.55,0.76,1.00,1.00,1.00,0.76,0.55,0.55,0.67,1.00;;1769587298
vercel nextjs;97;210;10.71;0.04;0.00;0.00;3570000;0.43,0.65,0.53,0.34,0.43,0.65,0.34,1.00,1.00,0.81,0.65,0.65;1;1767668342
wordpress headless;8;320;9.35;0.44;0.00;0.00;3130000;0.54,0.81,0.66,0.54,0.44,0.44,0.54,0.54,0.44,0.35,0.44,0.35;;1772471055
what is a headless wordpress setup and its benefits;69;110;0.00;0.00;0.00;0.00;481000;0.17,0.17,1.00,1.00,0.82;;1769233536
what is a headless wordpress setup and its benefits;76;110;0.00;0.00;0.00;0.00;481000;0.17,0.17,1.00,1.00,0.82;;1769233536
next js vercel;44;110;4.81;0.04;0.00;0.00;5830000;0.42,0.09,0.52,0.80,1.00,0.80,0.00,0.52,0.80,0.33,0.33,0.52;1;1768245269
headless wordpress woocommerce;65;40;0.00;0.11;0.00;0.00;257000;0.09,0.09,0.09,0.09,0.14,0.09,0.09,0.09,0.52,0.52,0.23,0.09;;1767923181
wordpress as headless cms;16;110;7.51;0.44;0.00;0.00;1260000;0.41,0.64,0.64,0.82,0.64,1.00,0.82,0.82,0.82,0.64,0.29,0.29;;1769837651
nextjs vercel;72;170;5.18;0.07;0.00;0.00;3990000;0.65,0.65,0.80,0.42,0.53,0.65,0.80,0.53,0.80,0.65,0.53,0.19;1;1770537774
vercel cms;20;170;5.06;0.19;0.00;0.00;1330000;0.21,0.34,0.34,0.43,0.43,0.65,0.81,0.81,1.00,0.28,0.65,0.21;;1771248135
headless wordpress examples;47;70;3.91;0.57;0.00;0.00;852000;0.29,0.11,0.11,0.41,0.41,0.52,0.17,1.00,1.00,0.11,0.11,0.11;5;1769858050
headless wordpress examples;48;70;3.91;0.57;0.00;0.00;852000;0.29,0.11,0.11,0.41,0.41,0.52,0.17,1.00,1.00,0.11,0.11,0.11;5;1769858050
hosting headless wordpress;13;50;0.00;0.08;0.00;0.00;290000;0.14,0.14,0.21,0.14,0.35,0.21,0.50,0.28,1.00,1.00,0.50,0.14;;1767215230
wordpress headless cms hosting;8;40;0.00;0.00;0.00;0.00;754000;0.00,0.09,0.09,0.27,0.36,0.27,0.36,0.45,0.81,0.27,1.00,0.00;;1771756985
use wordpress as headless cms;14;40;0.00;0.05;0.00;0.00;1340000;0.33,0.22,0.33,0.22,0.33,0.33,0.33,0.44,0.77,1.00,0.22,0.22;;1768324808
vercel next.js;48;30;4.88;0.07;0.00;0.00;5690000;0.42,0.07,0.53,0.53,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00;1;1771762694
vercel next.js;76;30;4.88;0.07;0.00;0.00;5690000;0.42,0.07,0.53,0.53,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00;1;1771762694
vercel next;72;40;0.00;0.01;0.00;0.00;16100000;1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.64,0.11,0.11,0.11;;1768230538
worldexpress.com;63;30;2.26;0.44;0.00;0.00;603000000;0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00;;1771768614
headless wordpress theme;32;30;4.90;0.71;0.00;0.00;970000;0.18,0.18,0.18,0.18,0.18,0.18,0.27,0.09,0.18,1.00,0.18,0.18;;1767925719
headless wordpress sites;92;30;14.99;0.57;0.00;0.00;2240000;0.57,0.71,0.71,0.71,0.71,0.71,0.42,0.28,0.42,0.14,0.00,0.00;;1770355608
headless wordpress vs;29;40;0.00;0.00;0.00;0.00;2570000;0.55,0.44,0.33,1.00,0.77,0.22,0.22,0.22,0.44,0.22,0.22,0.00;;1770119552
wordpress as a headless cms;18;110;7.51;0.44;0.00;0.00;1310000;0.33,0.52,0.52,0.52,0.80,0.80,0.52,1.00,0.42,0.52,0.33,0.33;;1769963435
vercel next js;53;210;4.88;0.07;0.00;0.00;5660000;0.35,0.66,0.53,1.00,0.53,0.53,0.35,1.00,0.53,0.43,0.10,0.28;1;1769605578
fast headless wordpress hosting;12;40;0.00;0.00;0.00;0.00;149000;0.22,0.22,0.22,0.33,0.55,0.44,0.44,0.22,1.00,1.00,0.44,0.00;;1767916811
