Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
vercel templates;1;1300;6.56;0.05;66.79;75.73;3540000;0.52,0.68,1.00,0.68,0.84,0.68,0.84,1.00,0.46,0.52,0.68,0.52;6;1771779244
vercel template;1;390;6.56;0.05;20.03;22.71;5830000;0.32,0.05,0.32,0.59,0.32,0.48,0.59,1.00,0.72,0.32,0.26,0.03;5,6;1770071794
vercel nextjs templates;1;70;0.00;0.04;3.59;0.00;1330000;0.04,0.04,0.04,0.04,0.04,0.04,1.00,0.43,0.04,0.04,0.04,0.04;6;1770391126
vercel starter templates;1;70;0.00;0.03;3.59;0.00;186000;0.10,0.10,0.10,0.01,0.01,0.01,0.01,0.01,0.08,0.01,0.01,0.01;5,6;1768315152
next js templates;10;1000;2.58;0.24;1.22;0.54;80400000;0.52,0.46,1.00,0.52,0.84,0.52,0.31,1.00,0.37,0.37,0.25,0.31;;1771158014
vo templates;2;90;0.00;0.11;0.70;0.00;18700000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,1.00;5;1771761712
discord bio template;30;9900;0.00;0.00;0.38;0.00;75100000;0.54,0.66,0.54,0.54,0.66,0.81,0.81,1.00,0.81,0.66,0.66,0.81;;1772196882
discord bio template;32;9900;0.00;0.00;0.38;0.00;75100000;0.54,0.66,0.54,0.54,0.66,0.81,0.81,1.00,0.81,0.66,0.66,0.81;;1772196882
nextjs templates;14;1300;2.58;0.24;0.38;0.16;18400000;0.68,0.52,1.00,0.52,0.52,0.46,0.52,1.00,0.46,0.52,0.52,0.52;5;1769793268
find template;2;50;1.77;0.16;0.38;0.11;1130000000;0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.41,0.64,1.00,0.41;5;1767986853
vercel examples;2;40;0.00;0.33;0.32;0.00;5280000;0.09,0.19,0.09,1.00,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09;5;1770482000
next.js templates;9;720;2.58;0.24;0.32;0.13;101000000;0.16,0.16,0.16,0.16,0.30,0.24,0.07,0.07,1.00,0.05,0.16,0.24;;1769220789
next js template;12;590;2.58;0.24;0.25;0.11;146000000;0.72,0.72,0.72,0.72,0.39,0.17,0.48,0.59,0.48,0.26,1.00,0.48;5;1771020181
vercel ai templates;2;170;0.00;0.05;0.25;0.00;2790000;0.01,0.01,0.01,0.55,0.01,0.01,0.01,0.01,1.00,0.03,0.01,0.01;;1768937542
nextjs template;13;720;2.58;0.24;0.19;0.07;20100000;1.00,0.76,0.67,0.55,0.55,0.67,0.67,0.24,0.55,0.36,0.45,0.45;5;1771807996
v0 templates;3;170;6.63;0.13;0.12;0.14;14100000;0.35,0.28,0.28,0.11,0.03,0.03,0.66,0.03,0.28,0.03,0.66,1.00;5;1771995951
template finder;3;30;2.03;0.13;0.12;0.04;211000000;0.09,0.19,0.19,0.23,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09;;1768919553
vercel nextjs;5;210;10.71;0.04;0.06;0.11;3570000;0.43,0.65,0.53,0.34,0.43,0.65,0.34,1.00,1.00,0.81,0.65,0.65;1;1767668342
iammusic template;12;170;0.00;0.00;0.06;0.00;4640000;0.03,0.01,0.03,0.16,0.01,0.01,1.00,0.08,0.05,0.03,0.03,0.02;5;1770043918
js website templates;8;70;4.16;0.08;0.06;0.04;168000000;0.35,0.50,0.50,0.78,0.50,0.64,0.64,0.78,0.50,0.78,0.64,0.35;;1771805620
website project page template;31;1900;0.00;0.00;0.06;0.00;374000000;1.00;5;1769121561
next templates;7;70;0.00;0.03;0.06;0.00;478000000;0.33,0.23,0.23,0.23,0.23,0.33,0.33,1.00,0.52,0.00,0.00,0.14;5;1769952370
vercel blog;10;260;0.00;0.01;0.06;0.00;10700000;0.23,0.44,0.54,0.54,0.35,0.44,0.54,0.54,0.54,0.54,0.54,0.44;;1772459948
tem vo;3;50;0.00;0.33;0.06;0.00;83400000;0.00,0.00,0.11,0.82,1.00,1.00,0.11,0.11,0.11,0.11,0.11,0.11;5;1770353227
discord bio templates;31;1600;0.00;0.00;0.06;0.00;85300000;0.44,0.34,0.44,0.30,0.44,0.44,0.82,0.65,1.00,0.44,0.30,0.55;5;1772172689
speed share convite;7;50;0.00;0.33;0.06;0.00;1070000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,1.00,0.35,0.07,0.05;;1769249000
discord about me template;27;1300;0.00;0.00;0.06;0.00;117000000;0.81,1.00,0.62,0.81,1.00,0.81,1.00,1.00,0.81,0.62,0.45,0.55;;1772331189
next.js template;13;320;2.58;0.24;0.06;0.02;145000000;0.00,0.08,0.10,0.00,0.01,0.01,0.01,0.00,0.00,1.00,0.01,0.30;5;1770782341
next template;7;70;0.00;0.05;0.06;0.00;900000000;0.33,0.23,0.42,0.23,0.42,0.33,0.19,0.33,0.33,0.42,0.33,0.33;5,6;1767465725
app templates;23;880;2.70;0.34;0.06;0.02;586000000;0.24,0.24,0.24,0.41,0.30,0.16,0.20,0.79,0.30,0.30,0.36,0.54;;1770186335
slack qr code;57;90;0.00;0.00;0.00;0.00;6310000;0.23,0.42,0.23,0.23,0.33,0.23,0.19,0.23,0.52,1.00,1.00,0.80;5;1768874822
stable diffusion web ui;82;590;0.93;0.10;0.00;0.00;7870000;0.20,0.20,0.34,0.24,0.24,0.24,0.24,0.20,0.24,0.13,0.16,0.20;1;1768251523
template picture;86;90;0.88;0.44;0.00;0.00;861000000;0.11,0.11,0.06,0.15,0.08,0.00,0.00,0.08,0.44,0.06,0.00,0.54;5;1770496456
template.js;29;40;0.00;0.01;0.00;0.00;192000000;1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;5;1766594406
js photo gallery;91;90;0.00;0.00;0.00;0.00;256000000;0.26,0.34,0.34,0.42,0.53,0.53,0.19,0.19,0.26,0.26,0.26,0.26;5;1769007886
quiz template google docs;66;170;1.49;0.06;0.00;0.00;7330000;0.34,0.65,0.80,0.65,0.80,1.00,0.53,0.42,0.53,0.80,0.80,0.80;;1772256563
statsig stock;87;50;0.00;0.33;0.00;0.00;12200;0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,1.00,0.15,0.06;;1769233637
shopify 模板;94;70;0.92;0.39;0.00;0.00;1520000;0.45,0.63,0.63,0.63,0.63,0.45,0.81,0.63,0.81,1.00,0.63,0.63;;1767387386
google docs wiki template;36;40;0.00;0.03;0.00;0.00;33000000;0.52,0.52,0.09,0.09,0.52,0.09,0.09,0.09,0.09,0.09,0.09,0.09;;1767425234
nested domains ai;56;320;4.22;0.62;0.00;0.00;14300000;0.00,0.00,0.00,0.00,0.00,0.00,0.01,1.00,0.46,0.31,0.20,0.25;;1769286657
playwright captcha;93;90;0.00;0.33;0.00;0.00;386000;0.17,0.11,0.29,1.00,0.41,0.29,0.29,0.29,0.64,1.00,0.82,1.00;;1770333737
