Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
vercel ai templates;1;170;0.00;0.05;69.74;0.00;2790000;0.01,0.01,0.01,0.55,0.01,0.01,0.01,0.01,1.00,0.03,0.01,0.01;6;1768937542
generative ai project template;4;260;0.00;0.00;8.20;0.00;24600000;1.00,0.00,0.00,0.00,0.00,0.00,0.00;5;1767774435
vercel stock;10;480;1.51;0.01;4.61;11.92;1280000;0.20,0.20,0.16,0.16,0.13,0.16,0.55,1.00,0.30,1.00,0.67,0.36;;1769971010
template ai;7;320;2.62;0.45;3.58;16.51;689000000;0.54,0.66,0.81,1.00,0.66,0.66,0.35,0.43,0.54,0.81,0.81,0.54;5;1772454040
ai template;7;260;2.90;0.43;3.07;15.59;947000000;0.23,0.23,0.44,0.44,0.54,0.23,0.35,0.35,0.35,0.54,0.66,0.66;5;1770495323
vercel business generator;2;50;6.11;0.71;3.07;33.02;544000;0.05,0.05,0.05,0.05,1.00,0.05,0.05,0.05,0.05,0.05,0.05,0.05;;1768565779
ai templates;9;210;2.90;0.43;1.53;7.33;430000000;0.35,0.35,0.66,0.53,0.28,0.82,0.28,0.43,0.43,1.00,0.43,0.66;5;1772452907
vercel examples;3;40;0.00;0.33;1.53;0.00;5280000;0.09,0.19,0.09,1.00,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09;5;1770482000
ai-powered search engine vercel;6;210;0.00;0.00;1.02;0.00;322000;1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1769389173
answer engine ai vercel;2;210;0.00;0.00;1.02;0.00;131000;1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1771692819
vercel ia;6;260;0.00;0.46;1.02;0.00;983000;0.01,0.00,0.01,0.01,1.00,0.01,0.31,0.00,0.13,0.03,0.01,0.01;;1772571884
vercel chatbot;7;140;8.00;0.07;0.51;7.33;836000;1.00,0.42,0.66,0.52,1.00,0.80,0.52,0.80,0.80,0.66,0.52,0.33;;1768553191
business generator vercel;2;40;6.02;0.54;0.51;5.50;467000;0.02,0.05,0.05,0.66,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05;;1769592035
ai sample code;6;110;3.22;0.23;0.51;2.75;751000000;0.64,1.00,0.52,1.00,0.64,0.82,0.64,0.52,0.52,0.64,0.17,0.23;;1770769669
