Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
hume tts;59;30;3.35;0.44;0.00;0.00;513000;0.18,1.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18;;1767985441
vercel chat;62;140;4.63;0.05;0.00;0.00;13100000;0.07,0.07,0.80,1.00,0.80,0.65,0.80,0.42,0.42,0.53,0.53,0.26;;1769604460
hume ai ev2 beta agent voices;22;70;0.00;0.00;0.00;0.00;17900;1.00,0.00;;1769101120
hume.ai;7;390;1.12;0.25;0.00;0.00;41800000;0.16,0.00,0.00,0.16,0.65,0.00,0.00,0.00,0.00,0.00,0.00,0.65;;1767880942
hume.ai;8;390;1.12;0.25;0.00;0.00;41800000;0.16,0.00,0.00,0.16,0.65,0.00,0.00,0.00,0.00,0.00,0.00,0.65;;1767880942
platform hume ai;18;40;0.00;0.18;0.00;0.00;4120000;1.00,0.00,0.14,0.14,0.78,0.14,0.14,0.14,0.14,0.14,0.14,0.14;;1769250671
hume voice ai;2;30;3.70;0.58;0.00;0.00;8590000;0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,1.00,0.11,0.11,0.11;;1767619824
humeai;11;720;0.93;0.29;0.00;0.00;53500000;0.45,0.10,0.16,0.36,0.30,0.55,0.45,1.00,0.55,1.00,1.00,0.36;;1770327021
hume api;21;70;4.32;0.27;0.00;0.00;12000000;0.10,0.14,0.14,0.14,0.14,0.10,0.04,0.04,0.04,0.35,0.35,0.04;;1768907250
hume ai pricing;24;50;5.20;0.27;0.00;0.00;40300000;0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.64,1.00,0.64,0.64;;1767607102
