Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
gemini 2.0 flash native image generation;30;50;0.00;0.33;0.00;0.00;1430000;0.00,0.00,0.00,1.00,0.10,0.05,0.05,0.05,0.05,0.05,0.05,0.00;;1769800923
vercel ai sdk image generation;88;40;0.00;0.33;0.00;0.00;178000;0.50,0.50,0.14,0.28,0.14,0.14,0.14,1.00,0.28,0.14,0.14,0.14;5;1769307504
gemini image gen;58;590;7.06;0.40;0.00;0.00;62800000;1.00,0.00,0.00,0.55,1.00,0.45,0.30,0.55,0.55,0.24,0.67,0.24;;1770152736
geminiflash;67;70;3.14;0.08;0.00;0.00;1600000;0.41,0.29,0.52,1.00,0.41,0.41,0.29,0.29,0.41,0.41,0.00,0.00;;1769155355
gemini 2.0 image generation;14;140;3.51;0.21;0.00;0.00;131000000;0.00,0.02,0.02,0.02,1.00,0.32,0.17,0.02,0.02,0.02,0.07,0.04;;1768326924
gemini 2.5 flash image api;98;70;3.61;0.07;0.00;0.00;8480000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.80,0.65,0.65;;1769252007
gemini flash image;62;210;2.03;0.14;0.00;0.00;69700000;0.19,0.05,0.19,0.29,0.02,0.02,0.02,0.02,1.00,0.66,0.81,0.09;5;1769012464
gemini flash image generation;43;90;7.67;0.31;0.00;0.00;16300000;0.00,0.12,0.28,1.00,0.53,0.06,0.06,0.06,0.43,0.53,0.06,0.09;;1769883842
images gemini;63;90;1.55;0.25;0.00;0.00;281000000;0.00,0.00,0.00,0.29,0.00,0.00,1.00,0.00,0.00,0.12,0.00,0.00;5;1769883221
images gemini;68;90;1.55;0.25;0.00;0.00;281000000;0.00,0.00,0.00,0.29,0.00,0.00,1.00,0.00,0.00,0.12,0.00,0.00;5;1769883221
