Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
headshot ai generator;13;590;2.83;0.73;66.66;45.45;36000000;0.20,0.31,0.31,0.37,0.37,0.25,0.31,0.46,0.52,0.31,0.31,0.07;;1769935204
vercel business generator;5;50;6.11;0.71;33.33;54.54;544000;0.05,0.05,0.05,0.05,1.00,0.05,0.05,0.05,0.05,0.05,0.05,0.05;;1768565779
headshots ai app;62;40;3.50;0.88;0.00;0.00;5090000;0.18,1.00,0.18,0.18,1.00,1.00,0.18,0.18,0.18,0.18,0.18,0.18;;1768886698
improve my headshot;87;30;3.80;0.82;0.00;0.00;84600000;0.00,0.00,0.00,1.00,0.18,1.00,0.18,0.18,0.18,0.18,0.18,0.18;;1769325547
how to ai a headshot;59;40;2.01;0.65;0.00;0.00;128000000;0.23,0.41,1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11;;1767477984
headshot with ai;12;50;3.00;0.84;0.00;0.00;143000000;0.00,0.41,0.41,0.11,0.41,0.41,0.29,0.29,0.29,0.29,0.41,0.11;;1768641004
generate ai professional headshot;38;40;2.81;0.87;0.00;0.00;3760000;0.14,0.28,1.00,0.14,0.28,0.64,0.14,0.28,0.14,0.14,0.14,0.14;;1767882589
create headshots with ai;7;30;2.66;0.84;0.00;0.00;13500000;0.01,0.01,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00;;1769717411
headshot.kiwi;54;70;1.76;0.43;0.00;0.00;46300000;0.00,0.02,0.66,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.66,0.00;5;1768965819
ai generate headshots;17;40;2.79;0.56;0.00;0.00;2530000;1.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00;;1767106839
generate ai headshots;12;70;2.78;0.82;0.00;0.00;4270000;0.81,0.36,0.81,1.00,1.00,0.63,0.27,0.45,0.63,0.45,0.27,0.63;;1768380380
how to create headshot;89;50;1.74;0.70;0.00;0.00;142000000;0.28,0.71,1.00,1.00,1.00,1.00,0.28,0.71,1.00,1.00,0.57,0.71;;1768906644
apps for ai headshots;54;30;3.85;0.85;0.00;0.00;5500000;0.09,0.14,0.23,0.33,0.19,0.14,0.14,0.19,0.14,0.09,0.14,0.09;;1769898658
head shot generator;24;170;2.73;0.80;0.00;0.00;110000000;0.09,0.12,0.00,0.54,0.02,0.36,0.29,0.05,0.00,0.23,0.81,0.44;5;1768879439
ai heashot;16;170;2.64;0.77;0.00;0.00;175000000;0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00;;1768725923
ai headshot.generator;12;110;2.64;0.73;0.00;0.00;39500000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00;;1769061464
headshot professional ai;17;110;2.44;0.63;0.00;0.00;26300000;0.53,0.28,0.15,0.21,0.43,0.65,0.43,0.43,0.21,0.34,0.28,0.34;;1769584187
ai headshot generator pro;65;30;4.28;0.75;0.00;0.00;4050000;0.28,0.28,1.00,0.28,0.28,0.57,0.28,0.28,0.28,0.28,0.28,0.28;;1767973946
ai headshot generator website;63;50;0.00;0.33;0.00;0.00;8070000;0.00,0.00,0.00,0.00,0.02,0.02,0.04,1.00,0.04,0.04,0.04,0.22;;1767915450
ai created headshots;75;40;2.70;0.86;0.00;0.00;9640000;0.11,0.17,0.29,0.29,0.41,0.29,0.29,0.17,0.29,0.29,0.17,0.17;;1767202488
ai headshot examples;29;70;1.52;0.28;0.00;0.00;4750000;0.05,0.11,0.23,0.11,0.11,0.17,0.17,0.41,0.82,0.52,0.82,1.00;5;1768682158
headshot generator ai;17;170;2.92;0.36;0.00;0.00;31900000;0.43,0.43,0.66,0.66,0.28,0.35,0.23,0.07,0.43,0.43,0.53,0.66;;1767242460
headshot generator ai;26;170;2.92;0.36;0.00;0.00;31900000;0.43,0.43,0.66,0.66,0.28,0.35,0.23,0.07,0.43,0.43,0.53,0.66;;1767242460
dawn ai headshot;51;50;0.00;0.86;0.00;0.00;686000;0.41,0.11,0.64,0.11,0.11,0.11,0.11,0.23,1.00,0.11,0.11,0.11;;1767920456
make an ai headshot;9;50;2.37;0.80;0.00;0.00;140000000;0.18,1.00,0.63,1.00,0.63,0.63,0.45,0.45,0.63,0.36,0.36,0.18;;1769932347
headshots generator;14;50;2.73;0.80;0.00;0.00;2820000;0.00,0.00,0.00,0.00,0.00,0.05,1.00,0.00,0.00,0.00,0.00,0.00;;1769670578
aiheadshot;17;110;2.64;0.77;0.00;0.00;174000000;0.00,0.05,0.00,0.21,0.00,0.00,0.21,0.00,0.00,1.00,0.00,0.00;;1768998990
facetune headshot generator;55;40;2.35;0.64;0.00;0.00;15400;1.00,0.18,1.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18,1.00,0.18;;1768258841
