Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
astro templates;2;480;5.14;0.06;30.76;70.11;11500000;0.44,0.67,1.00,0.81,0.44,0.54,0.44,0.44,0.54,0.81,0.29,0.29;;1769517970
astro starter;2;70;0.33;0.64;23.07;2.29;21200000;0.34,0.34,0.43,0.06,0.43,0.12,0.21,0.34,0.15,0.00,0.00,0.00;1;1769926379
astro blog template;4;90;0.00;0.06;12.82;0.00;4360000;0.64,0.64,0.52,0.64,0.52,0.52,0.41,0.29,0.52,0.52,1.00,0.41;5;1767410933
astro themes;5;480;0.00;0.01;10.25;0.00;34100000;0.36,0.36,0.55,0.36,0.45,0.36,0.45,0.45,0.30,0.45,0.30,0.30;;1768391483
astro template;3;260;5.14;0.06;10.25;22.98;34200000;0.66,0.53,0.53,1.00,0.82,0.43,0.02,0.53,0.66,0.82,1.00,0.53;5;1769986391
astro templating;3;40;0.00;0.33;7.69;0.00;16700;0.14,0.50,0.14,0.50,0.28,0.28,0.78,0.14,0.14,0.14,0.14,0.14;;1771847367
astro website template;3;70;4.33;0.21;2.56;4.59;20000000;0.11,0.11,1.00,0.64,0.41,0.29,0.41,0.64,0.11,0.64,0.41,0.41;5;1768622808
astroship template;6;40;0.00;0.04;2.56;0.00;12600;0.35,1.00,0.14,0.14,0.64,0.35,0.14,0.14,0.00,0.14,0.14,0.14;5;1771349448
astro designs;51;90;0.00;0.08;0.00;0.00;126000000;0.11,0.28,0.18,0.15,0.18,0.18,0.08,0.11,0.11,0.11,0.08,0.08;5;1772020976
astro paper theme;22;40;0.00;0.33;0.00;0.00;9510000;0.78,0.50,0.14,0.50,0.14,0.64,0.14,0.14,0.14,0.14,0.14,0.14;5;1766428167
astro site;35;1300;2.01;0.00;0.00;0.00;239000000;0.04,0.05,0.10,0.24,0.16,0.07,0.07,0.08,0.16,1.00,0.66,0.24;;1769402264
astro personal;57;90;2.64;0.70;0.00;0.00;124000000;0.35,0.35,0.50,0.21,0.50,0.50,1.00,1.00,0.64,0.78,0.78,0.35;;1768653976
astro examples;31;50;0.00;0.33;0.00;0.00;42600000;0.09,0.09,0.09,0.09,1.00,0.09,0.09,0.09,0.09,0.52,0.52,0.09;5;1769424625
vercel portfolio template;10;40;2.36;0.25;0.00;0.00;461000;0.07,0.07,0.07,1.00,0.15,0.07,0.07,0.07,0.07,0.07,0.07,0.07;5;1769755069
astro sites;58;40;0.00;0.01;0.00;0.00;269000000;0.14,0.00,0.00,0.07,1.00,0.07,0.00,0.50,0.35,0.50,0.35,1.00;;1770352685
astro web site;69;70;2.05;0.00;0.00;0.00;87300000;0.66,0.81,0.43,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00;;1771928544
astro web site;81;70;2.05;0.00;0.00;0.00;87300000;0.66,0.81,0.43,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00;;1771928544
astrology blogger templates;23;30;3.70;0.08;0.00;0.00;9170000;0.63,0.45,0.00,0.00,0.00,0.00,0.63,0.36,0.45,0.63,0.63,0.00;;1770462911
astrology web templates;47;70;4.33;0.21;0.00;0.00;1760000;0.18,0.18,1.00,0.27,0.63,0.45,0.63,1.00,0.18,1.00,0.63,0.63;;1768879984
astro templates free;3;40;0.00;0.02;0.00;0.00;8240000;1.00,0.63,0.18,1.00,0.63,0.18,0.36,0.18,0.00,0.18,0.18,0.18;;1771926583
astro websites;35;390;2.45;0.01;0.00;0.00;241000000;0.32,0.39,0.17,0.21,0.21,0.21,0.21,0.48,0.88,1.00,0.26,0.26;;1771801182
astro landing page;15;30;5.73;0.10;0.00;0.00;5480000;0.29,0.11,0.11,0.00,1.00,0.11,0.17,0.00,0.11,0.00,0.00,0.00;;1766946712
