Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
vercel django;1;90;0.00;0.01;100.00;0.00;868000;0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1.00,0.02,0.02;5;1767834094
vercel python;84;140;0.00;0.01;0.00;0.00;3850000;0.34,0.34,0.53,0.80,0.65,0.80,0.53,0.42,0.80,0.53,0.65,0.65;;1767258632
django.com;96;40;0.00;0.01;0.00;0.00;39900000;0.42,0.28,0.42,0.42,0.57,0.28,0.42,0.42,1.00,1.00,0.57,0.42;1;1767907307
django sample application;63;70;0.00;0.03;0.00;0.00;21800000;0.45,0.45,0.63,0.63,0.36,1.00,0.63,0.63,0.63,0.45,0.45,0.45;;1768575741
django deployment;20;90;15.18;0.36;0.00;0.00;19900000;0.19,0.42,0.26,0.26,0.34,0.26,0.26,0.53,0.53,0.42,0.07,0.07;;1769919076
django example application;87;50;0.00;0.03;0.00;0.00;39900000;0.35,0.35,0.50,0.50,0.28,0.50,0.50,0.50,0.50,0.35,0.35,0.35;;1768574123
build a django website;88;40;3.01;0.33;0.00;0.00;39100000;0.18,0.18,1.00,0.18,1.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18;;1767499488
example django apps;77;50;0.00;0.03;0.00;0.00;37900000;0.00,0.00,0.22,0.55,1.00,0.77,0.77,0.77,0.55,0.55,0.77,0.55;;1769278961
django application;34;260;5.40;0.05;0.00;0.00;40100000;1.00,0.54,0.81,0.43,0.43,0.54,0.43,0.29,0.54,0.35,0.35,0.35;1;1768374695
django app deployment;34;30;15.54;0.43;0.00;0.00;16200000;0.00,0.14,0.28,0.42,0.42,0.71,1.00,0.57,1.00,0.14,0.42,0.00;;1767590044
