Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
next js blog template;1;140;2.28;0.15;37.77;34.68;51800000;1.00,0.80,0.19,1.00,1.00,0.66,0.66,0.52,0.42,0.52,0.42,0.42;;1772304580
nextjs blog template;1;140;2.28;0.15;37.77;34.68;13700000;0.18,0.54,0.44,0.28,0.11,0.18,0.08,0.18,0.11,0.28,0.11,0.18;5;1770572061
next js blog templates;1;30;3.04;0.10;7.77;9.45;57000000;0.00,1.00,0.00,0.00,0.05,0.23,0.05,0.00,0.11,0.23,0.17,0.00;;1767973998
react blog template;5;110;3.35;0.19;4.44;5.85;82000000;0.52,0.64,0.41,0.41,0.52,0.82,0.52,1.00,0.29,0.52,0.52,1.00;;1768869501
blog web template;9;140;3.45;0.41;3.33;4.50;390000000;0.28,0.34,0.28,1.00,0.34,0.43,0.53,0.28,0.34,0.43,0.34,0.28;;1770147766
blog site template;12;320;3.98;0.26;2.22;3.15;486000000;0.29,0.44,0.54,0.36,0.67,0.54,0.19,0.36,0.10,0.10,0.36,0.10;;1767367099
blog website templates;19;880;3.45;0.41;2.22;2.70;314000000;0.80,0.44,0.16,0.16,0.16,0.16,0.16,0.20,0.20,0.24,0.24,0.20;;1770029403
blog website template;14;320;3.98;0.26;1.11;1.35;493000000;0.66,0.66,0.29,0.36,0.66,0.44,0.29,0.29,0.29,0.44,0.36,0.09;;1767620507
blog post template;32;3600;2.20;0.35;1.11;0.90;299000000;0.13,0.13,0.16,0.19,0.29,0.24,0.16,0.54,0.29,0.44,0.66,1.00;5;1772543589
blog web template;10;140;3.45;0.41;1.11;1.35;390000000;0.28,0.34,0.28,1.00,0.34,0.43,0.53,0.28,0.34,0.43,0.34,0.28;;1770147766
blog web page template;10;90;3.45;0.41;1.11;1.35;251000000;0.00,0.03,0.12,0.00,0.34,0.21,0.43,0.28,0.34,1.00,0.65,0.15;;1769024619
blog web design templates;16;170;3.98;0.26;0.00;0.00;289000000;0.53,1.00,0.81,0.65,0.28,0.65,0.81,0.65,0.28,0.28,0.43,0.28;;1768499434
blog web templates;14;40;3.98;0.26;0.00;0.00;341000000;0.00,0.00,0.33,0.33,0.55,0.33,0.55,0.55,0.55,0.22,0.77,0.77;5;1767614270
blog page seo template;25;70;0.00;0.00;0.00;0.00;33100000;0.44,0.55,1.00;;1769264395
next.js blog;16;70;3.47;0.01;0.00;0.00;256000000;0.81,0.00,0.34,0.34,0.06,0.00,0.00,0.03,0.00,0.00,0.00,0.53;;1767599940
blog sample;65;880;1.43;0.09;0.00;0.00;857000000;0.16,0.10,0.65,0.81,0.03,0.02,0.03,0.08,0.20,0.20,0.16,0.02;5;1771976760
best blog templates;36;90;3.82;0.92;0.00;0.00;312000000;0.34,0.43,0.28,0.43,0.34,0.28,0.28,0.21,0.28,0.15,0.12,0.00;;1768389873
blog template google docs;57;110;1.47;0.15;0.00;0.00;123000000;0.34,0.34,0.43,0.53,0.43,0.34,0.21,0.34,0.09,0.12,0.34,0.28;;1771373931
free blog website templates;20;90;3.00;0.47;0.00;0.00;312000000;0.64,0.64,0.21,1.00,0.50,0.64,0.28,0.78,1.00,0.78,0.35,1.00;;1769907868
template for a blog post;29;30;2.04;0.26;0.00;0.00;238000000;0.19,0.19,0.19,0.04,0.04,0.23,0.19,0.04,0.14,0.09,0.09,0.09;5;1767238811
blog posts templates;32;110;2.20;0.35;0.00;0.00;233000000;0.03,0.21,0.05,0.03,0.09,0.59,0.04,0.07,0.09,0.05,0.05,0.03;5;1771814372
blog posts templates;43;110;2.20;0.35;0.00;0.00;233000000;0.03,0.21,0.05,0.03,0.09,0.59,0.04,0.07,0.09,0.05,0.05,0.03;5;1771814372
free web blog template;19;50;3.00;0.47;0.00;0.00;310000000;0.33,0.23,0.23,0.14,0.33,0.33,0.33,0.33,0.23,0.23,0.23,0.23;;1772460609
good blog templates;88;50;2.52;0.63;0.00;0.00;177000000;0.23,0.33,0.33,0.14,0.23,0.04,0.19,0.23,0.23,0.52,0.23,0.23;;1769401944
blog site design template;17;210;3.98;0.26;0.00;0.00;392000000;0.43,0.53,0.43,0.43,0.23,0.53,0.23,1.00,0.35,0.28,0.82,0.53;5;1768499249
blogging templates;15;50;2.82;0.50;0.00;0.00;405000000;0.01,0.05,0.12,0.12,0.06,0.00,0.06,0.00,0.29,0.19,0.04,0.00;5;1771802403
website template blogger;11;40;3.45;0.41;0.00;0.00;401000000;0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.00;;1769707869
html blog website templates;18;30;2.35;0.25;0.00;0.00;92900000;1.00,0.00,0.28,0.71,0.00,0.00,1.00,0.28,0.28,0.28,0.28,0.28;;1772186486
free blog site template;20;30;3.00;0.47;0.00;0.00;423000000;1.00,0.15,0.11,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1772468899
blog free templates;63;30;2.81;0.32;0.00;0.00;348000000;0.02,0.02,0.07,0.01,0.09,0.02,0.02,0.02,0.02,0.02,0.02,0.02;;1769320650
starter blog;49;30;3.80;0.63;0.00;0.00;226000000;0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.02,0.00,1.00,0.00,0.00;;1767976818
blog writing template;33;320;2.52;0.21;0.00;0.00;216000000;0.02,0.04,0.05,0.12,0.23,0.44,0.12,0.81,1.00,0.81,0.04,0.81;5;1769406106
next js blog starter;67;40;0.00;0.01;0.00;0.00;14200000;0.09,0.09,0.09,0.52,0.23,0.33,0.23,0.23,0.23,0.09,0.09,0.09;;1771855849
template blog;14;70;2.26;0.36;0.00;0.00;544000000;0.21,0.21,0.43,0.65,0.21,0.21,0.09,0.09,0.06,0.15,0.03,0.06;;1772088723
blog post template word;56;70;2.16;0.15;0.00;0.00;203000000;0.29,0.29,0.11,0.64,1.00,0.11,0.11,0.41,0.11,0.29,0.11,0.82;5;1770468791
blog post template word;73;70;2.16;0.15;0.00;0.00;203000000;0.29,0.29,0.11,0.64,1.00,0.11,0.11,0.41,0.11,0.29,0.11,0.82;5;1770468791
blog post template word;81;70;2.16;0.15;0.00;0.00;203000000;0.29,0.29,0.11,0.64,1.00,0.11,0.11,0.41,0.11,0.29,0.11,0.82;5;1770468791
html blog template;76;40;3.37;0.21;0.00;0.00;185000000;0.11,0.29,0.17,0.11,0.11,0.29,0.64,0.11,0.23,0.29,0.29,0.17;;1771322021
personal blog template;7;30;2.63;0.75;0.00;0.00;325000000;0.07,0.07,0.07,0.07,0.07,0.07,0.34,0.07,0.07,0.15,0.07,0.11;;1772059998
blog entry template;76;260;0.00;0.03;0.00;0.00;56800000;0.03,0.03,0.08,0.18,0.18,0.35,0.03,1.00,1.00,1.00,0.08,0.81;5;1770774516
blogexample;36;140;1.43;0.09;0.00;0.00;211000;0.00,0.00,0.00,0.00,0.01,1.00,0.01,0.00,1.00,0.00,0.00,0.00;;1771815242
blog templates free;33;170;2.10;0.56;0.00;0.00;360000000;0.26,0.14,0.26,0.17,0.11,0.11,0.05,0.05,0.26,0.21,0.26,0.26;;1767299845
fake blog template;28;110;0.00;0.02;0.00;0.00;20600000;0.06,0.06,0.06,0.34,0.34,0.53,0.15,0.06,1.00,1.00,0.06,0.06;;1770053040
next js website template;69;110;3.26;0.58;0.00;0.00;92000000;0.53,0.34,0.26,0.53,0.42,0.42,0.26,0.42,0.26,0.26,0.15,0.65;;1772351947
blog template for word;52;40;2.07;0.19;0.00;0.00;171000000;0.19,0.14,0.33,0.33,0.23,0.14,0.14,0.23,0.09,0.09,0.09,0.09;5;1769813577
next templates;71;70;0.00;0.03;0.00;0.00;478000000;0.33,0.23,0.23,0.23,0.23,0.33,0.33,1.00,0.52,0.00,0.00,0.14;5;1769952370
