Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
vercel cms;2;170;5.06;0.19;57.14;64.51;1330000;0.21,0.34,0.34,0.43,0.43,0.65,0.81,0.81,1.00,0.28,0.65,0.21;;1771248135
cms template;5;210;4.49;0.22;28.57;25.80;132000000;0.35,0.35,0.22,0.43,0.29,0.35,0.54,0.54,0.54,0.43,0.43,1.00;5;1771619212
nextjs cms;13;590;3.72;0.43;14.28;9.67;3670000;0.36,0.36,0.29,0.54,0.54,0.67,0.54,0.81,0.81,0.81,0.81,1.00;;1771164411
cms for nextjs;32;70;5.26;0.64;0.00;0.00;4590000;0.21,1.00,0.35,0.28,0.35,0.78,0.50,0.64,0.50,0.35,0.50,0.14;;1769255714
headless cms for nextjs;75;70;4.64;0.02;0.00;0.00;658000;0.11,0.11,0.17,0.17,0.17,0.17,0.29,0.17,0.64,0.64,0.64,0.64;;1772048311
headless cms for nextjs;80;70;4.64;0.02;0.00;0.00;658000;0.11,0.11,0.17,0.17,0.17,0.17,0.29,0.17,0.64,0.64,0.64,0.64;;1772048311
next js template;69;590;2.58;0.24;0.00;0.00;146000000;0.72,0.72,0.72,0.72,0.39,0.17,0.48,0.59,0.48,0.26,1.00,0.48;5;1771020181
svelte cms;43;170;3.91;0.37;0.00;0.00;765000;0.19,0.05,0.12,0.12,0.19,0.02,0.44,0.15,0.23,0.29,0.19,0.23;;1767653649
cms design templates;66;70;0.00;0.33;0.00;0.00;26100000;0.04,0.04,0.04,0.04,0.04,0.04,0.04,1.00,0.04,0.04,0.04,0.22;5;1770768298
next js templates;44;1000;2.58;0.24;0.00;0.00;80400000;0.52,0.46,1.00,0.52,0.84,0.52,0.31,1.00,0.37,0.37,0.25,0.31;;1771158014
next js templates;52;1000;2.58;0.24;0.00;0.00;80400000;0.52,0.46,1.00,0.52,0.84,0.52,0.31,1.00,0.37,0.37,0.25,0.31;;1771158014
cms templates;18;170;4.67;0.26;0.00;0.00;87400000;0.18,0.14,0.18,0.22,0.14,0.18,0.54,0.35,0.22,0.81,0.54,1.00;5;1767625131
next templates;46;70;0.00;0.03;0.00;0.00;478000000;0.33,0.23,0.23,0.23,0.23,0.33,0.33,1.00,0.52,0.00,0.00,0.14;5;1769952370
next cms;39;110;9.00;0.24;0.00;0.00;523000000;0.53,0.53,0.26,0.11,0.19,0.07,0.26,0.26,0.65,0.80,0.65,0.42;;1767308898
cms next;17;40;5.80;0.31;0.00;0.00;571000000;0.00,0.18,0.18,1.00,1.00,0.18,0.18,0.27,0.27,1.00,0.18,0.18;;1770548916
nextjs templates;77;1300;2.58;0.24;0.00;0.00;18400000;0.68,0.52,1.00,0.52,0.52,0.46,0.52,1.00,0.46,0.52,0.52,0.52;5;1769793268
next.js cms;25;210;4.42;0.36;0.00;0.00;93200000;0.53,0.53,0.53,0.43,0.66,0.43,0.35,0.23,0.66,1.00,0.82,0.66;;1767736491
headless cms nextjs;66;40;4.80;0.64;0.00;0.00;728000;0.42,0.71,0.57,0.71,0.57,1.00,1.00,1.00,0.00,1.00,0.00,0.28;;1768938300
best headless cms for nextjs;45;40;4.25;0.54;0.00;0.00;146000;0.22,0.22,0.33,0.33,0.33,1.00,0.77,0.77,0.55,0.33,1.00,0.22;;1770150968
best headless cms for nextjs;56;40;4.25;0.54;0.00;0.00;146000;0.22,0.22,0.33,0.33,0.33,1.00,0.77,0.77,0.55,0.33,1.00,0.22;;1770150968
vercel optimizely;39;40;0.00;0.33;0.00;0.00;11600;1.00,0.14,0.50,0.14,0.28,0.14,0.14,0.14,0.14,0.14,0.14,0.14;;1772228981
next.js template;95;320;2.58;0.24;0.00;0.00;145000000;0.00,0.08,0.10,0.00,0.01,0.01,0.01,0.00,0.00,1.00,0.01,0.30;5;1770782341
vercel visual editing;35;110;0.00;0.33;0.00;0.00;1020000;0.02,0.02,0.02,0.02,0.02,0.02,0.02,1.00,0.04,0.02,0.02,0.02;;1769566442
nextjs cms;20;590;3.72;0.43;0.00;0.00;3670000;0.36,0.36,0.29,0.54,0.54,0.67,0.54,0.81,0.81,0.81,0.81,1.00;;1771164411
nextjs headless cms;64;110;4.64;0.10;0.00;0.00;709000;0.11,0.26,0.26,0.19,0.15,0.65,0.42,0.80,1.00,0.80,0.42,0.15;;1770012708
cms template;12;210;4.49;0.22;0.00;0.00;132000000;0.35,0.35,0.22,0.43,0.29,0.35,0.54,0.54,0.54,0.43,0.43,1.00;5;1771619212
