Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
payload starter;1;50;0.00;0.14;50.00;0.00;3630000;0.00,0.00,0.14,1.00,0.78,0.50,0.28,0.78,0.14,0.14,0.14,0.14;;1767947981
payload templates;2;90;0.00;0.05;45.83;0.00;10800000;0.02,0.02,0.02,0.00,0.02,0.02,0.02,0.00,0.02,1.00,0.02,0.02;5;1767822093
self-hosted saas starters vercel docker customizable ui;1;40;0.00;0.00;4.16;0.00;15400;0.18,1.00,0.09,0.00;;1767866793
playload cms;8;90;1.78;0.42;0.00;0.00;8280000;0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00;;1768992826
payload setup;21;40;0.00;0.02;0.00;0.00;26200000;1.00,0.14,0.14,1.00,0.28,0.14,0.14,0.14,0.14,0.14,0.14,0.14;5;1767361391
payload enterprise;12;30;6.36;0.64;0.00;0.00;10400000;0.14,0.14,0.14,0.14,1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.14;;1767972984
payload 3.0;66;50;0.00;0.21;0.00;0.00;19500000;0.82,0.17,0.07,0.07,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05;;1767344340
payoad;36;110;1.38;0.01;0.00;0.00;47800000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00;1;1767675392
payload cms free;28;40;0.00;0.11;0.00;0.00;413000;0.50,0.14,0.14,0.14,1.00,0.14,0.28,0.14,0.14,0.14,0.14,0.14;;1767949407
payloadcms;7;590;1.89;0.43;0.00;0.00;452000;1.00,0.26,0.59,0.48,0.88,0.48,0.88,0.59,0.59,0.59,0.39,0.59;1;1768089324
payload releases;73;40;0.00;0.33;0.00;0.00;40400000;0.81,1.00,0.63,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18;5;1767361135
payload docs;15;40;0.65;0.10;0.00;0.00;28400000;0.09,1.00,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09;;1768997608
payloadcms cloud;36;260;0.00;0.19;0.00;0.00;59300;1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00;;1767806954
ayload;83;140;2.30;0.01;0.00;0.00;48400000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00;5;1770275340
starter website;31;140;4.44;0.37;0.00;0.00;575000000;0.06,0.34,0.34,0.28,0.34,0.43,0.65,0.53,1.00,0.81,0.28,0.43;;1767232659
paylaod;28;70;1.38;0.01;0.00;0.00;50400000;0.80,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;1;1768307102
payload ecommerce;25;30;3.64;0.43;0.00;0.00;5570000;0.09,1.00,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09;;1768500623
./payload.sh;56;480;0.00;0.00;0.00;0.00;26900000;1.00,0.00,0.00,0.00,0.00,0.00;;1767484492
payload migrate create;42;50;0.00;0.33;0.00;0.00;340000;0.00,0.00,1.00,1.00,0.14,1.00,0.14,0.28,0.14,0.14,0.14,0.14;5;1767359879
