Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
documentation page;3;90;1.66;0.08;16.27;6.91;1940000000;0.42,0.26,0.26,0.19,0.26,0.26,0.19,0.26,0.34,0.42,0.42,0.34;;1769905916
website documentation template;1;30;5.03;0.21;16.27;22.01;291000000;0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,1.00,0.18,0.18,0.18;5;1767586423
web documentation template;1;30;5.03;0.21;16.27;22.01;270000000;0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,1.00,0.18,0.18,0.18;5;1767584799
documentation website;8;320;4.00;0.06;16.27;17.61;1970000000;0.05,0.16,0.03,0.20,0.06,0.24,0.03,0.45,1.00,0.76,0.06,0.08;;1770011117
documentation site template;1;30;5.03;0.21;16.27;22.01;201000000;0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,1.00,0.18,0.18,0.18;5;1767585341
template documentation;4;110;1.95;0.17;4.65;1.88;733000000;0.66,0.66,1.00,0.52,0.52,0.52,0.33,0.09,0.52,0.80,0.52,0.66;5;1768775008
vercel documentation;2;110;0.00;0.02;4.65;0.00;10900000;0.00,0.80,0.42,0.33,1.00,0.33,0.52,0.52,0.66,0.42,0.52,0.52;;1768923623
template for documentation;5;70;2.51;0.16;4.65;3.14;718000000;0.12,0.17,0.23,0.28,0.17,0.17,0.23,0.12,0.12,0.10,0.28,0.12;5;1767430689
documentation site;14;720;5.14;0.07;2.32;3.14;2090000000;0.81,0.30,0.16,0.55,0.62,0.16,1.00,0.30,0.13,0.62,0.24,0.13;;1768078123
code documentation template;9;110;2.65;0.08;2.32;1.25;261000000;0.29,0.82,0.52,0.82,0.64,0.64,0.29,1.00,0.82,1.00,0.29,0.29;5;1772086240
site documents;34;50;13.25;0.32;0.00;0.00;8140000000;0.18,0.18,0.18,0.18,0.18,1.00,1.00,0.18,0.18,1.00,0.18,1.00;5;1768337308
html documentation example;78;50;0.00;0.01;0.00;0.00;564000000;0.45,0.45,0.45,0.63,0.27,0.45,0.63,0.63,0.63,0.45,0.63,0.63;;1768542177
free document templates;84;170;1.64;0.45;0.00;0.00;291000000;0.65,0.65,0.53,0.53,0.26,0.80,1.00,0.65,0.42,0.65,0.65,0.65;5;1767435164
doc templates free;67;30;1.64;0.45;0.00;0.00;186000000;0.09,0.09,0.00,0.00,0.00,0.09,0.45,0.00,0.81,0.45,0.45,0.81;;1767989122
documentation sample;89;70;1.97;0.01;0.00;0.00;988000000;0.00,0.42,0.66,0.23,0.14,0.09,0.52,0.33,0.42,0.52,0.04,0.14;5;1767616750
software documentation template;56;210;2.80;0.15;0.00;0.00;229000000;0.28,0.44,0.81,0.18,0.18,0.44,0.28,0.23,0.15,1.00,0.18,0.11;5;1768605212
headlesshost;92;40;0.00;0.14;0.00;0.00;4210;1.00,0.55,0.77,0.22,0.22,0.22,0.77,0.55,0.22,0.22,0.33,0.22;1;1767206493
site documentation;8;50;13.25;0.32;0.00;0.00;2010000000;0.11,0.11,0.11,0.11,0.11,0.64,0.64,0.11,0.11,0.64,0.11,0.64;;1767721153
site documentation;11;50;13.25;0.32;0.00;0.00;2010000000;0.11,0.11,0.11,0.11,0.11,0.64,0.64,0.11,0.11,0.64,0.11,0.64;;1767721153
document site;33;70;4.00;0.06;0.00;0.00;2790000000;0.21,0.06,0.00,0.03,0.12,0.06,0.65,0.06,1.00,0.12,0.12,0.09;;1771853387
document template free;52;30;1.64;0.45;0.00;0.00;561000000;0.35,0.64,0.50,0.50,0.00,0.21,0.07,0.00,0.50,0.00,0.00,0.00;5;1768461271
project documentation template;52;210;2.48;0.33;0.00;0.00;224000000;0.65,0.53,0.53,0.65,0.65,0.81,0.53,1.00,0.28,0.65,1.00,0.43;5;1770749779
documentation formats;47;50;2.63;0.11;0.00;0.00;1790000000;0.00,0.00,0.45,0.63,0.45,0.63,0.63,0.63,0.00,0.45,1.00,0.81;;1772063392
template for documentation for project;25;50;2.48;0.33;0.00;0.00;157000000;0.18,0.27,0.81,1.00,0.81,0.63,0.63,0.36,0.36,0.45,0.27,0.00;5;1770755339
template for technical documentation;58;70;2.64;0.20;0.00;0.00;183000000;0.03,0.11,0.11,0.80,1.00,0.07,0.03,0.19,0.15,0.80,0.26,0.15;5;1770667332
template docs;31;70;0.98;0.10;0.00;0.00;303000000;0.02,0.04,0.54,0.00,0.43,0.02,0.00,0.02,0.02,0.00,0.00,0.66;5;1771518666
template docs;63;70;0.98;0.10;0.00;0.00;303000000;0.02,0.04,0.54,0.00,0.43,0.02,0.00,0.02,0.02,0.00,0.00,0.66;5;1771518666
program documentation template;31;30;3.99;0.20;0.00;0.00;182000000;0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.64,0.11,0.11;5;1770102337
company document template;87;40;4.27;0.73;0.00;0.00;364000000;0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.27,0.45,1.00,0.63,0.18;5;1769315817
documents templates;84;110;1.76;0.20;0.00;0.00;301000000;0.29,0.29,0.06,0.02,0.23,0.19,0.00,0.19,0.29,0.00,0.01,0.06;5;1772351805
documents templates;88;110;1.76;0.20;0.00;0.00;301000000;0.29,0.29,0.06,0.02,0.23,0.19,0.00,0.19,0.29,0.00,0.01,0.06;5;1772351805
software documentation template word;60;210;2.80;0.15;0.00;0.00;222000000;0.35,0.66,0.66,0.66,0.66,0.43,0.35,0.22,0.18,1.00,0.29,0.14;5;1769396189
website documentation;11;170;6.46;0.32;0.00;0.00;1970000000;0.53,0.65,0.53,0.34,0.34,0.21,0.34,0.53,0.43,0.81,0.65,0.65;;1768866863
application documentation template;11;30;3.33;0.43;0.00;0.00;298000000;0.09,0.09,0.14,0.09,0.09,0.09,0.09,0.09,0.33,0.33,0.23,0.33;5;1767977682
server documentation template;11;40;4.36;0.23;0.00;0.00;148000000;0.28,0.28,0.28,0.28,0.28,0.42,0.42,1.00,1.00,0.71,1.00,0.71;5;1769318682
it documentation template;9;70;7.45;0.38;0.00;0.00;702000000;0.15,0.21,0.03,0.28,0.15,0.15,0.21,0.12,0.34,0.34,0.34,0.12;5;1768465144
template doc;56;170;1.95;0.17;0.00;0.00;595000000;0.53,0.80,0.80,1.00,0.19,0.15,0.11,0.42,0.65,0.80,0.65,0.80;5;1770277892
free document template;87;30;1.53;0.41;0.00;0.00;555000000;0.35,0.35,0.00,0.28,0.28,0.00,0.07,0.35,0.50,0.28,0.28,0.28;5;1770764879
templates for documents;91;50;1.95;0.17;0.00;0.00;248000000;0.10,0.14,0.04,0.06,0.02,0.06,0.10,0.10,0.08,0.29,0.08,0.10;5;1771987604
sample documentation;95;70;1.97;0.01;0.00;0.00;1050000000;0.34,0.15,0.53,0.15,0.26,0.03,0.19,0.26,0.42,0.15,0.42,0.19;5;1768437628
thisdocument;55;70;0.00;0.00;0.00;0.00;99500000;0.63,0.63,0.45,0.27,1.00,1.00,0.63,0.63,0.81,1.00,0.63,0.36;;1769728559
docker templates;90;70;0.00;0.01;0.00;0.00;25100000;0.23,0.82,0.52,0.41,0.64,0.41,0.41,1.00,0.82,0.23,0.17,0.05;5;1768960252
documentation web;62;50;3.15;0.02;0.00;0.00;581000000;0.00,0.18,0.18,0.18,0.18,1.00,1.00,0.18,0.18,0.18,1.00,1.00;;1767983585
free documents templates;72;110;1.53;0.41;0.00;0.00;230000000;0.33,0.33,0.80,0.80,0.66,1.00,0.66,0.42,0.52,0.52,0.42,0.42;5;1770510531
software documentation templates;39;90;2.80;0.15;0.00;0.00;155000000;0.26,0.26,0.65,0.53,0.42,0.42,0.19,0.19,0.26,1.00,0.11,0.00;5;1768881777
document templates;85;880;1.76;0.20;0.00;0.00;280000000;0.30,0.55,0.76,0.67,0.76,1.00,0.76,0.45,0.67,0.55,0.76,0.76;5;1772355133
