Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
nextjs ecommerce template;1;140;2.08;0.31;33.00;28.45;2190000;0.34,0.15,0.65,0.26,0.26,0.53,0.26,0.65,1.00,0.42,0.53,0.80;;1768935641
react ecommerce template;1;110;2.23;0.69;26.21;24.39;6770000;0.43,1.00,0.21,0.15,0.21,0.53,0.15,0.21,0.21,0.28,0.28,0.53;;1772079368
next js ecommerce template;1;90;2.08;0.31;21.35;18.29;6770000;0.17,1.00,0.41,0.64,0.64,0.52,0.52,0.29,0.52,0.41,0.64,0.29;5;1768869432
e commerce website template;12;720;4.49;0.63;4.85;8.94;212000000;0.36,0.81,0.55,0.45,0.36,0.16,0.36,0.55,0.20,0.30,1.00,0.24;5;1770072530
ecommerce website template;14;720;4.49;0.63;2.91;5.28;105000000;0.37,0.37,0.37,0.25,0.25,0.37,0.20,0.68,0.68,0.31,0.31,0.31;5;1770119762
ecommerce page template;13;720;4.49;0.63;2.91;5.28;21500000;0.24,0.10,0.81,0.81,1.00,0.62,0.62,0.06,0.08,0.55,0.36,0.30;5;1771543532
e-commerce website template;13;590;0.00;0.00;1.94;0.00;186000000;0.20,0.20,0.08,1.00,0.10,0.01,0.01,0.03,0.04,0.01,0.08,0.07;5;1769795189
ecommerce website templates;19;1600;4.49;0.63;1.94;3.25;60500000;0.08,0.08,0.08,0.10,0.08,0.08,0.08,0.10,0.10,0.10,0.10,0.12;;1772409906
storefront template;6;90;3.67;0.17;1.94;2.84;13300000;0.05,0.07,0.11,0.11,0.11,0.11,0.05,0.05,0.09,0.09,0.09,0.09;5;1772297339
ecommerce templates;22;1000;4.49;0.63;0.97;1.62;128000000;0.46,0.52,0.37,0.37,0.46,0.46,0.46,0.46,0.68,0.52,0.84,1.00;;1769898667
template site ecommerce;15;390;4.49;0.63;0.97;1.62;79800000;0.24,0.10,0.08,0.02,1.00,0.62,0.62,0.00,0.00,0.00,0.00,0.00;;1772017387
nextjs ecommerce starter;7;50;0.00;0.33;0.97;0.00;56900;0.14,0.14,0.14,0.14,0.28,0.35,0.50,0.14,1.00,0.78,0.28,0.14;6;1767340129
buy site template;98;140;4.82;0.62;0.00;0.00;259000000;0.81,0.43,0.21,0.28,0.28,0.65,0.53,0.28,0.21,0.43,0.43,0.43;;1768612241
free ecommerce site templates;20;140;3.09;0.25;0.00;0.00;31900000;0.65,0.43,0.53,0.65,0.00,0.34,0.53,0.43,0.21,0.43,0.34,0.34;;1768631480
retail website template;25;50;6.12;0.66;0.00;0.00;91100000;0.11,0.11,0.11,0.82,0.11,0.41,0.11,0.11,0.29,0.82,0.11,0.17;5;1768654679
shop website templates;25;40;5.46;0.45;0.00;0.00;232000000;0.29,0.17,0.11,0.00,0.29,0.64,0.11,0.11,0.17,0.29,0.23,0.17;;1767273893
online store templates;23;110;5.28;0.22;0.00;0.00;313000000;0.15,0.09,0.28,0.28,0.65,0.43,1.00,0.21,0.28,0.43,0.65,0.15;;1767221081
e commerce website templates;20;170;4.49;0.63;0.00;0.00;96200000;0.18,0.81,0.44,0.44,0.06,0.44,0.08,0.28,0.23,0.11,0.01,0.01;;1771055990
ecommerce html;12;50;0.00;0.50;0.00;0.00;345000000;0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.65,0.42,0.65;;1767972549
ecommerce website resources;75;40;0.00;0.00;0.00;0.00;108000000;0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.77,0.77,0.77,0.77,0.77;;1771655677
online store website template;18;170;5.89;0.33;0.00;0.00;451000000;0.28,0.81,0.34,0.53,0.81,0.43,0.65,0.81,0.43,0.65,0.65,0.43;;1772017429
ecommerce web design templates free download;40;50;3.03;0.50;0.00;0.00;26900000;0.23,0.23,0.23,0.33,0.33,0.23,0.33,0.23,0.33,0.23,0.33,0.23;;1768557588
e commerce web template;20;40;4.26;0.43;0.00;0.00;199000000;0.23,0.52,1.00,0.52,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.04;;1768403408
ecommerce sample;80;320;1.66;0.14;0.00;0.00;205000000;0.08,0.13,0.10,0.03,0.13,0.08,0.20,0.30,0.06,0.36,0.45,0.45;5;1768166138
react ecommerce;51;90;3.75;0.23;0.00;0.00;60100000;0.03,0.53,0.15,0.43,0.03,0.43,0.28,0.09,0.09,0.34,0.06,1.00;5;1770348124
free ecommerce websites templates;13;70;3.09;0.25;0.00;0.00;24600000;0.00,0.28,0.35,1.00,0.00,0.00,0.00,0.17,0.00,0.17,0.02,0.00;;1770918424
online shopping templates;21;210;5.89;0.33;0.00;0.00;60500000;0.35,0.35,0.43,0.66,0.66,0.82,0.53,0.66,0.35,0.43,0.53,0.35;;1769980443
simple ecommerce website templates;15;50;4.74;0.11;0.00;0.00;51400000;0.11,0.11,0.11,0.64,0.17,0.17,0.11,0.11,0.11,1.00,0.41,0.29;;1770664036
webshop template free;23;50;3.55;0.33;0.00;0.00;12900000;0.36,0.63,0.63,0.81,0.63,0.63,0.45,0.63,0.18,0.00,0.27,0.27;;1769373433
online storefront templates;22;40;5.89;0.33;0.00;0.00;682000000;0.14,0.21,0.21,0.35,0.35,0.35,0.28,0.50,0.35,0.28,0.35,0.35;;1768899010
platforms with pre-built templates for checkout page promotions;42;40;0.00;0.00;0.00;0.00;3280000;0.80,1.00,0.60,0.40;;1767373280
nextjs ecommerce;76;90;4.44;0.19;0.00;0.00;6340000;0.02,0.10,0.04,0.05,0.08,0.00,0.02,0.03,0.04,0.02,0.02,0.00;5;1772338951
free online store website template;38;70;3.55;0.33;0.00;0.00;268000000;0.63,0.63,0.63,0.45,0.63,0.81,0.45,0.63,0.27,0.81,0.63,0.45;;1769779773
online shopping sites templates;25;140;5.89;0.33;0.00;0.00;58200000;0.18,0.18,0.43,0.14,0.22,0.43,0.35,0.29,0.18,0.29,0.35,0.29;;1770473124
ecommerce website template free;13;50;3.40;0.24;0.00;0.00;104000000;1.00,0.52,0.04,0.19,0.09,0.00,0.66,0.00,0.00,0.00,0.00,0.09;;1767223122
retail web template;41;30;6.12;0.66;0.00;0.00;221000000;0.28,0.28,0.28,1.00,0.28,1.00,0.28,0.28,0.28,1.00,0.28,0.28;;1768901388
sample e commerce website;43;30;2.31;0.37;0.00;0.00;266000000;0.60,0.60,0.40,0.40,0.80,1.00,0.40,0.60,0.40,0.80,0.20,0.40;5;1771771476
shopping cart website template;26;50;9.33;0.07;0.00;0.00;59100000;0.11,0.29,0.23,0.11,0.64,0.29,0.23,0.29,0.52,0.11,0.41,0.23;5;1767681660
react storefront;45;140;5.87;0.05;0.00;0.00;8530000;0.15,0.53,0.53,0.53,0.43,0.53,0.34,0.43,0.06,0.43,0.53,0.28;5;1769578078
free html ecommerce templates;17;40;2.70;0.28;0.00;0.00;24300000;0.11,0.00,0.05,0.00,0.00,0.00,0.11,0.82,0.00,0.00,1.00,0.82;;1771769050
online stores templates;34;30;5.89;0.33;0.00;0.00;247000000;0.11,0.11,0.00,0.00,0.00,0.00,0.41,0.52,0.29,0.41,0.29,0.23;;1769317650
free ecommerce website themes;52;170;3.40;0.24;0.00;0.00;9250000;0.82,1.00,1.00,0.53,0.17,0.28,0.82,0.35,0.17,0.35,0.23,0.12;;1767598001
e-commerce template;15;110;0.00;0.00;0.00;0.00;210000000;0.35,0.28,0.15,0.18,0.28,0.35,0.00,0.54,0.08,0.11,0.03,0.05;;1770115077
free ecommerce website templates;23;590;3.09;0.25;0.00;0.00;82700000;0.36,0.81,0.44,0.81,0.44,1.00,0.44,0.54,0.81,1.00,0.44,0.44;;1770010442
html ecommerce template;65;50;2.07;0.37;0.00;0.00;41300000;0.09,0.09,0.00,0.00,0.00,0.00,0.00,0.66,0.00,0.42,1.00,0.66;;1769318253
website template ecommerce;15;320;4.26;0.43;0.00;0.00;65300000;0.00,0.04,0.00,0.81,1.00,0.54,0.44,0.54,0.54,0.23,0.44,0.29;5;1767225671
ecommerce demo;77;30;12.81;0.41;0.00;0.00;187000000;0.07,0.07,0.07,0.07,0.11,0.07,0.11,0.11,0.26,0.19,0.19,0.07;;1767567359
ecommerce free template;44;90;3.09;0.25;0.00;0.00;113000000;0.41,1.00,0.05,1.00,0.00,0.05,0.00,1.00,0.11,0.17,1.00,0.82;;1768633391
ecommerce website themes;27;110;4.26;0.43;0.00;0.00;58500000;0.34,0.19,0.07,0.53,0.11,1.00,0.65,0.26,0.07,1.00,0.65,0.80;;1767685464
online store template;16;260;5.89;0.33;0.00;0.00;616000000;0.23,0.44,0.28,0.35,0.54,0.18,0.44,0.44,0.81,0.81,0.35,0.23;;1771820118
theme for ecommerce website;39;30;4.49;0.63;0.00;0.00;76100000;0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1770541227
e commerce theme;77;40;3.21;0.72;0.00;0.00;197000000;1.00,0.26,0.34,0.03,0.15,0.11,0.11,0.15,0.00,0.00,0.00,0.00;;1769823022
ecom website template;16;110;4.26;0.43;0.00;0.00;109000000;0.00,0.00,0.00,0.00,0.29,0.00,0.00,0.00,0.07,0.15,1.00,0.00;5;1767598983
website ecommerce templates;21;90;4.26;0.43;0.00;0.00;45000000;0.43,0.28,0.21,0.65,0.34,0.21,0.28,0.15,0.21,0.12,0.15,0.21;;1767225470
template web online store;19;140;5.89;0.33;0.00;0.00;556000000;0.18,0.18,0.22,0.14,0.22,0.43,0.35,0.29,0.18,0.29,0.35,0.29;;1769397863
e commerce template free;33;170;3.40;0.24;0.00;0.00;189000000;0.53,0.65,0.81,0.03,0.34,0.81,0.03,0.43,1.00,0.53,0.43,0.28;;1768457699
free webshop template;26;40;3.55;0.33;0.00;0.00;12000000;0.33,0.55,0.44,0.33,0.55,0.55,0.33,0.55,0.22,0.55,0.33,0.33;5;1772469846
free web templates for ecommerce website;20;140;3.09;0.25;0.00;0.00;23700000;0.65,0.43,0.53,0.65,0.43,0.65,0.53,0.43,0.21,0.43,0.34,0.34;;1769013597
single page ecommerce website;49;30;5.77;0.71;0.00;0.00;154000000;0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.41,0.11,0.11;;1769317751
free internet shop template;39;50;3.55;0.33;0.00;0.00;425000000;0.29,0.29,0.41,0.52,0.41,0.41,0.29,0.41,0.17,0.41,0.41,0.29;;1769764221
next.js commerce;93;70;6.44;0.12;0.00;0.00;95600000;0.66,0.42,0.80,1.00,0.66,0.00,0.00,0.04,0.09,0.04,0.00,0.00;;1767732126
template for ecommerce website;17;110;4.49;0.63;0.00;0.00;117000000;0.43,0.43,0.66,1.00,0.00,0.00,0.00,0.00,0.02,0.04,0.02,0.10;;1769844158
shopping website template;17;140;5.60;0.37;0.00;0.00;216000000;0.28,0.34,0.34,0.43,0.43,0.43,0.28,0.34,0.15,0.53,0.21,1.00;5;1770761947
website template shop;31;30;2.42;0.29;0.00;0.00;293000000;0.00,0.11,0.11,0.33,0.44,0.22,0.00,1.00,0.55,0.33,0.11,0.11;;1770062675
website template shop;44;30;2.42;0.29;0.00;0.00;293000000;0.00,0.11,0.11,0.33,0.44,0.22,0.00,1.00,0.55,0.33,0.11,0.11;;1770062675
free e commerce website template;29;110;3.40;0.24;0.00;0.00;166000000;0.53,0.23,0.35,0.28,0.53,0.10,0.10,0.35,0.53,0.07,0.00,0.12;;1767224222
react js ecommerce;49;90;5.00;0.31;0.00;0.00;12200000;0.52,0.64,0.82,0.64,1.00,1.00,0.82,0.41,0.29,0.29,0.17,0.11;5;1768576226
ecommerce website design templates;79;480;4.49;0.63;0.00;0.00;229000000;0.24,0.45,0.10,0.45,0.30,0.13,0.36,1.00,0.24,0.55,0.24,0.13;;1770284261
templates stores;29;70;4.40;0.11;0.00;0.00;366000000;0.23,0.23,0.19,0.42,0.00,0.09,0.00,0.19,0.33,0.42,0.66,0.52;;1767483780
templates stores;36;70;4.40;0.11;0.00;0.00;366000000;0.23,0.23,0.19,0.42,0.00,0.09,0.00,0.19,0.33,0.42,0.66,0.52;;1767483780
bootstrap templates ecommerce;44;40;3.30;0.60;0.00;0.00;12600000;0.35,0.50,0.14,0.00,0.21,0.14,0.14,1.00,0.00,0.00,0.14,1.00;;1768770032
e commerce websites templates;18;320;4.26;0.43;0.00;0.00;115000000;0.59,0.32,0.17,0.00,0.00,0.00,0.00,0.72,0.59,0.21,0.48,0.72;;1768145863
ecommerce react;12;30;3.75;0.23;0.00;0.00;54100000;0.09,0.09,0.04,0.19,1.00,0.04,0.09,0.00,0.00,0.00,0.00,0.04;5;1769676628
ecommerce websites free;43;140;7.14;0.56;0.00;0.00;126000000;0.66,1.00,0.00,0.06,0.15,0.06,0.15,0.06,0.08,0.08,0.15,0.15;;1772336584
template site web e commerce;15;110;4.26;0.43;0.00;0.00;39800000;0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1767562400
webshop template;18;140;5.28;0.22;0.00;0.00;63700000;0.21,0.28,0.34,0.28,0.81,0.53,0.65,0.53,0.53,0.28,0.53,0.43;;1768409853
shop template;38;90;3.76;0.17;0.00;0.00;547000000;0.09,0.28,0.15,0.09,0.09,0.53,0.12,0.34,0.43,0.28,0.15,0.43;;1769384769
online store website templates;19;90;5.28;0.22;0.00;0.00;172000000;0.42,0.26,0.15,0.03,0.42,0.11,0.15,0.53,0.53,0.26,0.53,0.65;;1767286487
shop website template;27;30;5.46;0.45;0.00;0.00;468000000;0.00,0.27,0.45,0.63,1.00,0.00,0.00,0.00,0.36,0.45,0.27,0.45;;1767613030
ecommerce website design templates free;12;30;3.09;0.25;0.00;0.00;16800000;0.00,0.05,0.52,0.11,0.11,0.17,0.17,0.17,0.17,0.23,0.11,0.05;5;1771671748
e commerce template;19;320;3.14;0.39;0.00;0.00;197000000;0.17,0.26,0.39,1.00,0.17,0.11,0.17,0.39,0.21,0.39,0.03,0.26;;1769716394
template online store;23;40;5.28;0.22;0.00;0.00;479000000;0.00,0.00,0.00,0.27,0.45,0.45,1.00,0.45,0.63,0.18,0.63,0.45;;1767585274
store web templates;22;30;6.60;0.26;0.00;0.00;281000000;0.35,0.35,0.50,0.21,0.50,0.14,0.14,0.14,0.14,0.14,0.14,0.14;;1772331447
template site e commerce;30;40;4.49;0.63;0.00;0.00;194000000;0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.28,0.28,0.43,0.00,0.23;;1769318690
laravel ecommerce template;96;140;0.00;0.33;0.00;0.00;1970000;0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.00,0.01,0.04,0.02,0.01;5;1768907560
online shopping web templates;19;30;5.89;0.33;0.00;0.00;38200000;0.07,0.11,0.03,0.07,0.34,0.19,0.42,0.03,0.00,0.15,0.07,0.03;;1769399586
ecommerce website templates free download;32;110;2.99;0.33;0.00;0.00;63000000;0.21,0.15,0.34,1.00,0.34,0.28,0.28,0.43,0.21,0.34,0.34,0.34;;1768766993
ecommerce example;89;70;1.66;0.14;0.00;0.00;263000000;0.24,0.06,0.08,0.00,0.00,0.00,0.03,0.00,0.01,0.00,0.01,0.05;;1767563968
sample ecommerce;53;720;1.57;0.17;0.00;0.00;97800000;0.55,0.10,0.81,0.03,0.00,0.81,0.55,0.10,0.36,0.81,0.62,0.62;;1770890945
online shopping website templates;21;140;5.89;0.33;0.00;0.00;94100000;0.42,0.53,0.26,0.53,0.65,1.00,0.42,0.65,0.15,0.53,0.80,0.42;;1769121915
website templates ecommerce;18;140;4.49;0.63;0.00;0.00;103000000;0.22,0.14,0.66,0.43,0.14,0.29,0.54,0.29,0.08,0.10,0.35,0.14;;1771236352
web templates ecommerce;13;40;4.49;0.63;0.00;0.00;25900000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.21,1.00,0.78;;1771765275
web templates store;38;40;5.89;0.33;0.00;0.00;370000000;0.77,0.77,0.55,0.77,1.00,1.00,0.55,0.11,0.11,0.00,0.00,0.00;;1772454242
retail website templates;24;30;10.78;0.44;0.00;0.00;46500000;0.28,0.28,0.28,0.28,0.71,0.28,0.42,0.28,0.28,0.28,0.71,0.28;;1767289247
ecommerce bootstrap template free;63;50;0.00;0.21;0.00;0.00;3640000;0.00,0.11,0.11,0.17,0.11,0.11,0.05,0.00,1.00,1.00,0.00,1.00;;1767621450
free ecommerce website templates download;54;50;2.99;0.33;0.00;0.00;60000000;0.19,0.04,0.00,0.14,0.09,0.09,0.00,0.00,0.00,1.00,0.80,0.66;;1769320051
product web template;88;70;4.04;0.45;0.00;0.00;672000000;0.35,0.50,0.35,0.35,0.35,0.50,1.00,0.50,0.35,0.50,0.50,0.35;;1769425104
best ecommerce site templates;26;30;9.39;0.39;0.00;0.00;26600000;0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,1.00,0.18,0.18;;1769319428
shopping website theme;28;70;5.60;0.37;0.00;0.00;218000000;0.21,0.21,0.15,0.09,0.28,0.43,0.21,0.15,0.15,0.21,0.21,0.15;;1769406085
ecommerce website theme free download;28;50;2.99;0.33;0.00;0.00;39400000;0.35,0.35,0.50,0.21,0.35,0.50,0.35,0.50,0.35,0.50,0.35,0.14;;1771816080
template site e-commerce;70;50;0.00;0.00;0.00;0.00;303000000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00;;1770283658
ecommerce html template free download;31;50;0.00;0.09;0.00;0.00;25900000;0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.42,0.66,0.09,1.00;;1767910038
e commerce themes;56;30;2.93;0.61;0.00;0.00;160000000;0.23,0.29,0.17,0.41,0.41,0.29,0.00,0.00,0.00,0.00,0.00,0.00;;1767490964
js ecommerce;78;40;4.42;0.13;0.00;0.00;34000000;0.18,0.18,0.18,0.18,1.00,0.18,0.18,0.18,0.18,1.00,0.18,0.18;;1770551838
online store web template;13;110;5.89;0.33;0.00;0.00;392000000;0.34,0.42,0.34,0.65,0.53,0.26,0.26,0.34,0.26,0.34,0.42,0.34;5;1769367228
free e commerce web templates;22;30;3.40;0.24;0.00;0.00;26700000;0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.23,0.35,0.00,0.00,0.00;;1767606863
template store;55;50;4.40;0.11;0.00;0.00;789000000;0.14,0.09,0.33,0.19,0.66,0.04,0.33,0.19,0.42,0.14,0.23,0.14;;1767703409
best ecommerce templates;8;70;0.00;0.49;0.00;0.00;55900000;0.09,0.09,0.09,0.09,0.09,0.09,0.09,1.00,0.66,0.80,0.80,0.23;5;1772297799
online sales website template;33;90;5.28;0.22;0.00;0.00;161000000;0.26,0.34,0.42,0.34,0.65,0.53,0.26,0.26,0.34,0.26,0.34,0.34;;1768461675
store template;12;90;3.67;0.17;0.00;0.00;910000000;0.23,0.52,0.66,0.66,0.52,0.66,0.23,0.23,0.42,0.52,0.42,0.42;5;1770325023
pre-built templates for checkout page promotions platforms;17;50;0.00;0.00;0.00;0.00;8920000;1.00,1.00,0.57,0.57,0.71,0.14;;1770284102
pre-built templates for checkout page promotions platforms;24;50;0.00;0.00;0.00;0.00;8920000;1.00,1.00,0.57,0.57,0.71,0.14;;1770284102
pre-built templates for checkout page promotions platforms;78;50;0.00;0.00;0.00;0.00;8920000;1.00,1.00,0.57,0.57,0.71,0.14;;1770284102
ecommerce site template free download;30;40;2.99;0.33;0.00;0.00;17600000;0.55,0.55,0.55,0.33,0.55,0.00,0.33,0.55,0.55,0.77,0.44,0.22;;1770685175
ecommerce app template;23;50;0.00;0.14;0.00;0.00;98000000;0.09,0.09,0.09,0.09,0.09,0.19,0.09,0.09,0.09,0.66,0.66,0.66;5;1769319466
commerce template;68;70;3.56;0.16;0.00;0.00;121000000;0.63,0.63,0.45,0.36,0.81,0.63,0.63,0.63,0.45,0.81,0.81,0.81;5;1768887312
