Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
next js admin dashboard;7;70;1.98;0.17;25.00;9.09;27500000;0.50,0.64,0.50,0.64,0.50,0.50,0.35,0.50,0.50,0.35,0.35,0.14;5;1770031500
admin dashboard template;12;210;3.19;0.35;25.00;27.27;126000000;0.35,0.53,0.82,0.43,0.35,0.35,0.53,0.43,0.66,0.43,0.53,0.66;5;1768485859
dashboard admin;15;320;7.27;0.04;25.00;63.63;400000000;0.29,0.12,0.12,0.15,0.10,0.12,0.23,0.67,0.67,1.00,0.44,0.81;5;1772178786
vercel admin dashboard template;2;40;0.00;0.33;25.00;0.00;51900;0.14,0.64,0.78,0.64,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14;5;1771110425
admin-dashboard;29;30;4.91;0.08;0.00;0.00;574000000;1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1767058336
admin dasboard;32;30;5.22;0.10;0.00;0.00;549000000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.66,0.00,0.00,0.80,0.00;;1771782431
next dashboard;22;140;0.00;0.00;0.00;0.00;571000000;0.33,0.66,0.42,0.66,0.66,0.33,0.52,0.52,0.52,1.00,1.00,1.00;5;1767433736
admin and dashboard templates;14;110;2.52;0.37;0.00;0.00;21500000;0.42,0.26,0.42,0.11,0.26,0.53,0.53,0.34,0.26,0.42,0.53,1.00;;1772473309
next js dashboard template;29;70;2.61;0.14;0.00;0.00;39000000;0.63,0.27,0.81,0.81,0.18,0.45,0.63,0.81,1.00,0.63,0.45,0.27;5;1770332164
vercel table library;12;40;0.00;0.00;0.00;0.00;188000;1.00,0.00,0.00,0.00,0.00;;1768903249
admin dashboard layout;16;30;2.52;0.37;0.00;0.00;6910000;0.00,1.00,0.29,0.05,0.05,0.00,0.00,0.00,0.29,0.00,0.05,0.00;5;1772501709
nextjs dashboard template;34;70;2.61;0.14;0.00;0.00;3880000;0.07,0.26,0.42,0.34,0.34,0.15,0.34,0.11,1.00,0.03,0.03,0.34;5;1770904958
next js dashboard;38;110;4.87;0.06;0.00;0.00;133000000;0.53,0.53,0.42,0.34,0.34,0.42,0.34,0.53,0.42,0.34,0.11,0.42;;1770472463
next js dashboard;41;110;4.87;0.06;0.00;0.00;133000000;0.53,0.53,0.42,0.34,0.34,0.42,0.34,0.53,0.42,0.34,0.11,0.42;;1770472463
admin dashbaord;30;30;5.22;0.10;0.00;0.00;270000000;0.00,0.04,0.00,0.42,0.52,0.66,0.00,0.00,0.00,0.00,0.00,0.00;;1770742556
template dashboard;38;210;4.20;0.64;0.00;0.00;312000000;0.81,0.54,0.66,0.81,1.00,0.14,0.35,0.10,0.22,0.29,0.00,0.43;5;1769700793
template dashboard;80;210;4.20;0.64;0.00;0.00;312000000;0.81,0.54,0.66,0.81,1.00,0.14,0.35,0.10,0.22,0.29,0.00,0.43;5;1769700793
nextjs admin dashboard;17;30;1.98;0.17;0.00;0.00;3270000;0.29,0.17,0.41,0.17,0.05,0.05,0.11,0.17,0.11,0.11,0.05,0.11;;1769467103
/admin/dashboard;30;30;5.22;0.10;0.00;0.00;244000000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,1.00,0.00;;1771782101
next admin;25;50;2.73;0.03;0.00;0.00;1100000000;1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.64,0.64,0.64,0.11;;1767340405
nextjs dashboard;26;110;3.20;0.10;0.00;0.00;10100000;0.82,0.41,0.82,1.00,1.00,0.82,0.52,0.29,0.64,0.29,0.29,0.64;;1767389193
admin dashboard templates;17;140;2.52;0.37;0.00;0.00;74000000;0.07,0.42,0.53,0.65,0.65,0.34,0.34,0.42,0.53,0.65,0.53,1.00;5;1769905064
dasboard admin;14;210;7.27;0.04;0.00;0.00;622000000;0.00,0.05,0.05,0.00,0.07,0.19,0.36,0.03,0.05,0.36,0.67,1.00;5;1768898601
