Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
agentgpt;7;3600;6.20;0.53;75.00;75.34;179000;0.07,0.03,0.10,0.05,0.04,0.05,0.05,0.03,0.04,0.08,0.02,0.02;;1772508621
agent gpt;10;1300;6.20;0.53;25.00;24.65;194000000;0.00,0.03,0.03,0.07,0.04,0.04,0.00,0.05,0.01,0.00,0.00,0.00;;1771978860
vercel ai agents;8;30;6.61;0.14;0.00;0.00;1740000;1.00,0.05,0.05,0.29,0.11,0.00,0.11,0.11,0.11,0.11,0.11,0.11;;1767018017
langgraph vercel ai sdk;40;50;0.00;0.02;0.00;0.00;20400;1.00,0.64,0.82,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11;;1770194033
agent inbox langchain;64;40;4.67;0.25;0.00;0.00;329000;0.00,0.28,0.78,1.00,0.28,0.28,0.28,0.14,0.14,0.14,0.14,0.14;5;1771514409
agent inbox langchain;71;40;4.67;0.25;0.00;0.00;329000;0.00,0.28,0.78,1.00,0.28,0.28,0.28,0.14,0.14,0.14,0.14,0.14;5;1771514409
chatgpt ai agent;95;320;5.32;0.39;0.00;0.00;193000000;0.01,0.10,0.10,0.16,0.03,0.01,0.08,1.00,0.30,0.13,0.55,0.16;;1770659855
vercel agents;13;50;6.95;0.08;0.00;0.00;2890000;0.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.64,1.00,0.64;;1770880004
auto gpt ai agent;74;50;0.00;0.33;0.00;0.00;5510000;0.22,0.22,0.22,0.77,0.77,0.22,0.22,0.77,0.22,0.77,1.00,0.77;;1769422086
auto gpt ai agent;94;50;0.00;0.33;0.00;0.00;5510000;0.22,0.22,0.22,0.77,0.77,0.22,0.22,0.77,0.22,0.77,1.00,0.77;;1769422086
chatgpt agent repo;58;390;0.00;0.00;0.00;0.00;4970000;1.00,0.00,0.00,0.00;;1769785510
vercel agent sdk;34;50;7.90;0.04;0.00;0.00;689000;0.00,0.00,0.00,0.09,0.09,0.09,0.19,0.09,0.09,0.09,1.00,1.00;;1772463784
vercel agent;22;70;5.73;0.07;0.00;0.00;4960000;0.33,0.09,0.09,0.09,0.80,0.09,0.09,0.09,0.09,1.00,0.80,0.52;;1772044889
vercel agent;40;70;5.73;0.07;0.00;0.00;4960000;0.33,0.09,0.09,0.09,0.80,0.09,0.09,0.09,0.09,1.00,0.80,0.52;;1772044889
