Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
alt text generator;26;4400;0.93;0.11;85.71;100.00;72700000;0.35,0.35,0.44,0.44,0.44,0.54,0.35,0.54,0.44,0.54,0.81,1.00;;1772362202
alt text generator;40;4400;0.93;0.11;14.28;0.00;72700000;0.35,0.35,0.44,0.44,0.44,0.54,0.35,0.54,0.44,0.54,0.81,1.00;;1772362202
ai image alt text generator;23;70;1.55;0.28;0.00;0.00;31800000;0.09,0.09,0.14,0.19,0.33,0.42,0.14,0.66,0.19,1.00,0.42,0.09;;1770684366
alt text creator;24;40;0.93;0.21;0.00;0.00;431000000;0.14,0.14,0.14,0.14,0.14,0.28,0.14,0.14,0.14,1.00,0.50,0.14;;1769329070
alt text creator;34;40;0.93;0.21;0.00;0.00;431000000;0.14,0.14,0.14,0.14,0.14,0.28,0.14,0.14,0.14,1.00,0.50,0.14;;1769329070
alt-text generator;29;140;1.18;0.06;0.00;0.00;125000000;0.26,0.00,0.32,0.05,0.00,0.02,0.00,0.00,0.00,0.00,0.02,1.00;;1768216641
vercel business generator;100;50;6.11;0.71;0.00;0.00;544000;0.05,0.05,0.05,0.05,1.00,0.05,0.05,0.05,0.05,0.05,0.05,0.05;;1768565779
alt image text generator;25;70;0.95;0.15;0.00;0.00;33200000;0.11,0.11,0.11,0.11,0.41,0.64,0.11,0.29,0.23,1.00,0.52,0.41;;1771143230
alt image text generator;31;70;0.95;0.15;0.00;0.00;33200000;0.11,0.11,0.11,0.11,0.41,0.64,0.11,0.29,0.23,1.00,0.52,0.41;;1771143230
generate alt text for images;25;90;0.96;0.29;0.00;0.00;101000000;0.11,0.11,1.00,0.23,0.64,0.64,0.41,0.82,0.64,1.00,1.00,0.41;;1772053956
generate alt text for images;37;90;0.96;0.29;0.00;0.00;101000000;0.11,0.11,1.00,0.23,0.64,0.64,0.41,0.82,0.64,1.00,1.00,0.41;;1772053956
alt text ai;21;260;10.65;0.32;0.00;0.00;565000000;0.36,0.19,0.19,0.23,0.29,0.29,0.36,0.36,0.36,0.44,0.44,0.19;;1769046044
alt text ai;34;260;10.65;0.32;0.00;0.00;565000000;0.36,0.19,0.19,0.23,0.29,0.29,0.36,0.36,0.36,0.44,0.44,0.19;;1769046044
alt text generator for images;19;320;1.57;0.12;0.00;0.00;281000000;0.35,0.66,0.54,0.54,0.81,0.66,0.43,0.66,0.66,1.00,1.00,0.66;;1769723670
ai alt text;48;90;1.91;0.14;0.00;0.00;560000000;0.42,0.15,1.00,0.26,0.26,0.19,0.19,0.15,0.53,0.26,0.53,0.53;;1767242833
alt text generator ai;21;40;0.00;0.08;0.00;0.00;50200000;0.14,0.14,0.14,0.14,0.35,0.35,0.14,0.28,0.14,0.78,1.00,0.14;;1768901443
alttext ai;39;110;10.65;0.32;0.00;0.00;35500000;0.43,0.35,0.22,0.35,0.22,0.43,0.18,0.14,0.10,0.22,0.06,0.14;;1771976982
alttext ai;62;110;10.65;0.32;0.00;0.00;35500000;0.43,0.35,0.22,0.35,0.22,0.43,0.18,0.14,0.10,0.22,0.06,0.14;;1771976982
alt text ai generator;19;40;1.42;0.26;0.00;0.00;51700000;0.45,0.36,0.45,0.36,0.18,0.45,0.18,0.18,0.36,0.63,0.63,0.18;;1769931737
alt text ai generator;21;40;1.42;0.26;0.00;0.00;51700000;0.45,0.36,0.45,0.36,0.18,0.45,0.18,0.18,0.36,0.63,0.63,0.18;;1769931737
