Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
vercel ai chatbot;15;390;5.64;0.16;0.00;0.00;5310000;0.54,0.66,0.81,1.00,1.00,1.00,0.66,0.81,0.81,0.81,0.54,0.35;;1772292462
next js ai chatbot;25;30;4.80;0.25;0.00;0.00;156000000;0.00,0.00,1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.00;;1770055713
next.js ai;66;170;6.00;0.23;0.00;0.00;465000000;0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,1.00,0.00,0.01;;1767300016
next.js ai;75;170;6.00;0.23;0.00;0.00;465000000;0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,1.00,0.00,0.01;;1767300016
chat next;48;30;21.00;0.02;0.00;0.00;3060000000;0.00,0.00,0.00,0.42,0.00,0.00,0.00,0.66,0.42,0.09,0.00,0.00;;1767602730
vercel chat;12;140;4.63;0.05;0.00;0.00;13100000;0.07,0.07,0.80,1.00,0.80,0.65,0.80,0.42,0.42,0.53,0.53,0.26;;1769604460
vercel ai sdk telemetry;5;40;0.00;0.01;0.00;0.00;17200;0.00,0.11,0.23,0.64,1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11;;1767488228
next.js ai chatbot;24;140;0.00;0.05;0.00;0.00;135000000;0.01,0.01,0.01,0.06,0.01,0.00,0.00,0.00,0.00,1.00,0.00,0.01;;1767573979
vercel chat sdk;16;110;0.00;0.01;0.00;0.00;1260000;0.00,0.03,0.00,0.03,0.80,1.00,0.65,1.00,0.80,0.53,0.42,0.42;;1768889470
vercel ai chatbot github;17;40;0.00;0.33;0.00;0.00;2710000;0.00,0.11,1.00,0.11,0.11,0.64,0.11,0.11,0.11,0.11,0.11,0.11;;1768889481
vercel ai chat;14;90;5.64;0.16;0.00;0.00;5840000;0.15,0.07,0.80,0.80,0.15,0.00,0.00,1.00,0.80,0.26,0.11,0.07;;1769672710
vercel ai chat;51;90;5.64;0.16;0.00;0.00;5840000;0.15,0.07,0.80,0.80,0.15,0.00,0.00,1.00,0.80,0.26,0.11,0.07;;1769672710
