Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
ai code translator;2;90;2.27;0.09;33.33;55.81;113000000;0.29,0.22,0.14,0.29,0.14,0.08,0.04,0.14,0.22,0.14,0.04,0.22;;1768960856
ai code translate;2;50;0.00;0.13;18.18;0.00;171000000;0.55,0.44,0.22,0.55,0.77,0.55,0.33,0.77,0.77,0.55,0.55,0.44;;1770787801
programing language translator;3;70;0.00;0.00;15.15;0.00;108000000;0.00,0.00,0.04,0.04,0.04,0.04,0.22,0.04,0.04,0.04,0.04,1.00;;1772337607
translate coding;8;170;2.00;0.01;12.12;18.60;935000000;0.26,0.14,0.17,0.17,0.03,0.32,0.11,0.11,0.17,0.17,0.21,0.05;;1772295072
code translator;17;2900;2.26;0.02;12.12;20.93;119000000;1.00,0.66,0.44,0.53,0.53,0.53,0.44,0.44,0.53,0.53,0.35,0.53;;1772506223
programming language translator;4;110;0.00;0.00;6.06;0.00;16300000;0.15,0.23,0.18,0.18,0.03,0.03,0.18,0.03,0.03,0.03,0.03,1.00;;1771426482
ai code converter;9;70;2.39;0.37;3.03;4.65;384000000;0.65,0.34,0.43,0.21,0.21,0.21,0.12,0.09,0.15,0.15,0.21,0.06;;1768982277
translator programming language;82;210;0.00;0.00;0.00;0.00;5650000;0.01,0.24,0.03,0.01,0.01,0.01,1.00,0.01,0.01,0.01,0.01,0.36;;1772528809
coded language translator;23;50;2.24;0.02;0.00;0.00;116000000;0.00,0.00,0.52,0.23,0.00,0.00,0.33,0.33,0.42,0.42,0.52,0.00;;1767236128
computer language translator;27;170;1.11;0.05;0.00;0.00;112000000;0.43,0.29,0.22,0.35,0.22,0.35,0.29,0.35,0.29,0.43,0.43,0.43;;1770464673
translate code to english;46;50;0.00;0.02;0.00;0.00;1450000000;0.06,0.06,0.06,0.06,0.34,0.34,0.34,0.06,0.34,0.06,0.06,0.06;;1768888832
code translate;32;390;2.58;0.00;0.00;0.00;3210000000;0.05,0.13,0.08,0.13,0.24,0.30,0.36,0.30,0.36,0.30,0.16,0.36;;1767587584
codes translator;14;30;2.26;0.02;0.00;0.00;112000000;0.00,0.54,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00;;1771861901
english to coding;66;50;0.00;0.33;0.00;0.00;230000000;0.45,0.45,0.18,1.00,1.00,0.63,0.63,0.63,0.18,0.18,0.18,0.18;;1771035698
translate this code;19;140;0.00;0.00;0.00;0.00;1540000000;0.00,0.16,0.05,0.07,0.08,0.00,0.10,0.05,0.04,0.03,0.03,0.03;;1768298524
code language translation;19;70;4.95;0.05;0.00;0.00;645000000;0.00,0.34,0.34,0.03,0.03,0.53,0.65,0.34,0.26,0.42,0.00,0.26;;1769061780
translator code;32;50;0.00;0.00;0.00;0.00;2050000000;0.00,0.09,0.53,0.12,0.12,0.43,0.00,0.00,0.15,0.00,0.00,0.65;;1767473534
translation coding;14;210;2.00;0.01;0.00;0.00;97100000;1.00,0.15,0.19,0.07,0.00,0.36,0.19,0.19,0.12,0.15,0.23,0.00;;1769933868
english to programming language;31;50;0.00;0.33;0.00;0.00;351000000;0.45,0.45,0.45,1.00,0.18,0.63,0.45,0.36,0.45,0.18,0.18,0.18;;1771933269
code translate to english;24;70;0.00;0.01;0.00;0.00;1470000000;0.35,0.00,0.28,0.00,0.12,0.17,0.28,0.28,0.17,0.28,0.35,0.10;;1771719502
code translate to english;47;70;0.00;0.01;0.00;0.00;1470000000;0.35,0.00,0.28,0.00,0.12,0.17,0.28,0.28,0.17,0.28,0.35,0.10;;1771719502
translate codes;19;50;2.00;0.01;0.00;0.00;1940000000;0.54,0.54,0.00,0.00,0.00,0.00,0.18,0.04,0.00,0.00,0.00,0.00;;1772559776
code language translator;29;260;2.24;0.02;0.00;0.00;122000000;1.00,0.26,0.26,0.17,0.26,0.21,0.17,0.26,0.21,0.14,0.21,0.17;;1768156495
code translator to english;50;170;0.00;0.01;0.00;0.00;117000000;0.35,0.35,0.35,0.28,0.44,0.28,0.18,0.28,0.28,0.28,0.28,0.23;;1772045858
code translator to english;52;170;0.00;0.01;0.00;0.00;117000000;0.35,0.35,0.35,0.28,0.44,0.28,0.18,0.28,0.28,0.28,0.28,0.23;;1772045858
convert code ai;43;40;0.00;0.57;0.00;0.00;395000000;0.11,0.23,0.52,0.41,0.23,0.82,0.11,0.11,0.11,0.11,0.11,0.11;;1769991495
translate the code;22;40;0.00;0.01;0.00;0.00;837000000;0.23,0.11,1.00,0.23,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11;;1768889274
translate coding to english;10;50;0.00;0.02;0.00;0.00;89400000;0.14,0.14,0.14,0.14,0.78,0.78,0.78,0.14,0.78,0.14,0.14,0.14;;1772000361
coding translate;14;140;2.26;0.02;0.00;0.00;1470000000;0.00,0.00,0.05,0.00,0.00,0.10,1.00,0.00,0.10,0.08,0.00,0.00;;1770801149
translate from code;23;170;0.00;0.00;0.00;0.00;761000000;0.43,1.00,0.66,0.28,0.35,0.35,0.43,0.23,0.28,0.28,0.35,0.53;;1767337522
translate code;22;320;2.00;0.01;0.00;0.00;3140000000;0.36,0.13,0.08,0.07,0.13,0.10,0.08,0.10,0.07,0.07,0.13,0.13;;1770534811
code translation;17;170;2.26;0.02;0.00;0.00;669000000;0.36,0.81,0.54,0.01,0.01,0.05,0.06,0.06,0.29,0.29,0.19,0.29;;1771336854
coding language translator;9;70;4.95;0.05;0.00;0.00;16400000;1.00,0.34,0.00,0.03,0.42,0.03,0.26,0.26,0.15,0.26,0.26,0.19;;1770474212
code translators;11;170;2.26;0.02;0.00;0.00;259000000;0.30,0.20,0.02,0.01,0.03,0.04,0.02,0.45,0.00,0.08,0.10,0.10;;1770562387
cod translator;13;40;0.00;0.33;0.00;0.00;2480000;0.29,0.41,0.29,0.11,0.11,0.11,0.64,0.11,0.11,0.11,0.11,0.11;;1766748855
