Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
ai emoji generator;17;2900;1.04;0.05;32.00;47.05;87500000;0.66,0.54,0.35,0.29,0.35,0.35,0.19,0.29,0.23,0.66,0.35,0.12;5;1772079012
emoji generator;32;8100;0.00;0.00;20.00;0.00;124000000;1.00,1.00,0.66,0.81,0.81,1.00,0.66,0.66,0.81,0.81,1.00,0.81;;1772419882
ai emoji generator;20;2900;1.04;0.05;16.00;23.52;87500000;0.66,0.54,0.35,0.29,0.35,0.35,0.19,0.29,0.23,0.66,0.35,0.12;5;1772079012
ai emojis;16;2900;0.97;0.00;16.00;17.64;273000000;1.00,0.54,0.29,0.16,0.24,0.24,0.13,0.19,0.13,0.19,0.08,0.19;5;1772326740
ai emoji;30;4400;0.97;0.00;12.00;11.76;256000000;1.00,0.81,0.66,0.54,0.36,0.36,0.29,0.29,0.36,0.44,0.29,0.19;;1772066627
free ai emoji generator;15;390;0.75;0.15;4.00;0.00;37200000;0.13,1.00,0.16,0.03,0.05,0.03,0.03,0.04,0.04,0.04,0.03,0.03;;1772469106
generated emojis;18;50;0.00;0.33;0.00;0.00;27900000;0.18,0.18,0.18,0.18,0.18,0.18,0.63,0.63,1.00,0.63,0.81,0.18;5;1769278256
emoji generator ai;17;110;0.00;0.03;0.00;0.00;46500000;1.00,0.66,0.52,0.33,0.52,0.52,0.42,0.42,0.42,0.66,0.66,0.52;;1767416809
emoji maker ai;29;720;1.41;0.09;0.00;0.00;45500000;1.00,0.04,0.02,0.02,0.03,0.03,0.03,0.02,0.02,0.03,0.02,0.02;;1769042063
how to use ai emojis;29;260;0.00;0.00;0.00;0.00;103000000;1.00,1.00,0.44,0.29,0.19,0.19,0.23,0.15,0.09,0.15,0.09,0.06;;1771350449
how to use ai emojis;38;260;0.00;0.00;0.00;0.00;103000000;1.00,1.00,0.44,0.29,0.19,0.19,0.23,0.15,0.09,0.15,0.09,0.06;;1771350449
how to use ai emoji;62;50;0.00;0.00;0.00;0.00;132000000;1.00,0.53,0.17,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;1771348233
ai emoji generator from image;32;40;1.58;0.10;0.00;0.00;48300000;1.00,0.78,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.35,0.21,0.14;5;1768397451
emojis.sh;19;70;0.00;0.00;0.00;0.00;46100000;1.00,0.00,0.52,0.80,0.80,0.00,0.00,0.04,0.00,0.00,0.23,0.52;5;1768546549
emojis.sh;22;70;0.00;0.00;0.00;0.00;46100000;1.00,0.00,0.52,0.80,0.80,0.00,0.00,0.04,0.00,0.00,0.23,0.52;5;1768546549
how to do ai emojis;38;210;0.00;0.00;0.00;0.00;94800000;0.29,1.00,0.12,0.12,0.44,0.44,0.07,0.07,0.05,0.03,0.05,0.02;;1767322000
emoji genrator;27;40;0.00;0.00;0.00;0.00;152000000;0.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.03,1.00,0.03,0.00;;1767912931
ai emoji copy and paste;75;40;0.00;0.33;0.00;0.00;50100000;0.64,1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11;5;1768424306
ai emoji meme;98;70;0.00;0.00;0.00;0.00;138000000;0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.43,1.00,0.53,0.34;5;1770003105
artificial intelligence emoji;24;140;0.97;0.00;0.00;0.00;15400000;0.00,0.23,0.28,0.28,0.23,0.23,0.81,0.00,0.00,0.03,0.28,0.44;5;1771517938
ai memoji;35;70;0.00;0.00;0.00;0.00;4120000;1.00,1.00,1.00,1.00,1.00,0.18,0.18,0.18,0.45,0.45,0.36,0.36;5;1768425313
how to make ai emoji;65;110;0.82;0.01;0.00;0.00;173000000;0.28,1.00,0.44,0.03,0.06,0.00,0.01,0.08,0.00,0.00,0.00,0.01;;1767530792
ai generated emoji;19;210;1.04;0.02;0.00;0.00;47600000;1.00,0.54,0.44,0.19,0.36,0.05,0.01,0.15,0.15,0.19,0.36,0.09;;1772124915
emoji generators;33;140;0.00;0.00;0.00;0.00;123000000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00;5;1767994873
memoji ai generator;17;40;0.00;0.33;0.00;0.00;484000;0.11,0.23,1.00,0.11,0.64,0.23,0.11,0.11,0.11,0.11,0.11,0.11;;1772086041
apple emoji generator;56;590;0.00;0.00;0.00;0.00;13400000;0.67,1.00,0.67,0.55,0.55,0.45,0.30,0.30,0.20,0.30,0.20,0.13;5;1771519461
how to get ai emoji;53;140;0.00;0.00;0.00;0.00;209000000;0.34,0.65,1.00,0.43,0.34,0.65,0.21,0.28,0.34,0.21,0.21,0.21;;1770010316
how to.make ai emojis;51;30;0.94;0.01;0.00;0.00;89100000;1.00,0.03,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.19;;1771785492
emoji ai;24;480;1.34;0.01;0.00;0.00;396000000;0.88,0.88,0.59,0.59,0.48,0.72,0.32,0.39,0.39,0.48,0.21,0.17;5;1769410514
how to get the ai emojis;26;40;0.00;0.33;0.00;0.00;80500000;1.00,1.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18;;1769281715
emoji ai generator;26;210;0.73;0.04;0.00;0.00;45100000;0.81,0.66,0.44,0.35,0.28,0.23,0.35,0.23,0.23,0.23,0.28,0.23;5;1767620963
how to generate ai emojis;13;70;0.00;0.02;0.00;0.00;68700000;0.11,0.11,0.11,0.11,0.11,1.00,1.00,0.52,0.52,0.52,0.52,0.11;;1770928200
how to ai generate emojis;22;90;0.00;0.02;0.00;0.00;22100000;0.18,1.00,1.00,1.00,1.00,1.00,0.81,0.63,0.45,0.45,0.63,0.63;;1767214159
ai generated emojis;16;320;1.04;0.02;0.00;0.00;34100000;1.00,0.36,0.23,0.36,0.15,0.44,0.29,0.15,0.36,0.44,0.19,0.23;;1772313665
emojipedia ai emoji generator;16;590;0.72;0.00;0.00;0.00;50800;0.02,0.01,0.02,0.07,0.05,0.16,1.00,0.65,0.13,0.03,0.00,0.34;;1770131017
