Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Traffic Cost (%);Number of Results;Trends;SERP Features;Timestamp
replicate.com;33;1300;3.62;0.35;0.00;0.00;70900000;0.08,0.08,0.10,0.08,0.66,0.53,0.08,0.07,0.10,0.66,0.08,0.10;5;1770062127
ai face restoration;66;30;1.43;0.17;0.00;0.00;84000000;0.11,0.29,0.23,0.11,0.11,0.11,0.11,0.11,0.23,0.17,0.11,0.11;;1767728358
replocate;61;170;3.04;0.01;0.00;0.00;89200000;0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.41,0.01,0.36;0,5;1767660754
ideal.photo.vercel;55;50;0.00;0.00;0.00;0.00;468000;0.00,0.00,1.00,0.35,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00;5;1769388708
ai image replicator;82;170;0.86;0.36;0.00;0.00;1210000;1.00,0.53,0.07,0.53,0.53,0.53,0.53,0.66,0.23,0.07,0.17,0.17;;1770921783
replicated com photos;3;40;0.00;0.36;0.00;0.00;15800000;0.11,0.41,1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.00,0.11;5;1769457989
restorephotos.io;52;1000;0.86;0.55;0.00;0.00;280000;0.07,0.04,0.03,0.05,1.00,0.44,0.03,0.44,0.02,0.00,0.04,0.03;5;1770909530
posterrestore;49;90;1.17;1.00;0.00;0.00;4070;0.65,0.53,0.53,0.43,0.34,0.65,0.34,0.00,0.00,0.00,0.00,0.00;;1772330175
ai replicate;17;480;0.00;0.04;0.00;0.00;231000000;0.68,0.16,1.00,0.68,0.11,0.01,0.16,0.01,0.02,0.11,0.02,0.01;;1771547123
ai replicate;26;480;0.00;0.04;0.00;0.00;231000000;0.68,0.16,1.00,0.68,0.11,0.01,0.16,0.01,0.02,0.11,0.02,0.01;;1771547123
replica photo editor;46;40;0.00;0.00;0.00;0.00;20000000;0.77,0.44,1.00,0.00,0.22,0.22,0.77,0.22,0.77,0.77,0.22,0.00;;1771571301
replicate ai image;13;40;1.46;0.11;0.00;0.00;67100000;0.28,1.00,0.14,0.14,0.14,1.00,0.14,0.21,0.14,0.14,0.21,0.14;;1771451852
replicate ai image;26;40;1.46;0.11;0.00;0.00;67100000;0.28,1.00,0.14,0.14,0.14,1.00,0.14,0.21,0.14,0.14,0.21,0.14;;1771451852
replicate image;21;140;0.82;0.01;0.00;0.00;72200000;0.17,0.28,0.28,0.28,0.43,0.66,0.17,0.10,0.53,0.43,0.53,0.66;5;1772383983
replicate photo;34;50;1.33;0.17;0.00;0.00;211000000;0.14,0.00,0.10,0.04,0.02,0.10,0.14,0.18,0.10,0.10,0.14,0.14;5;1772283505
ideal photo vercel;61;110;0.00;0.00;0.00;0.00;452000;0.00,0.00,0.81,0.43,0.65,1.00,0.65,0.15,0.09,0.09,0.06,0.00;5;1769388942
replicate .com;14;70;3.62;0.35;0.00;0.00;124000;0.00,0.00,0.00,0.11,0.00,0.00,0.01,0.01,0.03,0.01,0.11,0.01;;1771143890
idealphoto.vercel.app;66;110;0.00;0.00;0.00;0.00;4990;0.00,0.00,0.54,1.00,0.54,0.15,0.00,0.00,0.00,0.00,0.06,0.05;5;1770752400
ideal photo vercel app;55;260;0.00;0.00;0.00;0.00;476000;0.00,0.00,0.00,1.00,1.00,0.26,0.26,0.17,0.14,0.07,0.03,0.00;5;1768467284
replicat ai;70;30;2.92;0.08;0.00;0.00;70400000;0.00,0.28,0.57,0.71,0.00,0.00,1.00,1.00,0.42,0.28,0.14,0.14;;1767974165
photo replica;54;40;1.27;1.00;0.00;0.00;114000000;0.33,0.33,0.23,0.14,0.33,0.33,0.33,0.19,0.09,0.09,0.09,0.09;1,5;1769435502
replica photo;17;70;0.89;1.00;0.00;0.00;157000000;0.42,0.52,0.52,0.33,0.23,0.42,0.42,0.33,0.42,0.09,0.09,0.09;5;1767495551
replicate picture;15;40;0.82;0.01;0.00;0.00;190000000;0.11,0.11,0.11,0.11,0.11,0.41,0.11,0.11,0.11,0.11,1.00,0.00;5;1772489894
